goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAoSVsSoA/size=10-10         	18674960	         5.999 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10-10         	27088543	         5.284 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10-10         	26558461	         5.230 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10-10         	26038134	         4.878 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10-10         	22047001	         5.199 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10-10         	23344976	         5.163 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100-10        	 1302271	        94.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100-10        	 1299522	        92.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100-10        	 1280659	        92.72 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100-10        	 1265814	        97.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  913879	       134.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100-10        	 1000000	       104.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   29398	      3431 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   46497	      2405 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   56846	      2073 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   59614	      2014 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   59089	      2088 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   49960	      2170 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    4869	     23576 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    5343	     22475 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    5428	     23654 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    5391	     22370 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    5506	     22757 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    5391	     23375 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     481	    250319 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     429	    263144 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     481	    243837 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     482	    253040 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     470	    249796 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     500	    241259 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	3.827s
