goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAoSVsSoA/size=10-10         	  863028	       128.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 1000000	       114.5 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 1000000	       114.7 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 1000000	       114.8 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 1000000	       114.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10-10         	  955286	       114.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  134445	       933.3 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  131666	       927.1 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  129870	       916.9 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  119871	      1003 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  124909	       965.2 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  130803	      1198 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   12716	      9359 ns/op	  114688 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   12716	      9460 ns/op	  114688 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   12668	      9659 ns/op	  114688 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   12580	      9802 ns/op	  114688 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   10000	     16494 ns/op	  114689 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   10000	     13963 ns/op	  114688 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	     884	    127854 ns/op	 1122305 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	     946	    119153 ns/op	 1122306 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    1158	    119554 ns/op	 1122306 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	     972	    132733 ns/op	 1122311 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    1161	    119618 ns/op	 1122305 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	     963	    115834 ns/op	 1122305 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     130	    904429 ns/op	11206704 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     132	    899861 ns/op	11206663 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     132	    926457 ns/op	11206664 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     100	   1273965 ns/op	11206660 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     128	    944947 ns/op	11206667 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     128	    931947 ns/op	11206708 B/op	       1 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	3.898s
