goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAoSVsSoA/size=10-10         	 6857961	        16.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 8142792	        15.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 7954746	        15.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 7478046	        15.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 8141227	        15.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 8358339	        15.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  974750	       127.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  967188	       126.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  926312	       124.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  993548	       127.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  998820	       128.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  930201	       128.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   99748	      1268 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   96178	      1266 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   93832	      1275 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   95827	      1273 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   86631	      1271 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   99714	      1264 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    8180	     14676 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    8470	     14895 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    8194	     15359 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    7909	     14778 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    8338	     14844 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    8283	     15057 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     728	    170088 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     721	    167029 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     741	    167267 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     739	    167393 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     741	    164838 ns/op	       0 B/op	       0 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     739	    170365 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	3.874s
