goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAoSVsSoA/size=10-10         	  795634	       132.8 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 1000000	       115.6 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 1000000	       114.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 1000000	       117.9 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 1000000	       118.0 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10-10         	 1000000	       117.1 ns/op	    1152 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  135470	       910.6 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  129482	       903.1 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  131450	       913.6 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  133194	       923.8 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  121465	       931.3 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100-10        	  134280	      1206 ns/op	   12288 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   10000	     11068 ns/op	  114688 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   10000	     10211 ns/op	  114688 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   12133	      9866 ns/op	  114688 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   12470	      9683 ns/op	  114688 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   12328	      9673 ns/op	  114688 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=1000-10       	   12073	      9851 ns/op	  114688 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	     865	    131275 ns/op	 1122304 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    1083	    108731 ns/op	 1122305 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    1069	    108549 ns/op	 1122305 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    1034	    111311 ns/op	 1122305 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    1122	    111306 ns/op	 1122305 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=10000-10      	    1100	    118425 ns/op	 1122305 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	      64	   1781560 ns/op	11206749 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     100	   1413353 ns/op	11206662 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     100	   1173421 ns/op	11206664 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     100	   1206725 ns/op	11206660 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     100	   1155440 ns/op	11206662 B/op	       1 allocs/op
BenchmarkAoSVsSoA/size=100000-10     	     100	   1147794 ns/op	11206721 B/op	       1 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	3.785s
