goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=10_subset=10-10         	 4705257	        23.53 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 6430436	        19.22 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 6207030	        19.82 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 6218313	        19.73 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 6282228	        19.42 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 6099148	        19.68 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2498226	        48.30 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2480655	        48.25 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2468468	        51.06 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2495229	        48.24 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2487267	        49.12 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2411060	        49.02 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1469701	        81.77 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1474309	        81.73 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1470931	        81.75 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1371753	        85.92 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1477678	        80.97 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1488706	        80.97 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  364538	       345.7 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  357315	       345.7 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  363250	       344.5 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  354574	       347.8 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  351574	       345.2 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  360422	       345.0 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  164805	       723.8 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  168265	       727.3 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  165344	       725.7 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  168470	       726.4 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  143230	       735.2 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  161310	       726.2 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   57866	      2074 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   57902	      2084 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   57768	      2082 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   57699	      2084 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   58317	      2110 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   55254	      2189 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=10-10      	   31015	      3812 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=10-10      	   31466	      3981 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=10-10      	   31314	      3839 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=10-10      	   31231	      3830 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=10-10      	   31310	      3838 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=10000_subset=10-10      	   30982	      3859 ns/op	   81920 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=10-10      	    5952	     17446 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=10-10      	    7186	     17116 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=10-10      	    7309	     17126 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=10-10      	    7231	     17113 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=10-10      	    6514	     17209 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=50000_subset=10-10      	    7232	     17110 ns/op	  401408 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=10-10     	    3381	     35003 ns/op	  802817 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=10-10     	    3292	     36215 ns/op	  802817 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=10-10     	    3276	     35656 ns/op	  802817 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=10-10     	    3464	     35792 ns/op	  802817 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=10-10     	    3261	     35657 ns/op	  802816 B/op	       1 allocs/op
BenchmarkAppend/size=100000_subset=10-10     	    3256	     35903 ns/op	  802817 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=10-10     	    1128	    100628 ns/op	 4005896 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=10-10     	    1249	     94848 ns/op	 4005893 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=10-10     	    1304	     93333 ns/op	 4005893 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=10-10     	    1246	     94505 ns/op	 4005896 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=10-10     	    1291	     95440 ns/op	 4005897 B/op	       1 allocs/op
BenchmarkAppend/size=500000_subset=10-10     	    1306	     91287 ns/op	 4005897 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     586	    176819 ns/op	 8003591 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     711	    175810 ns/op	 8003592 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     638	    173237 ns/op	 8003594 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     745	    160383 ns/op	 8003593 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     741	    162498 ns/op	 8003595 B/op	       1 allocs/op
BenchmarkAppend/size=1000000_subset=10-10    	     751	    158135 ns/op	 8003593 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 1451208	        82.58 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 1457810	        82.32 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 1457014	        82.34 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 1464399	        82.34 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=50-10         	 1462140	        82.11 ns/op	     896 B/op	       1 allocs/op
