goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=10_subset=10-10         	 4324820	        25.87 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5742542	        21.03 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5612787	        21.19 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5802391	        20.92 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5717427	        21.29 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5636647	        21.24 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 1000000	       111.4 ns/op	    1120 B/op	       3 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 1000000	       111.7 ns/op	    1120 B/op	       3 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 1000000	       112.0 ns/op	    1120 B/op	       3 allocs/op
BenchmarkAppend/size=50_subset=10-10         	  962791	       111.3 ns/op	    1120 B/op	       3 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 1000000	       112.7 ns/op	    1120 B/op	       3 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 1000000	       114.5 ns/op	    1120 B/op	       3 allocs/op
BenchmarkAppend/size=100_subset=10-10        	  509436	       231.9 ns/op	    2400 B/op	       4 allocs/op
BenchmarkAppend/size=100_subset=10-10        	  553036	       231.9 ns/op	    2400 B/op	       4 allocs/op
BenchmarkAppend/size=100_subset=10-10        	  481243	       233.7 ns/op	    2400 B/op	       4 allocs/op
BenchmarkAppend/size=100_subset=10-10        	  541077	       232.4 ns/op	    2400 B/op	       4 allocs/op
BenchmarkAppend/size=100_subset=10-10        	  552931	       233.7 ns/op	    2400 B/op	       4 allocs/op
BenchmarkAppend/size=100_subset=10-10        	  532209	       233.1 ns/op	    2400 B/op	       4 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  143026	       857.2 ns/op	   10464 B/op	       6 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  139245	       859.2 ns/op	   10464 B/op	       6 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  137442	       859.5 ns/op	   10464 B/op	       6 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  139261	       862.9 ns/op	   10464 B/op	       6 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  142946	       863.2 ns/op	   10464 B/op	       6 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  127674	       863.4 ns/op	   10464 B/op	       6 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	   77770	      1515 ns/op	   19936 B/op	       7 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	   78644	      1532 ns/op	   19936 B/op	       7 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	   77295	      1531 ns/op	   19936 B/op	       7 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	   79261	      1519 ns/op	   19936 B/op	       7 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	   79027	      1526 ns/op	   19936 B/op	       7 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	   77600	      1526 ns/op	   19936 B/op	       7 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   14625	      8219 ns/op	  120800 B/op	      11 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   14700	      8136 ns/op	  120800 B/op	      11 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   14604	      8210 ns/op	  120800 B/op	      11 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   14670	      8164 ns/op	  120800 B/op	      11 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   14684	      8193 ns/op	  120800 B/op	      11 allocs/op
