goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=10_subset=10-10         	 4717596	        24.10 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5883530	        20.58 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5738776	        21.00 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5690799	        21.26 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5771126	        20.76 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5650126	        21.10 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2236916	        53.21 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2303140	        52.80 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2262882	        52.86 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2216949	        53.40 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2270098	        52.54 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2301957	        52.48 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1327362	        90.58 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1323331	        90.77 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1329818	        90.62 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1318711	        91.01 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1317100	        90.88 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1324086	        90.70 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  294397	       421.7 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  289906	       420.9 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  289396	       424.3 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  280081	       425.3 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  289519	       422.4 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  288241	       423.1 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  152029	       803.2 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  149172	       794.2 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  151773	       791.2 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  148956	       794.3 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  152241	       799.2 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  152462	       796.3 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   41086	      2911 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   40920	      2912 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   41788	      2919 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   40615	      2931 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   41196	      2924 ns/op	   40960 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   40429	      2937 ns/op	   40960 B/op	       1 allocs/op
