goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkAppend/size=10_subset=10-10         	 4413447	        22.76 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5764449	        21.03 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5826079	        21.12 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5623044	        21.33 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5777319	        20.92 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=10_subset=10-10         	 5639737	        21.04 ns/op	     160 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2244810	        53.58 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2259175	        53.08 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2227875	        53.64 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2249089	        53.73 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2263639	        52.96 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=50_subset=10-10         	 2291553	        52.39 ns/op	     480 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1327522	        90.47 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1320116	        91.31 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1311502	        91.37 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1322922	        90.87 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1324999	        90.55 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=100_subset=10-10        	 1324820	        90.50 ns/op	     896 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  288074	       426.6 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  285156	       430.9 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  279175	       433.7 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  285153	       432.5 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  289089	       421.8 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=500_subset=10-10        	  282344	       430.0 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  150073	       816.2 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  142878	       815.5 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  144727	       814.0 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  147032	       821.0 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  148214	       825.6 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=1000_subset=10-10       	  147567	       821.7 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAppend/size=5000_subset=10-10       	   40425	      2986 ns/op	   40960 B/op	       1 allocs/op
