goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkAppend-expand.txt,,BenchmarkAppend-for.txt,,,,BenchmarkAppend-for_index.txt,,,,BenchmarkAppend-for_prealloc.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Append/size=10_subset=10-10,1.9705000000000003e-08,19%,2.1215000000000002e-08,22%,+7.66%,p=0.041 n=6,2.1050000000000003e-08,14%,+6.83%,p=0.041 n=6,2.108e-08,8%,~,p=0.065 n=6
Append/size=50_subset=10-10,4.866e-08,5%,1.1185000000000001e-07,2%,+129.86%,p=0.002 n=6,5.2830000000000004e-08,1%,+8.57%,p=0.002 n=6,5.333e-08,2%,+9.60%,p=0.002 n=6
Append/size=100_subset=10-10,8.174e-08,5%,2.3275000000000002e-07,0%,+184.74%,p=0.002 n=6,9.0735e-08,0%,+11.00%,p=0.002 n=6,9.071e-08,1%,+10.97%,p=0.002 n=6
Append/size=500_subset=10-10,3.4545e-07,1%,8.612000000000001e-07,0%,+149.30%,p=0.002 n=6,4.2275e-07,1%,+22.38%,p=0.002 n=6,4.3045000000000005e-07,2%,+24.61%,p=0.002 n=6
Append/size=1000_subset=10-10,7.263000000000001e-07,1%,1.526e-06,1%,+110.11%,p=0.002 n=6,7.953e-07,1%,+9.50%,p=0.002 n=6,8.186000000000001e-07,1%,+12.71%,p=0.002 n=6
Append/size=5000_subset=10-10,2.0840000000000003e-06,5%,8.184500000000001e-06,1%,+292.73%,p=0.002 n=6,2.9215000000000003e-06,1%,+40.19%,p=0.002 n=6,3.001e-06,1%,+44.00%,p=0.002 n=6
Append/size=10000_subset=10-10,3.838500000000001e-06,4%,2.17035e-05,1%,+465.42%,p=0.002 n=6,5.6355000000000005e-06,1%,+46.82%,p=0.002 n=6,5.7865e-06,1%,+50.75%,p=0.002 n=6
Append/size=50000_subset=10-10,1.7121e-05,2%,0.000115718,2%,+575.88%,p=0.002 n=6,2.5447000000000002e-05,1%,+48.63%,p=0.002 n=6,2.5937000000000003e-05,1%,+51.49%,p=0.002 n=6
Append/size=100000_subset=10-10,3.572450000000001e-05,2%,0.0002643675,2%,+640.02%,p=0.002 n=6,5.8403500000000004e-05,2%,+63.48%,p=0.002 n=6,5.9925000000000006e-05,3%,+67.74%,p=0.002 n=6
Append/size=500000_subset=10-10,9.467650000000001e-05,6%,0.0009771065000000001,6%,+932.05%,p=0.002 n=6,0.00019780550000000002,3%,+108.93%,p=0.002 n=6,0.00017796150000000003,1%,+87.97%,p=0.002 n=6
Append/size=1000000_subset=10-10,0.00016786750000000002,6%,0.0017182715000000001,1%,+923.59%,p=0.002 n=6,0.00034690450000000005,3%,+106.65%,p=0.002 n=6,0.00035420700000000005,2%,+111.00%,p=0.002 n=6
Append/size=10_subset=50-10,8.233e-08,0%,8.808500000000001e-08,4%,+6.99%,p=0.002 n=6,4.838e-08,1%,-41.24%,p=0.002 n=6,5.0215e-08,1%,-39.01%,p=0.002 n=6
Append/size=50_subset=50-10,8.143000000000001e-08,0%,8.622499999999999e-08,4%,+5.89%,p=0.002 n=6,8.510000000000001e-08,1%,+4.51%,p=0.002 n=6,8.6505e-08,1%,+6.23%,p=0.002 n=6
Append/size=100_subset=50-10,1.1760000000000001e-07,0%,2.1340000000000004e-07,0%,+81.46%,p=0.002 n=6,1.28e-07,0%,+8.84%,p=0.002 n=6,1.2935000000000003e-07,0%,+9.99%,p=0.002 n=6
Append/size=500_subset=50-10,3.1615000000000004e-07,1%,1.0085000000000002e-06,1%,+218.99%,p=0.002 n=6,3.7950000000000003e-07,1%,+20.04%,p=0.002 n=6,3.9665000000000005e-07,1%,+25.46%,p=0.002 n=6
Append/size=1000_subset=50-10,5.6565e-07,0%,1.743e-06,6%,+208.14%,p=0.002 n=6,6.820500000000001e-07,1%,+20.58%,p=0.002 n=6,7.009e-07,1%,+23.91%,p=0.002 n=6
Append/size=5000_subset=50-10,2.074e-06,0%,8.563000000000001e-06,1%,+312.87%,p=0.002 n=6,2.9070000000000003e-06,1%,+40.16%,p=0.002 n=6,3.02e-06,1%,+45.61%,p=0.002 n=6
Append/size=10000_subset=50-10,3.8145000000000005e-06,1%,2.1760000000000002e-05,1%,+470.45%,p=0.002 n=6,5.62e-06,1%,+47.33%,p=0.002 n=6,5.8415e-06,1%,+53.14%,p=0.002 n=6
Append/size=50000_subset=50-10,1.5656e-05,5%,0.00011664700000000001,6%,+645.06%,p=0.002 n=6,2.5450500000000003e-05,1%,+62.56%,p=0.002 n=6,2.6107000000000003e-05,0%,+66.75%,p=0.002 n=6
Append/size=100000_subset=50-10,3.6564e-05,9%,0.000266647,12%,+629.26%,p=0.002 n=6,5.9292e-05,2%,+62.16%,p=0.002 n=6,6.0224500000000006e-05,1%,+64.71%,p=0.002 n=6
Append/size=500000_subset=50-10,0.00013304849999999998,23%,0.0009722115,6%,+630.72%,p=0.002 n=6,0.00019647400000000003,1%,+47.67%,p=0.002 n=6,0.00017779950000000003,2%,+33.64%,p=0.002 n=6
Append/size=1000000_subset=50-10,0.000163613,18%,0.0016277245000000003,5%,+894.86%,p=0.002 n=6,0.000347405,2%,+112.33%,p=0.002 n=6,0.00035442700000000004,3%,+116.63%,p=0.002 n=6
Append/size=10_subset=100-10,1.351e-07,1%,1.3690000000000001e-07,2%,~,p=0.054 n=6,8.1915e-08,1%,-39.37%,p=0.002 n=6,8.6945e-08,2%,-35.64%,p=0.002 n=6
Append/size=50_subset=100-10,1.312e-07,0%,1.3615e-07,2%,+3.77%,p=0.002 n=6,1.252e-07,1%,-4.57%,p=0.002 n=6,1.2825e-07,1%,-2.25%,p=0.002 n=6
Append/size=100_subset=100-10,1.3105e-07,0%,1.3825e-07,0%,+5.49%,p=0.002 n=6,1.3665e-07,2%,+4.27%,p=0.002 n=6,1.4435000000000002e-07,1%,+10.15%,p=0.002 n=6
Append/size=500_subset=100-10,3.2030000000000003e-07,1%,9.287000000000001e-07,0%,+189.95%,p=0.002 n=6,3.8355e-07,2%,+19.75%,p=0.002 n=6,3.8845000000000007e-07,1%,+21.28%,p=0.002 n=6
Append/size=1000_subset=100-10,5.705000000000001e-07,1%,1.6610000000000003e-06,3%,+191.15%,p=0.002 n=6,6.944000000000001e-07,1%,+21.72%,p=0.002 n=6,7.003000000000001e-07,1%,+22.75%,p=0.002 n=6
Append/size=5000_subset=100-10,2.125e-06,1%,8.4985e-06,1%,+299.93%,p=0.002 n=6,2.9095e-06,2%,+36.92%,p=0.002 n=6,3.0495e-06,1%,+43.51%,p=0.002 n=6
Append/size=10000_subset=100-10,3.588e-06,8%,2.22035e-05,2%,+518.83%,p=0.002 n=6,5.6185000000000005e-06,0%,+56.59%,p=0.002 n=6,5.878e-06,1%,+63.82%,p=0.002 n=6
Append/size=50000_subset=100-10,1.5359e-05,1%,0.00011458050000000001,5%,+646.02%,p=0.002 n=6,2.5348500000000003e-05,1%,+65.04%,p=0.002 n=6,2.6337500000000003e-05,1%,+71.48%,p=0.002 n=6
Append/size=100000_subset=100-10,2.8310000000000002e-05,3%,0.000259545,9%,+816.80%,p=0.002 n=6,5.89005e-05,3%,+108.06%,p=0.002 n=6,6.34365e-05,2%,+124.08%,p=0.002 n=6
Append/size=500000_subset=100-10,0.00011114650000000002,18%,0.001090976,7%,+881.57%,p=0.002 n=6,0.00019753400000000002,2%,+77.72%,p=0.002 n=6,0.0001813255,2%,+63.14%,p=0.002 n=6
Append/size=1000000_subset=100-10,0.0002212805,8%,0.0018301015,10%,+727.05%,p=0.002 n=6,0.0003540905,13%,+60.02%,p=0.002 n=6,0.000355073,2%,+60.46%,p=0.002 n=6
Append/size=10_subset=500-10,3.822e-07,4%,3.9505000000000003e-07,6%,~,p=0.310 n=6,3.4785000000000003e-07,2%,-8.99%,p=0.002 n=6,3.689e-07,10%,~,p=0.065 n=6
Append/size=50_subset=500-10,3.9950000000000005e-07,4%,3.9550000000000007e-07,8%,~,p=0.937 n=6,3.1935e-07,0%,-20.06%,p=0.002 n=6,3.3925e-07,1%,-15.08%,p=0.002 n=6
Append/size=100_subset=500-10,3.9285000000000003e-07,1%,4.0680000000000007e-07,1%,+3.55%,p=0.002 n=6,3.2815000000000004e-07,1%,-16.47%,p=0.002 n=6,3.4180000000000006e-07,1%,-12.99%,p=0.002 n=6
