goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M1
                                 │ assets/BenchmarkAppend-expand.txt │    assets/BenchmarkAppend-for_index.txt     │   assets/BenchmarkAppend-for_prealloc.txt   │    assets/BenchmarkAppend-for.txt     │
                                 │              sec/op               │     sec/op       vs base                    │     sec/op       vs base                    │    sec/op     vs base                 │
Append/size=10_subset=10-8                             36.54n ±   1%      29.45n ±  1%      -19.40% (p=0.000 n=10)      27.86n ±  1%      -23.77% (p=0.000 n=10)    37.69n ± 1%    +3.13% (p=0.000 n=10)
Append/size=10_subset=100-8                            94.32n ±   1%     117.00n ±  1%      +24.04% (p=0.000 n=10)     127.25n ±  1%      +34.91% (p=0.000 n=10)   215.50n ± 0%  +128.47% (p=0.000 n=10)
Append/size=10_subset=500-8                            408.9n ±   2%      479.7n ±  0%      +17.31% (p=0.000 n=10)      548.8n ±  3%      +34.21% (p=0.000 n=10)    894.7n ± 1%  +118.82% (p=0.000 n=10)
Append/size=10_subset=1000-8                           807.6n ±   3%      933.1n ±  1%      +15.55% (p=0.000 n=10)     1054.0n ±  5%      +30.52% (p=0.000 n=10)   2209.0n ± 1%  +173.54% (p=0.000 n=10)
Append/size=10_subset=5000-8                           2.639µ ±   2%      3.695µ ±  1%      +40.00% (p=0.000 n=10)      4.248µ ±  2%      +60.97% (p=0.000 n=10)   10.406µ ± 1%  +294.32% (p=0.000 n=10)
Append/size=10_subset=10000-8                          4.591µ ±  12%      6.997µ ±  1%      +52.41% (p=0.000 n=10)      8.068µ ±  3%      +75.72% (p=0.000 n=10)   26.193µ ± 2%  +470.52% (p=0.000 n=10)
Append/size=100_subset=10-8                            3.391n ±   6%     95.510n ±  1%    +2716.99% (p=0.000 n=10)    132.550n ± 22%    +3809.45% (p=0.000 n=10)    5.452n ± 1%   +60.80% (p=0.000 n=10)
Append/size=100_subset=100-8                           198.7n ±  10%      175.9n ±  1%      -11.45% (p=0.001 n=10)      205.2n ±  3%       +3.27% (p=0.019 n=10)    214.2n ± 1%    +7.80% (p=0.017 n=10)
Append/size=100_subset=500-8                           367.2n ±   2%      471.4n ±  0%      +28.38% (p=0.000 n=10)      533.0n ±  1%      +45.19% (p=0.000 n=10)   1164.5n ± 1%  +217.17% (p=0.000 n=10)
Append/size=100_subset=1000-8                          645.8n ±   9%      827.3n ±  1%      +28.10% (p=0.000 n=10)      940.5n ±  1%      +45.63% (p=0.000 n=10)   2026.0n ± 2%  +213.72% (p=0.000 n=10)
Append/size=100_subset=5000-8                          2.641µ ±   3%      3.732µ ±  1%      +41.29% (p=0.000 n=10)      4.265µ ±  1%      +61.49% (p=0.000 n=10)   10.271µ ± 2%  +288.91% (p=0.000 n=10)
Append/size=100_subset=10000-8                         4.744µ ±   7%      7.048µ ±  1%      +48.57% (p=0.000 n=10)      8.003µ ±  9%      +68.70% (p=0.000 n=10)   26.009µ ± 2%  +448.25% (p=0.000 n=10)
Append/size=500_subset=10-8                            3.389n ±   0%    390.800n ±  1%   +11433.13% (p=0.000 n=10)    395.750n ±  2%   +11579.21% (p=0.000 n=10)    5.432n ± 0%   +60.31% (p=0.000 n=10)
Append/size=500_subset=100-8                           466.9n ±   2%      374.3n ±  1%      -19.83% (p=0.000 n=10)      390.6n ±  2%      -16.34% (p=0.000 n=10)    465.5n ± 2%         ~ (p=0.912 n=10)
Append/size=500_subset=500-8                           706.0n ±  11%      850.7n ±  1%      +20.49% (p=0.001 n=10)      890.8n ±  1%      +26.16% (p=0.001 n=10)   1290.0n ± 6%   +82.71% (p=0.000 n=10)
Append/size=500_subset=1000-8                          971.5n ±   6%     1098.5n ±  1%      +13.07% (p=0.001 n=10)     1180.5n ±  1%      +21.51% (p=0.000 n=10)   2395.5n ± 3%  +146.58% (p=0.000 n=10)
Append/size=500_subset=5000-8                          3.258µ ±   9%      4.112µ ±  1%      +26.21% (p=0.000 n=10)      4.688µ ±  2%      +43.89% (p=0.000 n=10)   13.191µ ± 1%  +304.86% (p=0.000 n=10)
Append/size=500_subset=10000-8                         5.353µ ±   5%      7.420µ ±  1%      +38.62% (p=0.000 n=10)      8.529µ ±  4%      +59.35% (p=0.000 n=10)   25.417µ ± 3%  +374.85% (p=0.000 n=10)
Append/size=1000_subset=10-8                           3.462n ±   8%    775.250n ±  1%   +22289.89% (p=0.000 n=10)    747.850n ±  2%   +21498.56% (p=0.000 n=10)    5.428n ± 0%   +56.78% (p=0.000 n=10)
Append/size=1000_subset=100-8                          13.82n ±   5%     615.05n ±  2%    +4348.82% (p=0.000 n=10)     595.30n ±  2%    +4205.97% (p=0.000 n=10)    37.35n ± 0%  +170.16% (p=0.000 n=10)
Append/size=1000_subset=500-8                         2062.4n ± 137%      990.3n ±  1%            ~ (p=1.000 n=10)      996.9n ±  3%            ~ (p=1.000 n=10)   1057.5n ± 2%         ~ (p=1.000 n=10)
Append/size=1000_subset=1000-8                         4.749µ ±  25%      1.477µ ±  4%      -68.91% (p=0.000 n=10)      1.538µ ±  5%      -67.62% (p=0.000 n=10)    2.627µ ± 3%   -44.69% (p=0.000 n=10)
Append/size=1000_subset=5000-8                        12.452µ ±  23%      4.271µ ±  3%      -65.70% (p=0.000 n=10)      4.671µ ±  2%      -62.49% (p=0.000 n=10)   12.106µ ± 6%         ~ (p=0.684 n=10)
Append/size=1000_subset=10000-8                       16.403µ ±   7%      7.642µ ± 10%      -53.41% (p=0.000 n=10)      8.678µ ±  2%      -47.10% (p=0.000 n=10)   24.608µ ± 2%   +50.03% (p=0.000 n=10)
Append/size=5000_subset=10-8                           6.100n ±   9%   2643.500n ± 12%   +43236.07% (p=0.000 n=10)   2258.500n ± 17%   +36924.59% (p=0.000 n=10)    5.452n ± 1%   -10.61% (p=0.000 n=10)
Append/size=5000_subset=100-8                          24.27n ±  12%    2593.50n ±  5%   +10586.03% (p=0.000 n=10)    2275.00n ±  1%    +9273.71% (p=0.000 n=10)    37.45n ± 1%   +54.29% (p=0.000 n=10)
Append/size=5000_subset=500-8                          3.271µ ± 341%      2.950µ ±  3%       -9.81% (p=0.000 n=10)      2.851µ ±  7%      -12.86% (p=0.001 n=10)    3.509µ ± 3%    +7.26% (p=0.022 n=10)
Append/size=5000_subset=1000-8                         3.247µ ±   3%      3.212µ ±  3%            ~ (p=0.481 n=10)      3.221µ ± 12%            ~ (p=0.753 n=10)    3.427µ ± 6%    +5.54% (p=0.000 n=10)
Append/size=5000_subset=5000-8                         4.831µ ±   3%      5.887µ ±  6%      +21.86% (p=0.000 n=10)      6.151µ ± 16%      +27.33% (p=0.000 n=10)   14.790µ ± 2%  +206.18% (p=0.000 n=10)
Append/size=5000_subset=10000-8                        6.995µ ±   6%      9.326µ ±  4%      +33.33% (p=0.000 n=10)     10.235µ ± 13%      +46.31% (p=0.000 n=10)   23.977µ ± 2%  +242.78% (p=0.000 n=10)
Append/size=10000_subset=10-8                          3.366n ±   4%   4349.500n ±  4%  +129099.47% (p=0.000 n=10)   3820.000n ±  9%  +113370.96% (p=0.000 n=10)    5.470n ± 9%   +62.47% (p=0.000 n=10)
Append/size=10000_subset=100-8                         12.82n ±   0%    4431.00n ±  2%   +34463.18% (p=0.000 n=10)    3982.50n ±  7%   +30964.74% (p=0.000 n=10)    37.41n ± 1%  +191.77% (p=0.000 n=10)
Append/size=10000_subset=500-8                         53.43n ±   1%    4762.50n ±  8%    +8812.70% (p=0.000 n=10)    4311.50n ±  2%    +7968.68% (p=0.000 n=10)   191.00n ± 1%  +257.44% (p=0.000 n=10)
Append/size=10000_subset=1000-8                        105.8n ±   4%     5221.5n ± 15%    +4837.59% (p=0.000 n=10)     4592.5n ±  4%    +4242.79% (p=0.000 n=10)    373.7n ± 2%  +253.38% (p=0.000 n=10)
Append/size=10000_subset=5000-8                        7.708µ ±   5%      8.159µ ±  4%       +5.85% (p=0.004 n=10)      7.857µ ±  6%            ~ (p=0.190 n=10)    9.114µ ± 3%   +18.24% (p=0.000 n=10)
Append/size=10000_subset=10000-8                       10.70µ ±  11%      11.75µ ± 17%       +9.81% (p=0.015 n=10)      11.41µ ±  2%            ~ (p=0.089 n=10)    21.27µ ± 2%   +98.71% (p=0.000 n=10)
geomean                                                427.9n             1.671µ           +290.56%                     1.741µ           +307.00%                   854.5n        +99.71%

                                 │ assets/BenchmarkAppend-expand.txt │  assets/BenchmarkAppend-for_index.txt  │ assets/BenchmarkAppend-for_prealloc.txt │      assets/BenchmarkAppend-for.txt      │
                                 │               B/op                │     B/op      vs base                  │     B/op       vs base                  │     B/op       vs base                   │
Append/size=10_subset=10-8                              256.0 ± 0%       160.0 ± 0%  -37.50% (p=0.000 n=10)        160.0 ± 0%  -37.50% (p=0.000 n=10)        256.0 ± 0%         ~ (p=1.000 n=10) ¹
Append/size=10_subset=100-8                             896.0 ± 0%       896.0 ± 0%        ~ (p=1.000 n=10) ¹      896.0 ± 0%        ~ (p=1.000 n=10) ¹     1792.0 ± 0%  +100.00% (p=0.000 n=10)
Append/size=10_subset=500-8                           4.000Ki ± 0%     4.000Ki ± 0%        ~ (p=1.000 n=10) ¹    4.000Ki ± 0%        ~ (p=1.000 n=10) ¹    7.750Ki ± 0%   +93.75% (p=0.000 n=10)
Append/size=10_subset=1000-8                          8.000Ki ± 0%     8.000Ki ± 0%        ~ (p=1.000 n=10) ¹    8.000Ki ± 0%        ~ (p=1.000 n=10) ¹   24.375Ki ± 0%  +204.69% (p=0.000 n=10)
Append/size=10_subset=5000-8                          40.00Ki ± 0%     40.00Ki ± 0%        ~ (p=1.000 n=10) ¹    40.00Ki ± 0%        ~ (p=1.000 n=10) ¹   125.00Ki ± 0%  +212.50% (p=0.000 n=10)
Append/size=10_subset=10000-8                         80.00Ki ± 0%     80.00Ki ± 0%        ~ (p=1.000 n=10) ¹    80.00Ki ± 0%        ~ (p=1.000 n=10) ¹   349.00Ki ± 0%  +336.25% (p=0.000 n=10)
Append/size=100_subset=10-8                               0.0 ± 0%       896.0 ± 0%        ? (p=0.000 n=10)        896.0 ± 0%        ? (p=0.000 n=10)          0.0 ± 0%         ~ (p=1.000 n=10) ¹
Append/size=100_subset=100-8                          2.000Ki ± 0%     1.750Ki ± 0%  -12.50% (p=0.000 n=10)      1.750Ki ± 0%  -12.50% (p=0.000 n=10)      2.000Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=100_subset=500-8                          4.750Ki ± 0%     4.750Ki ± 0%        ~ (p=1.000 n=10) ¹    4.750Ki ± 0%        ~ (p=1.000 n=10) ¹   12.625Ki ± 0%  +165.79% (p=0.000 n=10)
Append/size=100_subset=1000-8                         9.250Ki ± 0%     9.250Ki ± 0%        ~ (p=1.000 n=10) ¹    9.250Ki ± 0%        ~ (p=1.000 n=10) ¹   22.625Ki ± 0%  +144.59% (p=0.000 n=10)
Append/size=100_subset=5000-8                         40.00Ki ± 0%     40.00Ki ± 0%        ~ (p=1.000 n=10) ¹    40.00Ki ± 0%        ~ (p=1.000 n=10) ¹   123.25Ki ± 0%  +208.12% (p=0.000 n=10)
Append/size=100_subset=10000-8                        80.00Ki ± 0%     80.00Ki ± 0%        ~ (p=1.000 n=10) ¹    80.00Ki ± 0%        ~ (p=1.000 n=10) ¹   347.25Ki ± 0%  +334.06% (p=0.000 n=10)
Append/size=500_subset=10-8                           0.000Ki ± 0%     4.000Ki ± 0%        ? (p=0.000 n=10)      4.000Ki ± 0%        ? (p=0.000 n=10)      0.000Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=500_subset=100-8                          6.625Ki ± 0%     4.750Ki ± 0%  -28.30% (p=0.000 n=10)      4.750Ki ± 0%  -28.30% (p=0.000 n=10)      6.625Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=500_subset=500-8                         10.000Ki ± 0%     8.000Ki ± 0%  -20.00% (p=0.000 n=10)      8.000Ki ± 0%  -20.00% (p=0.000 n=10)     16.625Ki ± 0%   +66.25% (p=0.000 n=10)
Append/size=500_subset=1000-8                         12.00Ki ± 0%     12.00Ki ± 0%        ~ (p=1.000 n=10) ¹    12.00Ki ± 0%        ~ (p=1.000 n=10) ¹    30.62Ki ± 0%  +155.21% (p=0.000 n=10)
Append/size=500_subset=5000-8                         48.00Ki ± 0%     48.00Ki ± 0%        ~ (p=1.000 n=10) ¹    48.00Ki ± 0%        ~ (p=1.000 n=10) ¹   173.25Ki ± 0%  +260.94% (p=0.000 n=10)
Append/size=500_subset=10000-8                        88.00Ki ± 0%     88.00Ki ± 0%        ~ (p=1.000 n=10) ¹    88.00Ki ± 0%        ~ (p=1.000 n=10) ¹   341.25Ki ± 0%  +287.79% (p=0.000 n=10)
Append/size=1000_subset=10-8                          0.000Ki ± 0%     8.000Ki ± 0%        ? (p=0.000 n=10)      8.000Ki ± 0%        ? (p=0.000 n=10)      0.000Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=1000_subset=100-8                         0.000Ki ± 0%     9.250Ki ± 0%        ? (p=0.000 n=10)      9.250Ki ± 0%        ? (p=0.000 n=10)      0.000Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=1000_subset=500-8                         14.00Ki ± 0%     12.00Ki ± 0%  -14.29% (p=0.000 n=10)      12.00Ki ± 0%  -14.29% (p=0.000 n=10)      14.00Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=1000_subset=1000-8                        20.00Ki ± 0%     16.00Ki ± 0%  -20.00% (p=0.000 n=10)      16.00Ki ± 0%  -20.00% (p=0.000 n=10)      34.00Ki ± 0%   +70.00% (p=0.000 n=10)
Append/size=1000_subset=5000-8                        48.00Ki ± 0%     48.00Ki ± 0%        ~ (p=1.000 n=10) ¹    48.00Ki ± 0%        ~ (p=1.000 n=10) ¹   156.63Ki ± 0%  +226.30% (p=0.000 n=10)
Append/size=1000_subset=10000-8                       88.00Ki ± 0%     88.00Ki ± 0%        ~ (p=1.000 n=10) ¹    88.00Ki ± 0%        ~ (p=1.000 n=10) ¹   324.63Ki ± 0%  +268.89% (p=0.000 n=10)
Append/size=5000_subset=10-8                           0.00Ki ± 0%     40.00Ki ± 0%        ? (p=0.000 n=10)      40.00Ki ± 0%        ? (p=0.000 n=10)       0.00Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=5000_subset=100-8                          0.00Ki ± 0%     40.00Ki ± 0%        ? (p=0.000 n=10)      40.00Ki ± 0%        ? (p=0.000 n=10)       0.00Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=5000_subset=500-8                         56.00Ki ± 0%     48.00Ki ± 0%  -14.29% (p=0.000 n=10)      48.00Ki ± 0%  -14.29% (p=0.000 n=10)      56.00Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=5000_subset=1000-8                        56.00Ki ± 0%     48.00Ki ± 0%  -14.29% (p=0.000 n=10)      48.00Ki ± 0%  -14.29% (p=0.000 n=10)      56.00Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=5000_subset=5000-8                        88.00Ki ± 0%     80.00Ki ± 0%   -9.09% (p=0.000 n=10)      80.00Ki ± 0%   -9.09% (p=0.000 n=10)     224.00Ki ± 0%  +154.55% (p=0.000 n=10)
Append/size=5000_subset=10000-8                       120.0Ki ± 0%     120.0Ki ± 0%        ~ (p=1.000 n=10) ¹    120.0Ki ± 0%        ~ (p=1.000 n=10) ¹    352.0Ki ± 0%  +193.33% (p=0.000 n=10)
Append/size=10000_subset=10-8                          0.00Ki ± 0%     80.00Ki ± 0%        ? (p=0.000 n=10)      80.00Ki ± 0%        ? (p=0.000 n=10)       0.00Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=10000_subset=100-8                         0.00Ki ± 0%     80.00Ki ± 0%        ? (p=0.000 n=10)      80.00Ki ± 0%        ? (p=0.000 n=10)       0.00Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=10000_subset=500-8                         0.00Ki ± 0%     88.00Ki ± 0%        ? (p=0.000 n=10)      88.00Ki ± 0%        ? (p=0.000 n=10)       0.00Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=10000_subset=1000-8                        0.00Ki ± 0%     88.00Ki ± 0%        ? (p=0.000 n=10)      88.00Ki ± 0%        ? (p=0.000 n=10)       0.00Ki ± 0%         ~ (p=1.000 n=10) ¹
Append/size=10000_subset=5000-8                       128.0Ki ± 0%     120.0Ki ± 0%   -6.25% (p=0.000 n=10)      120.0Ki ± 0%   -6.25% (p=0.000 n=10)      128.0Ki ± 0%    -0.00% (p=0.005 n=10)
