goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M1
BenchmarkAssert/size=1-8         	520282149	         2.252 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1-8         	546396871	         2.222 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1-8         	545848218	         2.223 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1-8         	535924426	         2.240 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1-8         	528306884	         2.236 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1-8         	535005720	         2.271 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1-8         	527965003	         2.276 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1-8         	519380371	         2.286 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1-8         	519792264	         2.277 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1-8         	533991031	         2.277 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=10-8        	100000000	        11.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=10-8        	100000000	        11.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=10-8        	100000000	        11.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=10-8        	100000000	        11.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=10-8        	100000000	        11.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=10-8        	100000000	        11.69 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=10-8        	100000000	        11.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=10-8        	100000000	        11.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=10-8        	100000000	        11.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=10-8        	100000000	        11.45 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=100-8       	11560126	       103.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=100-8       	11319160	       103.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=100-8       	11485584	       105.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=100-8       	11405136	       104.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=100-8       	11671741	       104.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=100-8       	11480964	       104.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=100-8       	11367744	       105.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=100-8       	11473426	       103.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=100-8       	11444293	       104.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=100-8       	11284916	       104.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1000-8      	 1228171	       974.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1000-8      	 1240116	       970.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1000-8      	 1232328	       970.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1000-8      	 1233720	       974.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1000-8      	 1225224	       979.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1000-8      	 1243243	       968.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1000-8      	 1224547	       983.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1000-8      	 1224518	       980.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1000-8      	 1227746	       976.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkAssert/size=1000-8      	 1225068	       980.3 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	47.725s
