goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkBuildSlice/size=8_length=10-10         	 2065989	        55.18 ns/op	     216 B/op	       3 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 2307259	        51.76 ns/op	     216 B/op	       3 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 2322532	        53.92 ns/op	     216 B/op	       3 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 2200705	        53.01 ns/op	     216 B/op	       3 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 2331158	        56.36 ns/op	     216 B/op	       3 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 2315223	        51.85 ns/op	     216 B/op	       3 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	  760113	       163.1 ns/op	     984 B/op	       5 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	  790644	       165.3 ns/op	     984 B/op	       5 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	  742440	       164.5 ns/op	     984 B/op	       5 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	  761702	       166.1 ns/op	     984 B/op	       5 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	  752193	       165.8 ns/op	     984 B/op	       5 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	  796503	       166.6 ns/op	     984 B/op	       5 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  375895	       302.8 ns/op	    2008 B/op	       6 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  417282	       300.3 ns/op	    2008 B/op	       6 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  419200	       299.7 ns/op	    2008 B/op	       6 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  423148	       302.8 ns/op	    2008 B/op	       6 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  420940	       302.1 ns/op	    2008 B/op	       6 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  404062	       300.3 ns/op	    2008 B/op	       6 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	   99031	      1218 ns/op	    8152 B/op	       8 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	   94858	      1243 ns/op	    8152 B/op	       8 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	   95077	      1268 ns/op	    8152 B/op	       8 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	   96021	      1244 ns/op	    8152 B/op	       8 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	   97071	      1232 ns/op	    8152 B/op	       8 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	   98217	      1227 ns/op	    8152 B/op	       8 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   42997	      2841 ns/op	   25176 B/op	      10 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   42489	      2880 ns/op	   25176 B/op	      10 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   41932	      2892 ns/op	   25176 B/op	      10 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   42055	      2876 ns/op	   25176 B/op	      10 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   41239	      2891 ns/op	   25176 B/op	      10 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   39882	      3211 ns/op	   25176 B/op	      10 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	    8428	     14628 ns/op	  128216 B/op	      14 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	    8258	     14986 ns/op	  128216 B/op	      14 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	    8427	     14772 ns/op	  128216 B/op	      14 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	    8082	     15316 ns/op	  128216 B/op	      14 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	    8080	     16735 ns/op	  128216 B/op	      14 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	    7936	     14231 ns/op	  128216 B/op	      14 allocs/op
BenchmarkBuildSlice/size=8_length=10000-10      	    3577	     34432 ns/op	  357593 B/op	      17 allocs/op
