goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkBuildSlice/size=8_length=10-10         	 3583176	        33.47 ns/op	     104 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 3457747	        33.79 ns/op	     104 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 3566426	        33.54 ns/op	     104 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 3650170	        33.03 ns/op	     104 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 3486669	        34.12 ns/op	     104 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 3498261	        34.18 ns/op	     104 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	 1000000	       111.0 ns/op	     440 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	 1000000	       109.6 ns/op	     440 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	 1000000	       109.8 ns/op	     440 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	 1000000	       110.4 ns/op	     440 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	 1000000	       107.4 ns/op	     440 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	 1000000	       112.5 ns/op	     440 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  674535	       219.6 ns/op	     920 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  622729	       189.3 ns/op	     920 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  611853	       187.4 ns/op	     920 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  599388	       212.9 ns/op	     920 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  608043	       193.3 ns/op	     920 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  698164	       197.4 ns/op	     920 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	  143391	       915.2 ns/op	    4120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	  163675	       858.9 ns/op	    4120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	  162751	       883.2 ns/op	    4120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	  161088	       871.2 ns/op	    4120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	  147730	       843.9 ns/op	    4120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	  148683	       811.5 ns/op	    4120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   81656	      1648 ns/op	    8216 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   65514	      1675 ns/op	    8216 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   73154	      1672 ns/op	    8216 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   78624	      1592 ns/op	    8216 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   74556	      1619 ns/op	    8216 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   75596	      1685 ns/op	    8216 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	   16284	      7377 ns/op	   40984 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	   17223	      6944 ns/op	   40984 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	   17227	      6963 ns/op	   40984 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	   17102	      6772 ns/op	   40984 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	   16524	      7092 ns/op	   40984 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	   18204	      6510 ns/op	   40984 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10000-10      	    9782	     13813 ns/op	   81944 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10000-10      	    9777	     12314 ns/op	   81944 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10000-10      	   10000	     13259 ns/op	   81944 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10000-10      	    8587	     13183 ns/op	   81944 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10000-10      	    8973	     14126 ns/op	   81944 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10000-10      	   10000	     13282 ns/op	   81944 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50000-10      	    1784	     74760 ns/op	  401432 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50000-10      	    1663	     77595 ns/op	  401432 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50000-10      	    1406	     76236 ns/op	  401433 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50000-10      	    1591	     78865 ns/op	  401432 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50000-10      	    1626	     84060 ns/op	  401433 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50000-10      	    1671	     69604 ns/op	  401432 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100000-10     	     752	    135221 ns/op	  802840 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100000-10     	     880	    128304 ns/op	  802840 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100000-10     	     902	    134984 ns/op	  802842 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100000-10     	     908	    135042 ns/op	  802841 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100000-10     	     764	    137935 ns/op	  802842 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100000-10     	     928	    131840 ns/op	  802842 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10-10        	 2151931	        56.10 ns/op	     344 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10-10        	 2140266	        55.85 ns/op	     344 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10-10        	 2145872	        55.66 ns/op	     344 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10-10        	 2202315	        55.39 ns/op	     344 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10-10        	 2105706	        56.20 ns/op	     344 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=10-10        	 2171563	        55.10 ns/op	     344 B/op	       2 allocs/op
BenchmarkBuildSlice/size=32_length=50-10        	  566660	       218.9 ns/op	    1816 B/op	       2 allocs/op
