goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkBuildSlice/size=8_length=10-10         	 3790610	        29.62 ns/op	     104 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 4115907	        29.41 ns/op	     104 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 4067652	        28.42 ns/op	     104 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 4182204	        28.39 ns/op	     104 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 4268323	        28.06 ns/op	     104 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10-10         	 4186399	        28.71 ns/op	     104 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	 1438592	        83.40 ns/op	     440 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	 1426209	        84.08 ns/op	     440 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	 1418702	        85.74 ns/op	     440 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	 1366695	        88.50 ns/op	     440 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	 1409426	        85.02 ns/op	     440 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50-10         	 1378726	        86.61 ns/op	     440 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  928641	       139.2 ns/op	     920 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  894882	       137.0 ns/op	     920 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  873600	       141.5 ns/op	     920 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  876951	       136.9 ns/op	     920 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  924379	       164.9 ns/op	     920 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100-10        	  960512	       144.7 ns/op	     920 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	  207544	       577.5 ns/op	    4120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	  211064	       576.8 ns/op	    4120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	  209368	       581.0 ns/op	    4120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	  213332	       577.1 ns/op	    4120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	  215239	       573.7 ns/op	    4120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=500-10        	  219704	       565.4 ns/op	    4120 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   96330	      1255 ns/op	    8216 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   93987	      1255 ns/op	    8216 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   97830	      1263 ns/op	    8216 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   95575	      1273 ns/op	    8216 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   96751	      1277 ns/op	    8216 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=1000-10       	   89218	      1352 ns/op	    8216 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	   16722	      7054 ns/op	   40984 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	   17920	      6758 ns/op	   40984 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	   17379	      6925 ns/op	   40984 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	   16915	      6994 ns/op	   40984 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	   17470	      6883 ns/op	   40984 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=5000-10       	   17835	      6703 ns/op	   40984 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10000-10      	    8407	     14021 ns/op	   81944 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10000-10      	    8946	     14029 ns/op	   81944 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10000-10      	    8167	     14203 ns/op	   81944 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10000-10      	    9343	     13731 ns/op	   81944 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10000-10      	    8952	     13360 ns/op	   81944 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=10000-10      	    9313	     14206 ns/op	   81944 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50000-10      	    1575	     75289 ns/op	  401432 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50000-10      	    1612	     74268 ns/op	  401432 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50000-10      	    1623	     74419 ns/op	  401433 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50000-10      	    1616	     75159 ns/op	  401433 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50000-10      	    1628	     74871 ns/op	  401432 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=50000-10      	    1609	     75321 ns/op	  401433 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100000-10     	     788	    146187 ns/op	  802841 B/op	       2 allocs/op
BenchmarkBuildSlice/size=8_length=100000-10     	     826	    143995 ns/op	  802842 B/op	       2 allocs/op
