goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkBuildSlice-append_growth.txt,,BenchmarkBuildSlice-append_prealloc.txt,,,,BenchmarkBuildSlice-index_presized.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
BuildSlice/size=8_length=10-10,5.3465e-08,5%,3.3665000000000004e-08,2%,-37.03%,p=0.002 n=6,2.8565000000000005e-08,4%,-46.57%,p=0.002 n=6
BuildSlice/size=8_length=50-10,1.6555000000000002e-07,1%,1.1010000000000001e-07,2%,-33.49%,p=0.002 n=6,8.538e-08,4%,-48.43%,p=0.002 n=6
BuildSlice/size=8_length=100-10,3.012e-07,1%,1.9535e-07,12%,-35.14%,p=0.002 n=6,1.4035e-07,17%,-53.40%,p=0.002 n=6
BuildSlice/size=8_length=500-10,1.2375e-06,2%,8.650500000000001e-07,6%,-30.10%,p=0.002 n=6,5.7695e-07,2%,-53.38%,p=0.002 n=6
BuildSlice/size=8_length=1000-10,2.8855000000000006e-06,11%,1.6600000000000002e-06,4%,-42.47%,p=0.002 n=6,1.268e-06,7%,-56.06%,p=0.002 n=6
BuildSlice/size=8_length=5000-10,1.4879000000000001e-05,12%,6.9535000000000004e-06,6%,-53.27%,p=0.002 n=6,6.904e-06,3%,-53.60%,p=0.002 n=6
BuildSlice/size=8_length=10000-10,3.4902e-05,3%,1.3270500000000001e-05,7%,-61.98%,p=0.002 n=6,1.4025e-05,5%,-59.82%,p=0.002 n=6
BuildSlice/size=8_length=50000-10,0.00018583450000000002,1%,7.69155e-05,10%,-58.61%,p=0.002 n=6,7.5015e-05,1%,-59.63%,p=0.002 n=6
BuildSlice/size=8_length=100000-10,0.0003334475,3%,0.00013501300000000002,5%,-59.51%,p=0.002 n=6,0.0001462055,2%,-56.15%,p=0.002 n=6
BuildSlice/size=32_length=10-10,1.2365000000000003e-07,3%,5.5755e-08,1%,-54.91%,p=0.002 n=6,5.1805000000000006e-08,1%,-58.10%,p=0.002 n=6
BuildSlice/size=32_length=50-10,4.337e-07,3%,2.4635000000000003e-07,13%,-43.20%,p=0.002 n=6,2.048e-07,0%,-52.78%,p=0.002 n=6
BuildSlice/size=32_length=100-10,8.391e-07,12%,4.479e-07,5%,-46.62%,p=0.002 n=6,3.7395000000000004e-07,7%,-55.43%,p=0.002 n=6
BuildSlice/size=32_length=500-10,3.8435e-06,12%,2.0955e-06,27%,-45.48%,p=0.002 n=6,1.8365000000000001e-06,13%,-52.22%,p=0.002 n=6
BuildSlice/size=32_length=1000-10,9.301000000000001e-06,19%,3.4565000000000003e-06,4%,-62.84%,p=0.002 n=6,3.3565e-06,4%,-63.91%,p=0.002 n=6
BuildSlice/size=32_length=5000-10,5.6431e-05,9%,1.6247000000000002e-05,2%,-71.21%,p=0.002 n=6,1.5266e-05,2%,-72.95%,p=0.002 n=6
BuildSlice/size=32_length=10000-10,0.00011043400000000001,8%,3.342550000000001e-05,2%,-69.73%,p=0.002 n=6,3.1687500000000005e-05,1%,-71.31%,p=0.002 n=6
BuildSlice/size=32_length=50000-10,0.000531691,15%,0.00015565700000000002,8%,-70.72%,p=0.002 n=6,0.0001464775,2%,-72.45%,p=0.002 n=6
BuildSlice/size=32_length=100000-10,0.0009674340000000001,5%,0.000261177,3%,-73.00%,p=0.002 n=6,0.00024229050000000002,2%,-74.96%,p=0.002 n=6
BuildSlice/size=128_length=10-10,5.010500000000001e-07,16%,2.288e-07,5%,-54.34%,p=0.002 n=6,2.327e-07,18%,-53.56%,p=0.002 n=6
BuildSlice/size=128_length=50-10,2.2825e-06,15%,9.492500000000001e-07,1%,-58.41%,p=0.002 n=6,9.65e-07,1%,-57.72%,p=0.002 n=6
BuildSlice/size=128_length=100-10,3.9569999999999996e-06,11%,1.8955e-06,3%,-52.10%,p=0.002 n=6,1.871e-06,2%,-52.72%,p=0.002 n=6
BuildSlice/size=128_length=500-10,1.48645e-05,24%,9.029000000000001e-06,1%,-39.26%,p=0.002 n=6,8.757000000000001e-06,3%,-41.09%,p=0.002 n=6
BuildSlice/size=128_length=1000-10,4.4674e-05,20%,1.7483000000000002e-05,26%,-60.87%,p=0.002 n=6,1.7232e-05,2%,-61.43%,p=0.002 n=6
BuildSlice/size=128_length=5000-10,0.00020823600000000002,28%,0.0002123415,97%,~,p=1.000 n=6,9.742750000000001e-05,4%,-53.21%,p=0.002 n=6
BuildSlice/size=128_length=10000-10,0.00044230900000000005,26%,0.000291838,34%,-34.02%,p=0.002 n=6,0.000171142,7%,-61.31%,p=0.002 n=6
BuildSlice/size=128_length=50000-10,0.00175606,9%,0.0008400025,51%,-52.17%,p=0.002 n=6,0.0007100875,3%,-59.56%,p=0.002 n=6
BuildSlice/size=128_length=100000-10,0.0031258525,7%,0.0014886435000000002,2%,-52.38%,p=0.002 n=6,0.0013925410000000002,1%,-55.45%,p=0.002 n=6
geomean,1.3341135359008195e-05,,6.360014706219717e-06,,-52.33%,,5.536397221957366e-06,,-58.50%,

,BenchmarkBuildSlice-append_growth.txt,,BenchmarkBuildSlice-append_prealloc.txt,,,,BenchmarkBuildSlice-index_presized.txt,,,
,B/op,CI,B/op,CI,vs base,P,B/op,CI,vs base,P
BuildSlice/size=8_length=10-10,216,0%,104,0%,-51.85%,p=0.002 n=6,104,0%,-51.85%,p=0.002 n=6
BuildSlice/size=8_length=50-10,984,0%,440,0%,-55.28%,p=0.002 n=6,440,0%,-55.28%,p=0.002 n=6
BuildSlice/size=8_length=100-10,2008,0%,920,0%,-54.18%,p=0.002 n=6,920,0%,-54.18%,p=0.002 n=6
BuildSlice/size=8_length=500-10,8152,0%,4120,0%,-49.46%,p=0.002 n=6,4120,0%,-49.46%,p=0.002 n=6
BuildSlice/size=8_length=1000-10,25176,0%,8216,0%,-67.37%,p=0.002 n=6,8216,0%,-67.37%,p=0.002 n=6
BuildSlice/size=8_length=5000-10,128216,0%,40984,0%,-68.04%,p=0.002 n=6,40984,0%,-68.04%,p=0.002 n=6
BuildSlice/size=8_length=10000-10,357593,0%,81944,0%,-77.08%,p=0.002 n=6,81944,0%,-77.08%,p=0.002 n=6
BuildSlice/size=8_length=50000-10,1.9550475e+06,0%,401432,0%,-79.47%,p=0.002 n=6,401432.5,0%,-79.47%,p=0.002 n=6
BuildSlice/size=8_length=100000-10,4.101366e+06,0%,802841.5,0%,-80.43%,p=0.002 n=6,802841.5,0%,-80.43%,p=0.002 n=6
BuildSlice/size=32_length=10-10,984,0%,344,0%,-65.04%,p=0.002 n=6,344,0%,-65.04%,p=0.002 n=6
BuildSlice/size=32_length=50-10,4056,0%,1816,0%,-55.23%,p=0.002 n=6,1816,0%,-55.23%,p=0.002 n=6
BuildSlice/size=32_length=100-10,8152,0%,3224,0%,-60.45%,p=0.002 n=6,3224,0%,-60.45%,p=0.002 n=6
BuildSlice/size=32_length=500-10,32728,0%,16408,0%,-49.87%,p=0.002 n=6,16408,0%,-49.87%,p=0.002 n=6
BuildSlice/size=32_length=1000-10,100953,0%,32792,0%,-67.52%,p=0.002 n=6,32792,0%,-67.52%,p=0.002 n=6
BuildSlice/size=32_length=5000-10,715361.5,0%,163864,0%,-77.09%,p=0.002 n=6,163864,0%,-77.09%,p=0.002 n=6
BuildSlice/size=32_length=10000-10,1.313388e+06,0%,327705,0%,-75.05%,p=0.002 n=6,327705,0%,-75.05%,p=0.002 n=6
