goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkCallShapes-concrete_ptr.txt,,BenchmarkCallShapes-generic_constraint.txt,,,,BenchmarkCallShapes-generic_exact.txt,,,,BenchmarkCallShapes-interface_box_each_call.txt,,,,BenchmarkCallShapes-interface_dispatch.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
CallShapes/size=8-10,4.137e-07,38%,9.938500000000002e-07,20%,+140.23%,p=0.002 n=6,6.6165e-07,15%,+59.93%,p=0.002 n=6,6.4545e-07,38%,+56.02%,p=0.015 n=6,5.6505e-07,40%,~,p=0.394 n=6
CallShapes/size=16-10,4.3935000000000003e-07,17%,1.2955000000000001e-06,28%,+194.87%,p=0.002 n=6,9.173000000000001e-07,29%,+108.79%,p=0.002 n=6,1.012e-06,9%,+130.34%,p=0.002 n=6,8.802500000000001e-07,20%,+100.35%,p=0.002 n=6
CallShapes/size=24-10,3.779e-07,22%,1.0565e-06,13%,+179.57%,p=0.002 n=6,6.666000000000001e-07,6%,+76.40%,p=0.002 n=6,7.442e-07,15%,+96.93%,p=0.002 n=6,7.486e-07,12%,+98.09%,p=0.002 n=6
CallShapes/size=32-10,1.7445e-06,20%,3.6355e-06,17%,+108.40%,p=0.002 n=6,3.141e-06,15%,+80.05%,p=0.002 n=6,3.0600000000000003e-06,16%,+75.41%,p=0.002 n=6,3.2330000000000002e-06,22%,+85.33%,p=0.002 n=6
CallShapes/size=64-10,2.2045000000000002e-06,13%,3.7085e-06,10%,+68.22%,p=0.002 n=6,3.669e-06,9%,+66.43%,p=0.002 n=6,3.7125000000000005e-06,13%,+68.41%,p=0.002 n=6,3.6435000000000004e-06,13%,+65.28%,p=0.002 n=6
CallShapes/size=96-10,2.1510000000000002e-06,21%,3.8905e-06,25%,+80.87%,p=0.002 n=6,3.5405000000000002e-06,17%,+64.60%,p=0.002 n=6,3.8675e-06,29%,+79.80%,p=0.002 n=6,3.9250000000000005e-06,26%,+82.47%,p=0.002 n=6
CallShapes/size=128-10,2.203e-06,14%,3.96e-06,13%,+79.75%,p=0.002 n=6,3.64e-06,20%,+65.23%,p=0.002 n=6,3.6315e-06,26%,+64.84%,p=0.002 n=6,3.7630000000000002e-06,35%,+70.81%,p=0.002 n=6
CallShapes/size=192-10,2.1195e-06,7%,4.063e-06,19%,+91.70%,p=0.002 n=6,3.4375e-06,11%,+62.18%,p=0.002 n=6,4.1795e-06,21%,+97.19%,p=0.002 n=6,4.082000000000001e-06,12%,+92.59%,p=0.002 n=6
