goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkConcat/size=10_iterations=10-10         	  991375	       120.8 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-10         	 1000000	       117.2 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-10         	 1000000	       119.9 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-10         	 1000000	       119.7 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-10         	  862972	       123.0 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-10         	 1000000	       124.3 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=50-10         	  238147	       475.3 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-10         	  327991	       462.3 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-10         	  263528	       468.1 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-10         	  231748	       465.7 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-10         	  255357	       461.6 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-10         	  311691	       464.4 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=100-10        	  151461	       850.2 ns/op	    3312 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-10        	  138103	       899.6 ns/op	    3312 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-10        	  146485	       850.2 ns/op	    3312 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-10        	  141362	       859.1 ns/op	    3312 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-10        	  140382	       864.5 ns/op	    3312 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-10        	  153404	       866.2 ns/op	    3312 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=500-10        	   25165	      4928 ns/op	   24816 B/op	      13 allocs/op
BenchmarkConcat/size=10_iterations=500-10        	   24472	      5020 ns/op	   24816 B/op	      13 allocs/op
BenchmarkConcat/size=10_iterations=500-10        	   23478	      5017 ns/op	   24816 B/op	      13 allocs/op
BenchmarkConcat/size=10_iterations=500-10        	   25130	      4572 ns/op	   24816 B/op	      13 allocs/op
