goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M1
BenchmarkConcat/size=10_iterations=10-8         	 5952906	       207.3 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-8         	 5923059	       199.2 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-8         	 6252201	       201.3 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-8         	 6293347	       211.8 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-8         	 5761257	       217.3 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-8         	 5456664	       217.9 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-8         	 4415647	       272.2 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-8         	 4970496	       245.5 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-8         	 5893880	       220.8 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=10-8         	 5146586	       205.3 ns/op	     496 B/op	       5 allocs/op
BenchmarkConcat/size=10_iterations=50-8         	 1841527	       646.4 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-8         	 1900208	       639.3 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-8         	 1847188	       649.3 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-8         	 1893175	       671.5 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-8         	 1571776	       781.2 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-8         	 1622469	       750.1 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-8         	 1724925	       713.3 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-8         	 1536531	       802.6 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-8         	 1622179	       716.4 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=50-8         	 1833099	       656.8 ns/op	    1904 B/op	       7 allocs/op
BenchmarkConcat/size=10_iterations=100-8        	 1000000	      1153 ns/op	    3313 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-8        	 1000000	      1125 ns/op	    3313 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-8        	 1041909	      1145 ns/op	    3313 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-8        	 1000000	      1215 ns/op	    3313 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-8        	 1000000	      1258 ns/op	    3313 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-8        	  944542	      1293 ns/op	    3313 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-8        	  871567	      1345 ns/op	    3313 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-8        	  893008	      1172 ns/op	    3313 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-8        	 1000000	      1159 ns/op	    3313 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=100-8        	  947558	      1214 ns/op	    3313 B/op	       8 allocs/op
BenchmarkConcat/size=10_iterations=500-8        	  163515	      6690 ns/op	   24825 B/op	      13 allocs/op
BenchmarkConcat/size=10_iterations=500-8        	  190327	      6295 ns/op	   24825 B/op	      13 allocs/op
BenchmarkConcat/size=10_iterations=500-8        	  193686	      6266 ns/op	   24825 B/op	      13 allocs/op
BenchmarkConcat/size=10_iterations=500-8        	  181810	      6300 ns/op	   24825 B/op	      13 allocs/op
BenchmarkConcat/size=10_iterations=500-8        	  166274	      7385 ns/op	   24825 B/op	      13 allocs/op
BenchmarkConcat/size=10_iterations=500-8        	  113911	      8822 ns/op	   24825 B/op	      13 allocs/op
BenchmarkConcat/size=10_iterations=500-8        	  185341	      7751 ns/op	   24825 B/op	      13 allocs/op
BenchmarkConcat/size=10_iterations=500-8        	  161557	     11947 ns/op	   24825 B/op	      13 allocs/op
BenchmarkConcat/size=10_iterations=500-8        	  146152	     10735 ns/op	   24825 B/op	      13 allocs/op
BenchmarkConcat/size=10_iterations=500-8        	  157184	     11683 ns/op	   24825 B/op	      13 allocs/op
BenchmarkConcat/size=10_iterations=1000-8       	   39054	     30836 ns/op	   62984 B/op	      16 allocs/op
BenchmarkConcat/size=10_iterations=1000-8       	   49119	     22039 ns/op	   62985 B/op	      16 allocs/op
BenchmarkConcat/size=10_iterations=1000-8       	   73125	     17077 ns/op	   62984 B/op	      16 allocs/op
BenchmarkConcat/size=10_iterations=1000-8       	   72109	     16634 ns/op	   62984 B/op	      16 allocs/op
BenchmarkConcat/size=10_iterations=1000-8       	   80559	     17047 ns/op	   62984 B/op	      16 allocs/op
BenchmarkConcat/size=10_iterations=1000-8       	   73203	     17301 ns/op	   62985 B/op	      16 allocs/op
BenchmarkConcat/size=10_iterations=1000-8       	   75732	     16532 ns/op	   62984 B/op	      16 allocs/op
BenchmarkConcat/size=10_iterations=1000-8       	   59620	     20159 ns/op	   62985 B/op	      16 allocs/op
BenchmarkConcat/size=10_iterations=1000-8       	   59251	     18978 ns/op	   62985 B/op	      16 allocs/op
BenchmarkConcat/size=10_iterations=1000-8       	   77719	     15781 ns/op	   62984 B/op	      16 allocs/op
BenchmarkConcat/size=10_iterations=5000-8       	   15427	     81074 ns/op	  285538 B/op	      21 allocs/op
BenchmarkConcat/size=10_iterations=5000-8       	   13082	     86357 ns/op	  285538 B/op	      21 allocs/op
BenchmarkConcat/size=10_iterations=5000-8       	   16974	     71391 ns/op	  285534 B/op	      21 allocs/op
BenchmarkConcat/size=10_iterations=5000-8       	   16441	     70622 ns/op	  285535 B/op	      21 allocs/op
BenchmarkConcat/size=10_iterations=5000-8       	   12786	     90189 ns/op	  285537 B/op	      21 allocs/op
BenchmarkConcat/size=10_iterations=5000-8       	   15236	     76814 ns/op	  285538 B/op	      21 allocs/op
BenchmarkConcat/size=10_iterations=5000-8       	   14552	     78695 ns/op	  285540 B/op	      21 allocs/op
BenchmarkConcat/size=10_iterations=5000-8       	   17550	     67153 ns/op	  285538 B/op	      21 allocs/op
BenchmarkConcat/size=10_iterations=5000-8       	   16687	     71981 ns/op	  285539 B/op	      21 allocs/op
BenchmarkConcat/size=10_iterations=5000-8       	   16926	     73589 ns/op	  285538 B/op	      21 allocs/op
BenchmarkConcat/size=10_iterations=10000-8      	   10000	    130387 ns/op	  515002 B/op	      23 allocs/op
