goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,assets/BenchmarkConcat-builder.txt,,assets/BenchmarkConcat-builder_pool.txt,,,,assets/BenchmarkConcat-join.txt,,,,assets/BenchmarkConcat-plus.txt,,,,assets/BenchmarkConcat-sprintf.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Concat/size=10_iterations=10-10,1.1270000000000001e-07,10%,1.4990000000000004e-07,44%,+33.01%,p=0.000 n=10,3.4695e-07,6%,+207.85%,p=0.000 n=10,3.629e-07,3%,+222.01%,p=0.000 n=10,6.163999999999999e-07,3%,+446.94%,p=0.000 n=10
Concat/size=10_iterations=50-10,4.1775000000000004e-07,5%,4.968500000000001e-07,2%,+18.93%,p=0.000 n=10,3.198e-06,17%,+665.53%,p=0.000 n=10,4.170000000000001e-06,2%,+898.20%,p=0.000 n=10,4.8245e-06,20%,+1054.88%,p=0.000 n=10
Concat/size=10_iterations=100-10,7.978500000000001e-07,6%,9.22e-07,15%,+15.56%,p=0.000 n=10,1.0862000000000002e-05,14%,+1261.41%,p=0.000 n=10,1.4805000000000001e-05,5%,+1755.61%,p=0.000 n=10,1.2814e-05,23%,+1506.07%,p=0.000 n=10
Concat/size=10_iterations=500-10,4.202500000000001e-06,10%,5.333500000000001e-06,25%,+26.91%,p=0.000 n=10,0.0001572955,4%,+3642.90%,p=0.000 n=10,0.0002799645,2%,+6561.86%,p=0.000 n=10,0.00023779900000000002,49%,+5558.51%,p=0.000 n=10
Concat/size=10_iterations=1000-10,9.304500000000002e-06,4%,1.80095e-05,54%,+93.56%,p=0.000 n=10,0.0005694845,4%,+6020.53%,p=0.000 n=10,0.0011065530000000001,4%,+11792.66%,p=0.000 n=10,0.0010461405,26%,+11143.38%,p=0.000 n=10
Concat/size=10_iterations=5000-10,4.28205e-05,13%,6.4313e-05,9%,+50.19%,p=0.000 n=10,0.011542479000000001,4%,+26855.50%,p=0.000 n=10,0.022066032,2%,+51431.47%,p=0.000 n=10,0.0206857005,29%,+48207.94%,p=0.000 n=10
Concat/size=50_iterations=10-10,2.7485e-07,6%,1.1545000000000001e-06,30%,+320.05%,p=0.000 n=10,6.819e-07,0%,+148.10%,p=0.000 n=10,1.1065e-06,50%,+302.58%,p=0.000 n=10,1.41e-06,30%,+413.01%,p=0.000 n=10
Concat/size=50_iterations=50-10,1.6035e-06,11%,2.098e-06,21%,+30.84%,p=0.000 n=10,1.2390500000000001e-05,5%,+672.72%,p=0.000 n=10,2.184e-05,23%,+1262.02%,p=0.000 n=10,1.5860500000000002e-05,13%,+889.12%,p=0.000 n=10
Concat/size=50_iterations=100-10,2.9810000000000003e-06,2%,3.7225000000000004e-06,21%,+24.87%,p=0.000 n=10,4.59485e-05,7%,+1441.38%,p=0.000 n=10,8.119150000000001e-05,4%,+2623.63%,p=0.000 n=10,6.590550000000001e-05,34%,+2110.85%,p=0.000 n=10
Concat/size=50_iterations=500-10,1.662e-05,3%,1.7435e-05,3%,+4.90%,p=0.001 n=10,0.000956028,4%,+5652.27%,p=0.000 n=10,0.001775941,5%,+10585.57%,p=0.000 n=10,0.0030552185,66%,+18282.78%,p=0.000 n=10
Concat/size=50_iterations=1000-10,2.9580500000000002e-05,6%,3.2108500000000006e-05,2%,+8.55%,p=0.000 n=10,0.0042250315,41%,+14183.16%,p=0.000 n=10,0.006844251000000001,44%,+23037.71%,p=0.000 n=10,0.00803874,107%,+27075.81%,p=0.000 n=10
Concat/size=50_iterations=5000-10,0.00016624900000000001,13%,0.00018304,3%,+10.10%,p=0.023 n=10,0.0637419835,30%,+38241.27%,p=0.000 n=10,0.1339128125,12%,+80449.54%,p=0.000 n=10,0.1812302185,16%,+108911.31%,p=0.000 n=10
Concat/size=100_iterations=10-10,9.036000000000001e-07,12%,6.8945e-07,9%,-23.70%,p=0.000 n=10,1.155e-06,3%,+27.82%,p=0.000 n=10,2.1700000000000004e-06,6%,+140.15%,p=0.000 n=10,1.6905000000000002e-06,13%,+87.08%,p=0.000 n=10
Concat/size=100_iterations=50-10,8.6355e-06,24%,4.2000000000000004e-06,7%,-51.36%,p=0.000 n=10,2.5823e-05,49%,+199.03%,p=0.000 n=10,4.68285e-05,7%,+442.28%,p=0.000 n=10,2.7554500000000002e-05,3%,+219.08%,p=0.000 n=10
Concat/size=100_iterations=100-10,1.3930500000000002e-05,27%,7.4935e-06,10%,-46.21%,p=0.000 n=10,8.5605e-05,5%,+514.51%,p=0.000 n=10,0.000163023,4%,+1070.26%,p=0.000 n=10,0.000100271,11%,+619.79%,p=0.000 n=10
Concat/size=100_iterations=500-10,2.88335e-05,44%,2.98905e-05,5%,~,p=0.436 n=10,0.0016306860000000001,2%,+5555.53%,p=0.000 n=10,0.003154736,4%,+10841.22%,p=0.000 n=10,0.0027223085000000003,7%,+9341.48%,p=0.000 n=10
Concat/size=100_iterations=1000-10,6.3419e-05,5%,6.8954e-05,10%,+8.73%,p=0.000 n=10,0.008638017500000001,30%,+13520.55%,p=0.000 n=10,0.0113610575,4%,+17814.28%,p=0.000 n=10,0.0128311805,10%,+20132.39%,p=0.000 n=10
Concat/size=100_iterations=5000-10,0.0003289985,14%,0.000352744,7%,~,p=0.315 n=10,0.175545542,16%,+53257.55%,p=0.000 n=10,0.256693917,16%,+77922.82%,p=0.000 n=10,0.269310021,4%,+81757.52%,p=0.000 n=10
Concat/size=500_iterations=10-10,4.5065e-06,9%,4.515e-06,14%,~,p=0.494 n=10,6.639e-06,24%,+47.32%,p=0.000 n=10,1.24095e-05,4%,+175.37%,p=0.000 n=10,1.5528e-05,31%,+244.57%,p=0.000 n=10
Concat/size=500_iterations=50-10,2.0107500000000004e-05,9%,1.92125e-05,2%,-4.45%,p=0.001 n=10,0.000139337,6%,+592.96%,p=0.000 n=10,0.00026875650000000005,42%,+1236.60%,p=0.000 n=10,0.00023547,24%,+1071.06%,p=0.000 n=10
Concat/size=500_iterations=100-10,4.7188e-05,18%,4.53235e-05,4%,~,p=0.218 n=10,0.00047354200000000003,7%,+903.52%,p=0.000 n=10,0.0008912610000000001,11%,+1788.75%,p=0.000 n=10,0.0012592060000000001,18%,+2568.49%,p=0.000 n=10
Concat/size=500_iterations=500-10,0.00019052900000000002,81%,0.0002095215,4%,~,p=0.143 n=10,0.0098381235,4%,+5063.58%,p=0.000 n=10,0.0192759265,17%,+10017.06%,p=0.000 n=10,0.031573250000000004,24%,+16471.36%,p=0.000 n=10
Concat/size=500_iterations=1000-10,0.0006450450000000001,20%,0.0003724625,5%,-42.26%,p=0.000 n=10,0.0374032325,3%,+5698.55%,p=0.000 n=10,0.07403532900000001,5%,+11377.54%,p=0.000 n=10,0.11805475000000001,17%,+18201.79%,p=0.000 n=10
Concat/size=500_iterations=5000-10,0.0023625145,8%,0.00178811,11%,-24.31%,p=0.000 n=10,0.6702137085000001,12%,+28268.66%,p=0.000 n=10,1.3111031875,10%,+55396.09%,p=0.000 n=10,1.8146969375,11%,+76712.10%,p=0.000 n=10
Concat/size=1000_iterations=10-10,1.2358000000000001e-05,6%,9.999500000000001e-06,17%,-19.08%,p=0.001 n=10,1.3932500000000001e-05,19%,+12.74%,p=0.000 n=10,3.1455e-05,10%,+154.53%,p=0.000 n=10,2.21395e-05,53%,+79.15%,p=0.000 n=10
Concat/size=1000_iterations=50-10,5.942250000000001e-05,71%,4.6029e-05,39%,-22.54%,p=0.005 n=10,0.0002712845,5%,+356.53%,p=0.000 n=10,0.000636495,5%,+971.13%,p=0.000 n=10,0.0008266580000000001,3%,+1291.15%,p=0.000 n=10
Concat/size=1000_iterations=100-10,0.0001300015,8%,0.00013826700000000002,7%,~,p=0.105 n=10,0.001004221,14%,+672.47%,p=0.000 n=10,0.0024293395,4%,+1768.70%,p=0.000 n=10,0.0034350045000000004,2%,+2542.28%,p=0.000 n=10
