goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
                                    │ assets/BenchmarkConcat-builder.txt │ assets/BenchmarkConcat-builder_pool.txt │      assets/BenchmarkConcat-join.txt      │      assets/BenchmarkConcat-plus.txt      │     assets/BenchmarkConcat-sprintf.txt     │
                                    │               sec/op               │      sec/op       vs base               │     sec/op       vs base                  │     sec/op       vs base                  │     sec/op       vs base                   │
Concat/size=10_iterations=10-10                             120.3n ±  3%       144.7n ± 11%  +20.23% (p=0.002 n=6)      340.6n ±  4%    +183.01% (p=0.002 n=6)      385.5n ±  3%    +220.32% (p=0.002 n=6)      763.8n ±  6%     +534.65% (p=0.002 n=6)
Concat/size=10_iterations=50-10                             465.0n ±  2%       537.6n ±  5%  +15.60% (p=0.002 n=6)     3146.5n ±  9%    +576.59% (p=0.002 n=6)     4716.5n ±  6%    +914.19% (p=0.002 n=6)     5293.0n ± 13%    +1038.16% (p=0.002 n=6)
Concat/size=10_iterations=100-10                            861.8n ±  4%      1085.0n ±  1%  +25.90% (p=0.002 n=6)     9782.5n ± 10%   +1035.12% (p=0.002 n=6)    17640.5n ±  3%   +1946.94% (p=0.002 n=6)    14421.0n ±  2%    +1573.36% (p=0.002 n=6)
Concat/size=10_iterations=500-10                            4.750µ ±  6%       5.517µ ±  5%  +16.14% (p=0.002 n=6)    177.003µ ± 16%   +3626.37% (p=0.002 n=6)    321.964µ ±  6%   +6678.19% (p=0.002 n=6)    210.525µ ±  5%    +4332.09% (p=0.002 n=6)
Concat/size=10_iterations=1000-10                           10.01µ ±  1%       12.16µ ±  7%  +21.42% (p=0.002 n=6)     644.59µ ±  5%   +6336.84% (p=0.002 n=6)    1233.02µ ±  3%  +12212.91% (p=0.002 n=6)     766.79µ ± 22%    +7557.14% (p=0.002 n=6)
Concat/size=10_iterations=5000-10                           45.47µ ±  3%       58.83µ ±  2%  +29.39% (p=0.002 n=6)   13462.20µ ±  2%  +29509.06% (p=0.002 n=6)   25780.47µ ±  2%  +56602.13% (p=0.002 n=6)   16481.18µ ±  7%   +36149.07% (p=0.002 n=6)
Concat/size=50_iterations=10-10                             309.6n ±  4%       332.4n ±  2%   +7.35% (p=0.002 n=6)      864.3n ±  6%    +179.12% (p=0.002 n=6)     1302.0n ±  1%    +320.47% (p=0.002 n=6)     1370.5n ±  5%     +342.60% (p=0.002 n=6)
Concat/size=50_iterations=50-10                             1.716µ ±  1%       1.896µ ±  2%  +10.52% (p=0.002 n=6)     14.488µ ±  6%    +744.54% (p=0.002 n=6)     25.992µ ±  2%   +1415.10% (p=0.002 n=6)     18.368µ ± 13%     +970.71% (p=0.002 n=6)
Concat/size=50_iterations=100-10                            3.291µ ±  4%       3.603µ ±  3%   +9.50% (p=0.002 n=6)     52.473µ ±  5%   +1494.67% (p=0.002 n=6)     96.034µ ±  1%   +2818.51% (p=0.002 n=6)     62.895µ ± 11%    +1811.40% (p=0.002 n=6)
Concat/size=50_iterations=500-10                            19.32µ ±  6%       21.17µ ±  2%   +9.60% (p=0.002 n=6)    1067.28µ ±  2%   +5424.23% (p=0.002 n=6)    2002.26µ ±  3%  +10263.65% (p=0.002 n=6)    1302.14µ ±  6%    +6639.86% (p=0.002 n=6)
Concat/size=50_iterations=1000-10                           34.18µ ±  3%       38.41µ ±  2%  +12.37% (p=0.002 n=6)    3581.74µ ±  4%  +10378.91% (p=0.002 n=6)    7942.58µ ±  8%  +23137.16% (p=0.002 n=6)    6564.99µ ±  6%   +19106.82% (p=0.002 n=6)
Concat/size=50_iterations=5000-10                           177.3µ ±  3%       209.6µ ±  3%  +18.22% (p=0.002 n=6)    72561.1µ ±  6%  +40827.77% (p=0.002 n=6)   163945.3µ ±  7%  +92372.68% (p=0.002 n=6)   182329.7µ ±  9%  +102742.32% (p=0.002 n=6)
Concat/size=100_iterations=10-10                            827.4n ±  6%       803.5n ±  5%        ~ (p=0.589 n=6)     1425.0n ±  7%     +72.22% (p=0.002 n=6)     2510.5n ±  4%    +203.40% (p=0.002 n=6)     2000.0n ±  5%     +141.71% (p=0.002 n=6)
Concat/size=100_iterations=50-10                            4.384µ ±  2%       4.968µ ±  1%  +13.32% (p=0.002 n=6)     28.400µ ±  4%    +547.81% (p=0.002 n=6)     52.693µ ±  2%   +1101.94% (p=0.002 n=6)     34.538µ ±  5%     +687.81% (p=0.002 n=6)
Concat/size=100_iterations=100-10                           7.930µ ±  7%       9.062µ ±  5%  +14.28% (p=0.002 n=6)     97.706µ ±  4%   +1132.18% (p=0.002 n=6)    188.010µ ± 11%   +2271.02% (p=0.002 n=6)    112.720µ ±  5%    +1321.53% (p=0.002 n=6)
Concat/size=100_iterations=500-10                           33.27µ ±  3%       34.45µ ±  3%   +3.55% (p=0.002 n=6)    1926.58µ ±  6%   +5691.28% (p=0.002 n=6)    3913.35µ ±  5%  +11663.47% (p=0.002 n=6)    3315.27µ ±  4%    +9865.64% (p=0.002 n=6)
Concat/size=100_iterations=1000-10                          69.25µ ±  2%       78.31µ ±  2%  +13.08% (p=0.002 n=6)    7237.16µ ±  3%  +10351.00% (p=0.002 n=6)   14967.88µ ±  7%  +21514.74% (p=0.002 n=6)   15058.29µ ±  8%   +21645.29% (p=0.002 n=6)
Concat/size=100_iterations=5000-10                          409.9µ ±  3%       418.2µ ±  7%   +2.03% (p=0.041 n=6)   181566.1µ ± 15%  +44196.56% (p=0.002 n=6)   380899.4µ ±  8%  +92827.78% (p=0.002 n=6)   344494.8µ ± 19%   +83946.18% (p=0.002 n=6)
Concat/size=500_iterations=10-10                            5.252µ ±  4%       5.192µ ±  3%        ~ (p=0.310 n=6)      8.544µ ± 35%     +62.70% (p=0.002 n=6)     15.174µ ± 10%    +188.95% (p=0.002 n=6)      9.761µ ±  8%      +85.86% (p=0.002 n=6)
Concat/size=500_iterations=50-10                            23.89µ ± 19%       22.98µ ±  4%   -3.78% (p=0.004 n=6)     163.30µ ± 10%    +583.66% (p=0.002 n=6)     329.73µ ±  9%   +1280.47% (p=0.002 n=6)     241.30µ ±  5%     +910.22% (p=0.002 n=6)
Concat/size=500_iterations=100-10                           52.22µ ±  6%       51.98µ ±  2%        ~ (p=0.937 n=6)     574.44µ ±  9%   +1000.00% (p=0.002 n=6)    1116.95µ ±  5%   +2038.86% (p=0.002 n=6)    1192.81µ ±  2%    +2184.14% (p=0.002 n=6)
Concat/size=500_iterations=500-10                           259.6µ ±  5%       253.9µ ±  3%        ~ (p=0.310 n=6)    12092.0µ ±  9%   +4558.79% (p=0.002 n=6)    26167.7µ ±  8%   +9981.84% (p=0.002 n=6)    31298.9µ ± 28%   +11958.80% (p=0.002 n=6)
Concat/size=500_iterations=1000-10                          462.5µ ±  4%       433.2µ ±  3%   -6.33% (p=0.004 n=6)    47917.3µ ±  7%  +10260.36% (p=0.002 n=6)   100582.8µ ±  6%  +21647.35% (p=0.002 n=6)    94877.1µ ±  2%   +20413.69% (p=0.002 n=6)
Concat/size=500_iterations=5000-10                          2.214m ± 11%       2.227m ±  9%        ~ (p=0.818 n=6)    845.033m ± 36%  +38061.44% (p=0.002 n=6)   1519.463m ± 30%  +68518.54% (p=0.002 n=6)   1826.246m ±  7%   +82372.77% (p=0.002 n=6)
Concat/size=1000_iterations=10-10                           11.60µ ±  3%       12.60µ ±  4%   +8.62% (p=0.002 n=6)      16.70µ ± 10%     +44.00% (p=0.002 n=6)      36.75µ ±  2%    +216.82% (p=0.002 n=6)      22.07µ ±  3%      +90.28% (p=0.002 n=6)
Concat/size=1000_iterations=50-10                           47.13µ ±  5%       52.09µ ± 11%  +10.52% (p=0.002 n=6)     317.87µ ± 10%    +574.44% (p=0.002 n=6)     798.65µ ±  3%   +1594.54% (p=0.002 n=6)     981.93µ ±  6%    +1983.42% (p=0.002 n=6)
Concat/size=1000_iterations=100-10                          100.1µ ± 12%       109.7µ ±  7%   +9.58% (p=0.026 n=6)     1194.2µ ±  3%   +1093.22% (p=0.002 n=6)     3000.4µ ±  4%   +2898.07% (p=0.002 n=6)     3903.9µ ±  6%    +3800.86% (p=0.002 n=6)
Concat/size=1000_iterations=500-10                          517.8µ ±  4%       476.2µ ±  7%   -8.03% (p=0.002 n=6)    28788.0µ ±  5%   +5459.74% (p=0.002 n=6)    60425.0µ ± 16%  +11569.71% (p=0.002 n=6)    63542.4µ ±  8%   +12171.77% (p=0.002 n=6)
Concat/size=1000_iterations=1000-10                         965.6µ ±  3%       900.7µ ±  4%   -6.72% (p=0.004 n=6)    98720.8µ ± 13%  +10123.28% (p=0.002 n=6)   172028.1µ ± 24%  +17714.80% (p=0.002 n=6)   193956.0µ ± 10%   +19985.60% (p=0.002 n=6)
Concat/size=1000_iterations=5000-10                         3.911m ±  6%       3.740m ±  8%   -4.36% (p=0.041 n=6)   1526.129m ± 44%  +38922.94% (p=0.002 n=6)   3101.930m ±  6%  +79215.97% (p=0.002 n=6)   3767.247m ± 12%   +96228.05% (p=0.002 n=6)
geomean                                                     23.32µ             25.05µ         +7.41%                    607.3µ         +2503.67%                    1.165m         +4895.55%                    1.038m          +4350.86%

                                    │ assets/BenchmarkConcat-builder.txt │ assets/BenchmarkConcat-builder_pool.txt │      assets/BenchmarkConcat-join.txt      │      assets/BenchmarkConcat-plus.txt       │     assets/BenchmarkConcat-sprintf.txt     │
                                    │                B/op                │      B/op        vs base                │      B/op        vs base                  │      B/op        vs base                   │      B/op        vs base                   │
Concat/size=10_iterations=10-10                               496.0 ± 0%        496.0 ± 0%       ~ (p=1.000 n=6) ¹        800.0 ± 0%     +61.29% (p=0.002 n=6)       1544.0 ± 0%     +211.29% (p=0.002 n=6)       1104.0 ± 0%     +122.58% (p=0.002 n=6)
Concat/size=10_iterations=50-10                             1.859Ki ± 0%      1.859Ki ± 0%       ~ (p=1.000 n=6) ¹     16.953Ki ± 0%    +811.76% (p=0.002 n=6)     33.805Ki ± 0%    +1718.07% (p=0.002 n=6)     18.512Ki ± 0%     +895.59% (p=0.002 n=6)
Concat/size=10_iterations=100-10                            3.234Ki ± 0%      3.235Ki ± 0%  +0.03% (p=0.002 n=6)       67.828Ki ± 0%   +1997.10% (p=0.002 n=6)    135.306Ki ± 0%    +4083.36% (p=0.002 n=6)     71.001Ki ± 0%    +2095.20% (p=0.002 n=6)
Concat/size=10_iterations=500-10                            24.23Ki ± 0%      24.24Ki ± 0%  +0.04% (p=0.002 n=6)      1691.10Ki ± 0%   +6878.09% (p=0.002 n=6)    3380.59Ki ± 0%   +13849.56% (p=0.002 n=6)    1710.58Ki ± 0%    +6958.49% (p=0.002 n=6)
Concat/size=10_iterations=1000-10                           61.48Ki ± 0%      61.51Ki ± 0%  +0.04% (p=0.002 n=6)      6733.14Ki ± 0%  +10850.98% (p=0.002 n=6)   13463.19Ki ± 0%   +21796.93% (p=0.002 n=6)    6789.82Ki ± 0%   +10943.17% (p=0.002 n=6)
Concat/size=10_iterations=5000-10                           278.7Ki ± 0%      278.9Ki ± 0%  +0.05% (p=0.002 n=6)     170954.1Ki ± 0%  +61231.93% (p=0.002 n=6)   341883.0Ki ± 0%  +122554.85% (p=0.002 n=6)   171847.6Ki ± 0%   +61552.48% (p=0.002 n=6)
Concat/size=50_iterations=10-10                             2.469Ki ± 0%      2.470Ki ± 0%  +0.04% (p=0.002 n=6)        5.219Ki ± 0%    +111.39% (p=0.002 n=6)     10.312Ki ± 0%     +317.72% (p=0.002 n=6)      5.520Ki ± 0%     +123.58% (p=0.002 n=6)
Concat/size=50_iterations=50-10                             16.09Ki ± 0%      16.10Ki ± 0%  +0.04% (p=0.002 n=6)       126.41Ki ± 0%    +685.44% (p=0.002 n=6)     252.72Ki ± 0%    +1470.30% (p=0.002 n=6)     128.21Ki ± 0%     +696.65% (p=0.002 n=6)
Concat/size=50_iterations=100-10                            32.09Ki ± 0%      32.11Ki ± 0%  +0.05% (p=0.002 n=6)       484.79Ki ± 0%   +1410.53% (p=0.002 n=6)     969.48Ki ± 0%    +2920.77% (p=0.002 n=6)     489.58Ki ± 0%    +1425.48% (p=0.002 n=6)
Concat/size=50_iterations=500-10                            205.3Ki ± 0%      205.5Ki ± 0%  +0.05% (p=0.002 n=6)      12470.4Ki ± 0%   +5972.89% (p=0.002 n=6)    24940.6Ki ± 0%   +12045.67% (p=0.002 n=6)    12566.1Ki ± 0%    +6019.48% (p=0.002 n=6)
Concat/size=50_iterations=1000-10                           373.3Ki ± 0%      373.5Ki ± 0%  +0.05% (p=0.002 n=6)      49434.3Ki ± 0%  +13140.83% (p=0.002 n=6)    98867.0Ki ± 0%   +26381.24% (p=0.002 n=6)    75879.2Ki ± 0%   +20224.04% (p=0.002 n=6)
Concat/size=50_iterations=5000-10                           1.888Mi ± 0%      1.889Mi ± 0%  +0.06% (p=0.002 n=6)     1055.752Mi ± 0%  +55817.43% (p=0.002 n=6)   2111.479Mi ± 0%  +111733.57% (p=0.002 n=6)   2101.260Mi ± 0%  +111192.30% (p=0.002 n=6)
Concat/size=100_iterations=10-10                            6.750Ki ± 0%      6.753Ki ± 0%  +0.04% (p=0.002 n=6)       10.625Ki ± 0%     +57.41% (p=0.002 n=6)     21.062Ki ± 0%     +212.04% (p=0.002 n=6)     10.934Ki ± 0%      +61.98% (p=0.002 n=6)
Concat/size=100_iterations=50-10                            44.11Ki ± 0%      44.13Ki ± 0%  +0.05% (p=0.002 n=6)       260.36Ki ± 0%    +490.26% (p=0.002 n=6)     520.52Ki ± 0%    +1080.07% (p=0.002 n=6)     263.12Ki ± 0%     +496.51% (p=0.002 n=6)
Concat/size=100_iterations=100-10                           81.25Ki ± 0%      81.29Ki ± 0%  +0.05% (p=0.002 n=6)       995.51Ki ± 0%   +1125.24% (p=0.002 n=6)    1990.83Ki ± 0%    +2350.25% (p=0.002 n=6)    1005.10Ki ± 0%    +1137.05% (p=0.002 n=6)
Concat/size=100_iterations=500-10                           373.3Ki ± 0%      373.4Ki ± 0%  +0.05% (p=0.002 n=6)      25102.0Ki ± 0%   +6625.21% (p=0.002 n=6)    50203.6Ki ± 0%   +13350.29% (p=0.002 n=6)    39210.3Ki ± 0%   +10405.01% (p=0.002 n=6)
Concat/size=100_iterations=1000-10                          885.3Ki ± 0%      885.7Ki ± 0%  +0.05% (p=0.002 n=6)      97322.2Ki ± 0%  +10893.64% (p=0.002 n=6)   194643.8Ki ± 0%   +21887.23% (p=0.002 n=6)   185753.7Ki ± 0%   +20882.99% (p=0.002 n=6)
Concat/size=100_iterations=5000-10                          4.997Mi ± 0%      4.999Mi ± 0%  +0.03% (p=0.002 n=6)     2296.401Mi ± 0%  +45852.24% (p=0.002 n=6)   4592.788Mi ± 0%   +91804.21% (p=0.002 n=6)   4649.282Mi ± 0%   +92934.68% (p=0.002 n=6)
Concat/size=500_iterations=10-10                            54.62Ki ± 0%      54.65Ki ± 0%  +0.05% (p=0.002 n=6)        81.12Ki ± 0%     +48.51% (p=0.002 n=6)     160.88Ki ± 0%     +194.51% (p=0.002 n=6)      81.84Ki ± 0%      +49.83% (p=0.002 n=6)
Concat/size=500_iterations=50-10                            271.9Ki ± 0%      272.0Ki ± 0%  +0.05% (p=0.002 n=6)       1864.1Ki ± 0%    +585.66% (p=0.002 n=6)     3726.4Ki ± 0%    +1270.62% (p=0.002 n=6)     2436.2Ki ± 0%     +796.07% (p=0.002 n=6)
Concat/size=500_iterations=100-10                           663.9Ki ± 0%      664.2Ki ± 0%  +0.05% (p=0.002 n=6)       7216.2Ki ± 0%    +986.97% (p=0.002 n=6)    14431.0Ki ± 0%    +2073.72% (p=0.002 n=6)    14354.6Ki ± 0%    +2062.21% (p=0.002 n=6)
Concat/size=500_iterations=500-10                           3.086Mi ± 0%      3.087Mi ± 0%  +0.04% (p=0.002 n=6)      169.829Mi ± 0%   +5403.48% (p=0.002 n=6)    339.656Mi ± 0%   +10906.91% (p=0.002 n=6)    373.759Mi ± 0%   +12012.03% (p=0.002 n=6)
Concat/size=500_iterations=1000-10                          6.328Mi ± 0%      6.329Mi ± 0%  +0.02% (p=0.002 n=6)      667.761Mi ± 0%  +10452.40% (p=0.002 n=6)   1335.518Mi ± 0%   +21004.74% (p=0.002 n=6)   1474.132Mi ± 0%   +23195.21% (p=0.002 n=6)
Concat/size=500_iterations=5000-10                          39.77Mi ± 0%      39.77Mi ± 0%  +0.00% (p=0.002 n=6)     16783.65Mi ± 0%  +42106.52% (p=0.002 n=6)   33567.30Mi ± 0%   +84313.02% (p=0.002 n=6)   37164.56Mi ± 0%   +93359.20% (p=0.002 n=6)
Concat/size=1000_iterations=10-10                           136.1Ki ± 0%      136.2Ki ± 0%  +0.05% (p=0.002 n=6)        166.9Ki ± 0%     +22.59% (p=0.002 n=6)      330.8Ki ± 0%     +142.97% (p=0.002 n=6)      168.5Ki ± 0%      +23.81% (p=0.002 n=6)
Concat/size=1000_iterations=50-10                           646.9Ki ± 0%      647.2Ki ± 0%  +0.04% (p=0.002 n=6)       3798.9Ki ± 0%    +487.27% (p=0.002 n=6)     7594.8Ki ± 0%    +1074.07% (p=0.002 n=6)     8308.4Ki ± 0%    +1184.38% (p=0.002 n=6)
Concat/size=1000_iterations=100-10                          1.453Mi ± 0%      1.454Mi ± 0%  +0.04% (p=0.002 n=6)       14.233Mi ± 0%    +879.41% (p=0.002 n=6)     28.464Mi ± 0%    +1858.63% (p=0.002 n=6)     33.792Mi ± 0%    +2225.27% (p=0.002 n=6)
Concat/size=1000_iterations=500-10                          7.983Mi ± 0%      7.985Mi ± 0%  +0.02% (p=0.002 n=6)      347.398Mi ± 0%   +4251.56% (p=0.002 n=6)    694.795Mi ± 0%    +8603.10% (p=0.002 n=6)    845.862Mi ± 0%   +10495.39% (p=0.002 n=6)
Concat/size=1000_iterations=1000-10                         16.00Mi ± 0%      16.00Mi ± 0%  +0.01% (p=0.002 n=6)      1375.68Mi ± 0%   +8497.92% (p=0.002 n=6)    2751.36Mi ± 0%   +17095.80% (p=0.002 n=6)    3349.97Mi ± 0%   +20837.10% (p=0.002 n=6)
