goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkDeduplication/size=10-10         	  691851	       164.8 ns/op	     488 B/op	       5 allocs/op
BenchmarkDeduplication/size=10-10         	  762831	       148.2 ns/op	     488 B/op	       5 allocs/op
BenchmarkDeduplication/size=10-10         	  844946	       146.7 ns/op	     488 B/op	       5 allocs/op
BenchmarkDeduplication/size=10-10         	  843684	       146.5 ns/op	     488 B/op	       5 allocs/op
BenchmarkDeduplication/size=10-10         	  845392	       147.2 ns/op	     488 B/op	       5 allocs/op
BenchmarkDeduplication/size=10-10         	  850635	       147.4 ns/op	     488 B/op	       5 allocs/op
BenchmarkDeduplication/size=50-10         	  221301	       544.8 ns/op	    2024 B/op	       5 allocs/op
BenchmarkDeduplication/size=50-10         	  219518	       541.7 ns/op	    2024 B/op	       5 allocs/op
BenchmarkDeduplication/size=50-10         	  228315	       538.5 ns/op	    2024 B/op	       5 allocs/op
BenchmarkDeduplication/size=50-10         	  227808	       536.9 ns/op	    2024 B/op	       5 allocs/op
BenchmarkDeduplication/size=50-10         	  223747	       542.3 ns/op	    2024 B/op	       5 allocs/op
BenchmarkDeduplication/size=50-10         	  229044	       537.0 ns/op	    2024 B/op	       5 allocs/op
BenchmarkDeduplication/size=100-10        	  118916	      1012 ns/op	    4136 B/op	       5 allocs/op
BenchmarkDeduplication/size=100-10        	  120397	      1009 ns/op	    4136 B/op	       5 allocs/op
BenchmarkDeduplication/size=100-10        	  119086	      1014 ns/op	    4136 B/op	       5 allocs/op
BenchmarkDeduplication/size=100-10        	  120586	      1015 ns/op	    4136 B/op	       5 allocs/op
BenchmarkDeduplication/size=100-10        	  119450	      1011 ns/op	    4136 B/op	       5 allocs/op
BenchmarkDeduplication/size=100-10        	  119509	      1014 ns/op	    4136 B/op	       5 allocs/op
BenchmarkDeduplication/size=500-10        	   21049	      5724 ns/op	   26664 B/op	       5 allocs/op
BenchmarkDeduplication/size=500-10        	   21070	      5706 ns/op	   26664 B/op	       5 allocs/op
BenchmarkDeduplication/size=500-10        	   21014	      5715 ns/op	   26664 B/op	       5 allocs/op
BenchmarkDeduplication/size=500-10        	   20923	      5723 ns/op	   26664 B/op	       5 allocs/op
BenchmarkDeduplication/size=500-10        	   21007	      5713 ns/op	   26664 B/op	       5 allocs/op
BenchmarkDeduplication/size=500-10        	   21014	      5718 ns/op	   26664 B/op	       5 allocs/op
BenchmarkDeduplication/size=1000-10       	    9444	     12949 ns/op	   53328 B/op	       7 allocs/op
BenchmarkDeduplication/size=1000-10       	    9754	     12837 ns/op	   53328 B/op	       7 allocs/op
BenchmarkDeduplication/size=1000-10       	    9132	     12874 ns/op	   53328 B/op	       7 allocs/op
BenchmarkDeduplication/size=1000-10       	    9608	     12845 ns/op	   53328 B/op	       7 allocs/op
BenchmarkDeduplication/size=1000-10       	    9092	     12846 ns/op	   53328 B/op	       7 allocs/op
BenchmarkDeduplication/size=1000-10       	    8794	     12825 ns/op	   53328 B/op	       7 allocs/op
BenchmarkDeduplication/size=5000-10       	    1712	     69253 ns/op	  229696 B/op	      19 allocs/op
BenchmarkDeduplication/size=5000-10       	    1744	     68737 ns/op	  229696 B/op	      19 allocs/op
BenchmarkDeduplication/size=5000-10       	    1779	     69025 ns/op	  229696 B/op	      19 allocs/op
BenchmarkDeduplication/size=5000-10       	    1782	     69148 ns/op	  229696 B/op	      19 allocs/op
BenchmarkDeduplication/size=5000-10       	    1754	     68826 ns/op	  229696 B/op	      19 allocs/op
BenchmarkDeduplication/size=5000-10       	    1765	     68930 ns/op	  229696 B/op	      19 allocs/op
BenchmarkDeduplication/size=10000-10      	     822	    146862 ns/op	  459392 B/op	      35 allocs/op
BenchmarkDeduplication/size=10000-10      	     822	    147030 ns/op	  459393 B/op	      35 allocs/op
BenchmarkDeduplication/size=10000-10      	     811	    146701 ns/op	  459393 B/op	      35 allocs/op
BenchmarkDeduplication/size=10000-10      	     822	    147150 ns/op	  459392 B/op	      35 allocs/op
BenchmarkDeduplication/size=10000-10      	     817	    147517 ns/op	  459393 B/op	      35 allocs/op
BenchmarkDeduplication/size=10000-10      	     820	    146718 ns/op	  459393 B/op	      35 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	5.265s
