goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkDeduplication/size=10-10         	 1235672	        85.22 ns/op	     200 B/op	       5 allocs/op
BenchmarkDeduplication/size=10-10         	 1809877	        66.13 ns/op	     200 B/op	       5 allocs/op
BenchmarkDeduplication/size=10-10         	 1767542	        67.85 ns/op	     200 B/op	       5 allocs/op
BenchmarkDeduplication/size=10-10         	 1773782	        67.53 ns/op	     200 B/op	       5 allocs/op
BenchmarkDeduplication/size=10-10         	 1787997	        67.30 ns/op	     200 B/op	       5 allocs/op
BenchmarkDeduplication/size=10-10         	 1789294	        67.70 ns/op	     200 B/op	       5 allocs/op
BenchmarkDeduplication/size=50-10         	  362044	       324.5 ns/op	     920 B/op	       7 allocs/op
BenchmarkDeduplication/size=50-10         	  372690	       323.1 ns/op	     920 B/op	       7 allocs/op
BenchmarkDeduplication/size=50-10         	  379971	       321.6 ns/op	     920 B/op	       7 allocs/op
BenchmarkDeduplication/size=50-10         	  365648	       321.4 ns/op	     920 B/op	       7 allocs/op
BenchmarkDeduplication/size=50-10         	  383595	       321.4 ns/op	     920 B/op	       7 allocs/op
BenchmarkDeduplication/size=50-10         	  380383	       320.6 ns/op	     920 B/op	       7 allocs/op
BenchmarkDeduplication/size=100-10        	  108685	      1101 ns/op	    2936 B/op	       9 allocs/op
BenchmarkDeduplication/size=100-10        	  108840	      1097 ns/op	    2936 B/op	       9 allocs/op
BenchmarkDeduplication/size=100-10        	  109366	      1134 ns/op	    2936 B/op	       9 allocs/op
BenchmarkDeduplication/size=100-10        	  105604	      1142 ns/op	    2936 B/op	       9 allocs/op
BenchmarkDeduplication/size=100-10        	  107565	      1141 ns/op	    2936 B/op	       9 allocs/op
BenchmarkDeduplication/size=100-10        	  106206	      1135 ns/op	    2936 B/op	       9 allocs/op
BenchmarkDeduplication/size=500-10        	    5109	     24210 ns/op	   12280 B/op	      11 allocs/op
BenchmarkDeduplication/size=500-10        	    5116	     24000 ns/op	   12280 B/op	      11 allocs/op
BenchmarkDeduplication/size=500-10        	    5132	     23818 ns/op	   12280 B/op	      11 allocs/op
BenchmarkDeduplication/size=500-10        	    4866	     23993 ns/op	   12280 B/op	      11 allocs/op
BenchmarkDeduplication/size=500-10        	    4990	     24042 ns/op	   12280 B/op	      11 allocs/op
BenchmarkDeduplication/size=500-10        	    5278	     23899 ns/op	   12280 B/op	      11 allocs/op
BenchmarkDeduplication/size=1000-10       	    1466	     82285 ns/op	   23160 B/op	      12 allocs/op
BenchmarkDeduplication/size=1000-10       	    1472	     82404 ns/op	   23160 B/op	      12 allocs/op
BenchmarkDeduplication/size=1000-10       	    1479	     82189 ns/op	   23160 B/op	      12 allocs/op
BenchmarkDeduplication/size=1000-10       	    1480	     82227 ns/op	   23160 B/op	      12 allocs/op
BenchmarkDeduplication/size=1000-10       	    1458	     82021 ns/op	   23160 B/op	      12 allocs/op
BenchmarkDeduplication/size=1000-10       	    1467	     82095 ns/op	   23160 B/op	      12 allocs/op
BenchmarkDeduplication/size=5000-10       	      67	   1746759 ns/op	  128248 B/op	      16 allocs/op
BenchmarkDeduplication/size=5000-10       	      66	   1745519 ns/op	  128248 B/op	      16 allocs/op
BenchmarkDeduplication/size=5000-10       	      69	   1747636 ns/op	  128248 B/op	      16 allocs/op
BenchmarkDeduplication/size=5000-10       	      69	   1746221 ns/op	  128248 B/op	      16 allocs/op
BenchmarkDeduplication/size=5000-10       	      68	   1759856 ns/op	  128248 B/op	      16 allocs/op
BenchmarkDeduplication/size=5000-10       	      68	   1764009 ns/op	  128248 B/op	      16 allocs/op
BenchmarkDeduplication/size=10000-10      	      16	   6823138 ns/op	  267513 B/op	      18 allocs/op
BenchmarkDeduplication/size=10000-10      	      16	   6823010 ns/op	  267513 B/op	      18 allocs/op
BenchmarkDeduplication/size=10000-10      	      16	   6822099 ns/op	  267513 B/op	      18 allocs/op
BenchmarkDeduplication/size=10000-10      	      16	   6825221 ns/op	  267513 B/op	      18 allocs/op
BenchmarkDeduplication/size=10000-10      	      16	   6824807 ns/op	  267513 B/op	      18 allocs/op
BenchmarkDeduplication/size=10000-10      	      16	   6844924 ns/op	  267513 B/op	      18 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	5.241s
