goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkDeduplication/size=10-10         	 3230469	        31.74 ns/op	      80 B/op	       1 allocs/op
BenchmarkDeduplication/size=10-10         	 4140214	        28.98 ns/op	      80 B/op	       1 allocs/op
BenchmarkDeduplication/size=10-10         	 4116496	        31.79 ns/op	      80 B/op	       1 allocs/op
BenchmarkDeduplication/size=10-10         	 4261552	        28.70 ns/op	      80 B/op	       1 allocs/op
BenchmarkDeduplication/size=10-10         	 4119894	        29.04 ns/op	      80 B/op	       1 allocs/op
BenchmarkDeduplication/size=10-10         	 4137424	        29.20 ns/op	      80 B/op	       1 allocs/op
BenchmarkDeduplication/size=50-10         	  523864	       220.9 ns/op	     416 B/op	       1 allocs/op
BenchmarkDeduplication/size=50-10         	  551829	       214.4 ns/op	     416 B/op	       1 allocs/op
BenchmarkDeduplication/size=50-10         	  564296	       213.7 ns/op	     416 B/op	       1 allocs/op
BenchmarkDeduplication/size=50-10         	  566037	       220.8 ns/op	     416 B/op	       1 allocs/op
BenchmarkDeduplication/size=50-10         	  543109	       214.0 ns/op	     416 B/op	       1 allocs/op
BenchmarkDeduplication/size=50-10         	  542698	       211.1 ns/op	     416 B/op	       1 allocs/op
BenchmarkDeduplication/size=100-10        	  209996	       571.7 ns/op	     896 B/op	       1 allocs/op
BenchmarkDeduplication/size=100-10        	  220761	       556.6 ns/op	     896 B/op	       1 allocs/op
BenchmarkDeduplication/size=100-10        	  217893	       553.0 ns/op	     896 B/op	       1 allocs/op
BenchmarkDeduplication/size=100-10        	  219607	       547.9 ns/op	     896 B/op	       1 allocs/op
BenchmarkDeduplication/size=100-10        	  226320	       544.8 ns/op	     896 B/op	       1 allocs/op
BenchmarkDeduplication/size=100-10        	  217972	       544.2 ns/op	     896 B/op	       1 allocs/op
BenchmarkDeduplication/size=500-10        	   29196	      4107 ns/op	    4096 B/op	       1 allocs/op
BenchmarkDeduplication/size=500-10        	   29236	      4090 ns/op	    4096 B/op	       1 allocs/op
BenchmarkDeduplication/size=500-10        	   29311	      4098 ns/op	    4096 B/op	       1 allocs/op
BenchmarkDeduplication/size=500-10        	   29300	      4109 ns/op	    4096 B/op	       1 allocs/op
BenchmarkDeduplication/size=500-10        	   29186	      4101 ns/op	    4096 B/op	       1 allocs/op
BenchmarkDeduplication/size=500-10        	   29263	      4104 ns/op	    4096 B/op	       1 allocs/op
BenchmarkDeduplication/size=1000-10       	   13322	      8997 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDeduplication/size=1000-10       	   13389	      8951 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDeduplication/size=1000-10       	   13381	      8956 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDeduplication/size=1000-10       	   13358	      8977 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDeduplication/size=1000-10       	   13308	      9021 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDeduplication/size=1000-10       	   13353	      8980 ns/op	    8192 B/op	       1 allocs/op
BenchmarkDeduplication/size=5000-10       	    2008	     58541 ns/op	   40960 B/op	       1 allocs/op
BenchmarkDeduplication/size=5000-10       	    2241	     53635 ns/op	   40960 B/op	       1 allocs/op
BenchmarkDeduplication/size=5000-10       	    2152	     53756 ns/op	   40960 B/op	       1 allocs/op
BenchmarkDeduplication/size=5000-10       	    2211	     53515 ns/op	   40960 B/op	       1 allocs/op
BenchmarkDeduplication/size=5000-10       	    2244	     53754 ns/op	   40960 B/op	       1 allocs/op
BenchmarkDeduplication/size=5000-10       	    2238	     53688 ns/op	   40962 B/op	       1 allocs/op
BenchmarkDeduplication/size=10000-10      	     538	    186464 ns/op	   81920 B/op	       1 allocs/op
BenchmarkDeduplication/size=10000-10      	     754	    162130 ns/op	   81920 B/op	       1 allocs/op
BenchmarkDeduplication/size=10000-10      	     801	    154037 ns/op	   81920 B/op	       1 allocs/op
BenchmarkDeduplication/size=10000-10      	     798	    152788 ns/op	   81920 B/op	       1 allocs/op
BenchmarkDeduplication/size=10000-10      	     762	    151751 ns/op	   81920 B/op	       1 allocs/op
BenchmarkDeduplication/size=10000-10      	     784	    148833 ns/op	   81920 B/op	       1 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	5.207s
