goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M1
,BenchmarkDeduplication-map.txt,,BenchmarkDeduplication-slice_sort_inplace.txt,,,,BenchmarkDeduplication-slice.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Deduplication/size=10-8,2.1415000000000002e-07,0%,5.709500000000001e-08,0%,-73.34%,p=0.000 n=10,1.0980000000000002e-07,1%,-48.73%,p=0.000 n=10
Deduplication/size=50-8,8.603499999999999e-07,1%,3.638e-07,0%,-57.71%,p=0.000 n=10,4.6050000000000003e-07,0%,-46.48%,p=0.000 n=10
Deduplication/size=100-8,1.7345e-06,1%,8.537500000000001e-07,0%,-50.78%,p=0.000 n=10,1.2345000000000002e-06,0%,-28.83%,p=0.000 n=10
Deduplication/size=500-8,9.2975e-06,1%,5.0365e-06,0%,-45.83%,p=0.000 n=10,3.06665e-05,0%,+229.84%,p=0.000 n=10
Deduplication/size=1000-8,1.9736000000000002e-05,1%,1.07405e-05,0%,-45.58%,p=0.000 n=10,0.0001128375,0%,+471.73%,p=0.000 n=10
Deduplication/size=5000-8,0.000103214,1%,0.000183844,2%,+78.12%,p=0.000 n=10,0.002425032,1%,+2249.52%,p=0.000 n=10
Deduplication/size=10000-8,0.0002107125,0%,0.00044669400000000003,0%,+111.99%,p=0.000 n=10,0.0092306915,0%,+4280.70%,p=0.000 n=10
Deduplication/size=50000-8,0.0011003845,1%,0.0027541955,0%,+150.29%,p=0.000 n=10,0.22713515850000002,0%,+20541.44%,p=0.000 n=10
Deduplication/size=100000-8,0.0021889855,1%,0.005928394,1%,+170.83%,p=0.000 n=10,0.906472062,0%,+41310.60%,p=0.000 n=10
Deduplication/size=500000-8,0.0222923955,3%,0.033282485,0%,+49.30%,p=0.000 n=10,22.7168031875,0%,+101803.82%,p=0.000 n=10
Deduplication/size=1000000-8,0.057652802,2%,0.06943664050000001,0%,+20.44%,p=0.000 n=10,91.06469612500001,0%,+157853.63%,p=0.000 n=10
geomean,9.189837758478045e-05,,8.955785798763337e-05,,-2.55%,,0.0020010044056022786,,+2077.41%,

,BenchmarkDeduplication-map.txt,,BenchmarkDeduplication-slice_sort_inplace.txt,,,,BenchmarkDeduplication-slice.txt,,,
,B/op,CI,B/op,CI,vs base,P,B/op,CI,vs base,P
Deduplication/size=10-8,488,0%,80,0%,-83.61%,p=0.000 n=10,200,0%,-59.02%,p=0.000 n=10
Deduplication/size=50-8,2024,0%,416,0%,-79.45%,p=0.000 n=10,920,0%,-54.55%,p=0.000 n=10
Deduplication/size=100-8,4136,0%,896,0%,-78.34%,p=0.000 n=10,1912,0%,-53.77%,p=0.000 n=10
Deduplication/size=500-8,26664,0%,4096,0%,-84.64%,p=0.000 n=10,12280,0%,-53.95%,p=0.000 n=10
Deduplication/size=1000-8,53328,0%,8192,0%,-84.64%,p=0.000 n=10,23160,0%,-56.57%,p=0.000 n=10
Deduplication/size=5000-8,229700,0%,40960,0%,-82.17%,p=0.000 n=10,128250,0%,-44.17%,p=0.000 n=10
Deduplication/size=10000-8,459400,0%,81921,0%,-82.17%,p=0.000 n=10,267517,0%,-41.77%,p=0.000 n=10
Deduplication/size=50000-8,1.9850705e+06,0%,401415,0%,-79.78%,p=0.000 n=10,1.561888e+06,0%,-21.32%,p=0.000 n=10
Deduplication/size=100000-8,3.970228e+06,0%,802837,0%,-79.78%,p=0.000 n=10,3.31504e+06,0%,-16.50%,p=0.000 n=10
Deduplication/size=500000-8,2.6928465e+07,0%,4.005906e+06,0%,-85.12%,p=0.000 n=10,1.732336e+07,0%,-35.67%,p=0.000 n=10
Deduplication/size=1000000-8,5.3839978e+07,0%,8.003614e+06,0%,-85.13%,p=0.000 n=10,3.44856e+07,0%,-35.95%,p=0.000 n=10
geomean,181412.95597496763,,31890.03048093591,,-82.42%,,100546.99329927475,,-44.58%,

,BenchmarkDeduplication-map.txt,,BenchmarkDeduplication-slice_sort_inplace.txt,,,,BenchmarkDeduplication-slice.txt,,,
,allocs/op,CI,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P
Deduplication/size=10-8,5,0%,1,0%,-80.00%,p=0.000 n=10,5,0%,~,p=1.000 n=10
Deduplication/size=50-8,5,0%,1,0%,-80.00%,p=0.000 n=10,7,0%,+40.00%,p=0.000 n=10
Deduplication/size=100-8,5,0%,1,0%,-80.00%,p=0.000 n=10,8,0%,+60.00%,p=0.000 n=10
Deduplication/size=500-8,5,0%,1,0%,-80.00%,p=0.000 n=10,11,0%,+120.00%,p=0.000 n=10
Deduplication/size=1000-8,7,0%,1,0%,-85.71%,p=0.000 n=10,12,0%,+71.43%,p=0.000 n=10
Deduplication/size=5000-8,19,0%,1,0%,-94.74%,p=0.000 n=10,16,0%,-15.79%,p=0.000 n=10
Deduplication/size=10000-8,35,0%,1,0%,-97.14%,p=0.000 n=10,18,0%,-48.57%,p=0.000 n=10
Deduplication/size=50000-8,132,0%,1,0%,-99.24%,p=0.000 n=10,25,4%,-81.06%,p=0.000 n=10
Deduplication/size=100000-8,261,0%,1,0%,-99.62%,p=0.000 n=10,29,0%,-88.89%,p=0.000 n=10
Deduplication/size=500000-8,2054,0%,1,0%,-99.95%,p=0.000 n=10,38,3%,-98.15%,p=0.000 n=10
Deduplication/size=1000000-8,4102,0%,2,0%,-99.95%,p=0.000 n=10,41,2%,-99.00%,p=0.000 n=10
geomean,42.627694011623966,,1.0650410894399627,,-97.50%,,15.45587612066369,,-63.74%,
