goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkHotColdSplit/size=1-10         	666648766	         1.681 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	727400938	         1.699 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	715850037	         1.675 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	696088323	         1.673 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	720176984	         1.661 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	715187505	         1.659 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	724692930	         1.652 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	726821586	         1.696 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	726181254	         1.708 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	700691395	         1.818 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	166168526	         7.037 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	166280737	         7.027 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	176734660	         6.776 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	177097569	         6.763 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	177750927	         6.745 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	178374241	         6.959 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	179059210	         6.708 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	178184444	         6.721 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	178770416	         6.716 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	178220632	         7.116 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	21363034	        55.65 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	22628665	        53.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	22324576	        53.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	22523490	        53.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	21045919	        55.61 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	22280863	        53.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	22196377	        53.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	22420494	        53.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	22479312	        55.17 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	22488948	        55.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9426727	       126.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9583165	       124.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9531834	       142.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9664312	       124.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9669091	       124.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9683206	       124.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9612938	       126.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9673036	       126.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9528769	       146.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 8470402	       134.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1593805	       731.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1724317	       694.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1731512	       694.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1450484	       789.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1720884	       716.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1727610	       693.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1727346	       694.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1728241	       718.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1727329	       713.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1728375	       693.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  850286	      1413 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  849952	      1405 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  860181	      1404 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  850090	      1457 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  857484	      1406 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  840426	      1445 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  848360	      1407 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  851997	      1530 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  858094	      1410 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  834966	      1407 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  168528	      7098 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  168914	      7355 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  168502	      7654 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  141942	      7841 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  162976	      7239 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  167580	      7325 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  165793	      7120 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  168561	      7104 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  169840	      7106 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  169374	      7315 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   83659	     22345 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   48198	     22430 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   52014	     21745 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   60660	     19274 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   71462	     15967 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   84153	     14324 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   84291	     14291 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   82705	     14827 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   83763	     14461 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   82152	     14373 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   16521	     72679 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   16478	     72808 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   15223	     77358 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   15692	     78926 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   13743	     83420 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   14322	     81279 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   14133	     81520 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   16386	     74933 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   15331	     76352 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   16456	     72755 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    5179	    252849 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    5216	    226728 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    5569	    194458 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    4974	    234185 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    4610	    307680 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    2980	    373218 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    3500	    337782 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    3559	    370248 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    3417	    356809 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    3333	    345381 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	121.423s
