goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkHotColdSplit/size=1-10         	 1411198	        74.39 ns/op	     576 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1-10         	 1852989	        64.46 ns/op	     576 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1-10         	 1858659	        64.14 ns/op	     576 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1-10         	 1845740	        64.76 ns/op	     576 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1-10         	 1823461	        67.38 ns/op	     576 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1-10         	 1777713	        66.49 ns/op	     576 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10-10        	  257284	       471.5 ns/op	    5376 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10-10        	  253054	       472.6 ns/op	    5376 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10-10        	  265249	       468.3 ns/op	    5376 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10-10        	  251102	       470.3 ns/op	    5376 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10-10        	  250519	       471.9 ns/op	    5376 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10-10        	  233792	       474.7 ns/op	    5376 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50-10        	   58444	      2064 ns/op	   27264 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50-10        	   57585	      2072 ns/op	   27264 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50-10        	   57890	      2074 ns/op	   27264 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50-10        	   58982	      2060 ns/op	   27264 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50-10        	   58353	      2060 ns/op	   27264 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50-10        	   59362	      2067 ns/op	   27264 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100-10       	   27952	      4317 ns/op	   57344 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100-10       	   27974	      4305 ns/op	   57344 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100-10       	   27746	      4306 ns/op	   57344 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100-10       	   27794	      4308 ns/op	   57344 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100-10       	   27897	      4310 ns/op	   57344 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100-10       	   27936	      4284 ns/op	   57344 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=500-10       	    5641	     19661 ns/op	  262144 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=500-10       	    6121	     19430 ns/op	  262144 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=500-10       	    6156	     19482 ns/op	  262144 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=500-10       	    6310	     19354 ns/op	  262144 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=500-10       	    5930	     19664 ns/op	  262144 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=500-10       	    6316	     19543 ns/op	  262144 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1000-10      	    2842	     43149 ns/op	  524296 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1000-10      	    2791	     42878 ns/op	  524296 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1000-10      	    2888	     42885 ns/op	  524296 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1000-10      	    2854	     43260 ns/op	  524296 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1000-10      	    2815	     43158 ns/op	  524298 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1000-10      	    2792	     43114 ns/op	  524298 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=5000-10      	     775	    149433 ns/op	 2605058 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=5000-10      	     854	    141970 ns/op	 2605059 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=5000-10      	     846	    144885 ns/op	 2605063 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=5000-10      	     819	    146931 ns/op	 2605059 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=5000-10      	     772	    146806 ns/op	 2605058 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=5000-10      	     840	    142373 ns/op	 2605059 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10000-10     	     408	    290038 ns/op	 5201923 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10000-10     	     421	    286046 ns/op	 5201922 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10000-10     	     417	    288524 ns/op	 5201923 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10000-10     	     410	    291082 ns/op	 5201920 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10000-10     	     410	    289670 ns/op	 5201923 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10000-10     	     411	    290342 ns/op	 5201923 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50000-10     	      80	   1487915 ns/op	26001410 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50000-10     	      73	   1429587 ns/op	26001408 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50000-10     	      94	   1425514 ns/op	26001409 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50000-10     	      92	   1449281 ns/op	26001410 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50000-10     	      91	   1416516 ns/op	26001410 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50000-10     	      85	   1423358 ns/op	26001410 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100000-10    	      43	   3018263 ns/op	52002821 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100000-10    	      44	   2822249 ns/op	52002816 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100000-10    	      42	   2831847 ns/op	52002816 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100000-10    	      39	   2841416 ns/op	52002816 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100000-10    	      39	   2854790 ns/op	52002816 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100000-10    	      45	   2839580 ns/op	52002816 B/op	       1 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	7.427s
