goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkHotColdSplit/size=1-10         	669696267	         1.719 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	705443524	         1.820 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	688428328	         1.751 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	564733566	         1.782 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	705103797	         1.701 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	708981540	         1.698 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	706415799	         1.700 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	708808270	         1.752 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	672202533	         1.742 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1-10         	702312950	         1.710 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	160521963	         7.417 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	165555261	         7.552 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	167304883	         7.173 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	168668442	         7.082 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	168162985	         7.133 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	169252716	         7.497 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	139733644	         8.196 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	167564103	         7.173 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	168774322	         7.122 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10-10        	167894295	         7.190 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	20163632	        55.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	21771783	        54.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	21617060	        54.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	21795262	        54.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	21796994	        57.62 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	21774532	        54.89 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	21838514	        59.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	21806451	        55.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	21663076	        57.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50-10        	19276372	        59.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9381736	       127.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9461707	       127.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9386485	       131.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9331755	       127.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9393465	       127.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9312304	       127.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9422578	       131.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 6699242	       152.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9053935	       127.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100-10       	 9586020	       126.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1528238	       754.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1641650	       717.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1717910	       697.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1719134	       696.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1724553	       695.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1638255	       718.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1723154	       697.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1723538	       696.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1717984	       696.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=500-10       	 1720519	       718.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  852385	      1410 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  845002	      1407 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  843765	      1408 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  859108	      1463 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  847780	      1410 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  858000	      1412 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  858626	      1448 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  856182	      1463 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  850120	      1403 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=1000-10      	  850950	      1401 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  162566	      7193 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  168210	      7120 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  168360	      7314 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  169023	      7080 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  169112	      7081 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  169150	      7080 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  169585	      7272 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  169342	      7077 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  169056	      7078 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=5000-10      	  170028	      7171 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   83545	     15022 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   84648	     14688 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   84514	     14186 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   84702	     14293 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   84676	     14482 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   84721	     14180 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   84757	     14173 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   84493	     14177 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   84724	     14747 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=10000-10     	   84547	     14189 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   16924	     71163 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   16695	     71688 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   16789	     73667 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   16840	     73032 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   16497	     72898 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   16872	     71054 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   16899	     70966 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   15931	     73800 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   16870	     71198 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=50000-10     	   16899	     71000 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    8466	    142235 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    8390	    146769 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    8400	    142175 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    8475	    141961 ns/op	       0 B/op	       0 allocs/op
BenchmarkHotColdSplit/size=100000-10    	    8454	    142018 ns/op	       0 B/op	       0 allocs/op
