goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkHotColdSplit/size=1-10         	 1462093	        71.93 ns/op	     576 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1-10         	 1916932	        62.46 ns/op	     576 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1-10         	 1918549	        61.88 ns/op	     576 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1-10         	 1930544	        61.92 ns/op	     576 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1-10         	 1949056	        61.65 ns/op	     576 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1-10         	 1936286	        62.39 ns/op	     576 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10-10        	  249128	       483.1 ns/op	    5376 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10-10        	  248160	       483.9 ns/op	    5376 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10-10        	  247886	       482.2 ns/op	    5376 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10-10        	  255378	       482.0 ns/op	    5376 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10-10        	  253578	       501.3 ns/op	    5376 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10-10        	  231752	       487.4 ns/op	    5376 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50-10        	   56349	      2134 ns/op	   27264 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50-10        	   55684	      2141 ns/op	   27264 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50-10        	   56090	      2140 ns/op	   27264 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50-10        	   56452	      2143 ns/op	   27264 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50-10        	   56332	      2137 ns/op	   27264 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50-10        	   55456	      2165 ns/op	   27264 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100-10       	   27194	      4441 ns/op	   57344 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100-10       	   26779	      4485 ns/op	   57344 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100-10       	   26898	      4462 ns/op	   57344 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100-10       	   26589	      4480 ns/op	   57344 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100-10       	   27027	      4455 ns/op	   57344 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=100-10       	   27032	      4460 ns/op	   57344 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=500-10       	    5602	     20951 ns/op	  262144 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=500-10       	    5902	     20639 ns/op	  262145 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=500-10       	    5794	     20746 ns/op	  262144 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=500-10       	    5727	     20765 ns/op	  262145 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=500-10       	    5808	     20719 ns/op	  262145 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=500-10       	    5901	     20741 ns/op	  262145 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1000-10      	    2498	     45136 ns/op	  524294 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1000-10      	    2773	     45392 ns/op	  524295 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1000-10      	    2689	     45354 ns/op	  524295 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1000-10      	    2698	     45285 ns/op	  524295 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1000-10      	    2624	     45161 ns/op	  524296 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=1000-10      	    2629	     45298 ns/op	  524296 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=5000-10      	     742	    158139 ns/op	 2605056 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=5000-10      	     738	    157748 ns/op	 2605057 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=5000-10      	     775	    156063 ns/op	 2605056 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=5000-10      	     748	    157068 ns/op	 2605063 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=5000-10      	     770	    156617 ns/op	 2605057 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=5000-10      	     760	    156627 ns/op	 2605056 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10000-10     	     374	    314521 ns/op	 5201920 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10000-10     	     388	    309813 ns/op	 5201920 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10000-10     	     379	    320254 ns/op	 5201921 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10000-10     	     370	    319044 ns/op	 5201922 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10000-10     	     384	    312160 ns/op	 5201920 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=10000-10     	     384	    312264 ns/op	 5201920 B/op	       1 allocs/op
BenchmarkHotColdSplit/size=50000-10     	      85	   1573141 ns/op	26001408 B/op	       1 allocs/op
