goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkHotColdSplit-inline_hot_scan.txt,,BenchmarkHotColdSplit-inline_snapshot.txt,,,,BenchmarkHotColdSplit-split_hot_scan.txt,,,,BenchmarkHotColdSplit-split_snapshot.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P,sec/op,CI,vs base,P
HotColdSplit/size=1-10,1.6780000000000002e-09,2%,6.743e-08,7%,+3918.47%,p=0.000 n=10,1.7305000000000002e-09,3%,+3.13%,p=0.004 n=10,6.718e-08,8%,+3903.58%,p=0.000 n=10
HotColdSplit/size=10-10,6.7695e-09,4%,5.0305e-07,6%,+7331.12%,p=0.000 n=10,7.1815000000000005e-09,5%,+6.09%,p=0.000 n=10,5.2725e-07,5%,+7688.61%,p=0.000 n=10
HotColdSplit/size=50-10,5.357e-08,4%,2.1850000000000003e-06,12%,+3978.78%,p=0.000 n=10,5.567000000000001e-08,6%,+3.92%,p=0.015 n=10,2.4195000000000003e-06,23%,+4416.52%,p=0.000 n=10
HotColdSplit/size=100-10,1.2640000000000002e-07,13%,4.6095000000000005e-06,4%,+3546.76%,p=0.000 n=10,1.278e-07,3%,~,p=0.137 n=10,4.939e-06,18%,+3807.44%,p=0.000 n=10
HotColdSplit/size=500-10,7.039500000000001e-07,4%,2.0646000000000002e-05,9%,+2832.88%,p=0.000 n=10,6.977000000000001e-07,3%,~,p=0.448 n=10,2.2135000000000004e-05,3%,+3044.40%,p=0.000 n=10
HotColdSplit/size=1000-10,1.4085000000000002e-06,3%,4.4914500000000005e-05,4%,+3088.82%,p=0.000 n=10,1.41e-06,4%,~,p=0.894 n=10,4.8013500000000004e-05,12%,+3308.84%,p=0.000 n=10
HotColdSplit/size=5000-10,7.277e-06,5%,0.000154368,8%,+2021.31%,p=0.000 n=10,7.100500000000001e-06,2%,-2.43%,p=0.030 n=10,0.00017381250000000003,3%,+2288.52%,p=0.000 n=10
HotColdSplit/size=10000-10,1.5397000000000002e-05,45%,0.00030659450000000005,5%,+1891.26%,p=0.000 n=10,1.4241000000000001e-05,4%,-7.51%,p=0.015 n=10,0.000338757,7%,+2100.15%,p=0.000 n=10
HotColdSplit/size=50000-10,7.6855e-05,6%,0.0014854955,9%,+1832.85%,p=0.000 n=10,7.1443e-05,3%,-7.04%,p=0.003 n=10,0.0016169895000000003,3%,+2003.95%,p=0.000 n=10
HotColdSplit/size=100000-10,0.00032273100000000004,30%,0.0029040455,4%,+799.83%,p=0.000 n=10,0.0001425175,3%,-55.84%,p=0.000 n=10,0.003222697,7%,+898.57%,p=0.000 n=10
geomean,8.562916772861607e-07,,2.4047993509547647e-05,,+2708.39%,,7.85612522835564e-07,,-8.25%,,2.59415552349387e-05,,+2929.52%,

,BenchmarkHotColdSplit-inline_hot_scan.txt,,BenchmarkHotColdSplit-inline_snapshot.txt,,,,BenchmarkHotColdSplit-split_hot_scan.txt,,,,BenchmarkHotColdSplit-split_snapshot.txt,,,
,B/op,CI,B/op,CI,vs base,P,B/op,CI,vs base,P,B/op,CI,vs base,P
HotColdSplit/size=1-10,0,0%,576,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,576,0%,?,p=0.000 n=10
HotColdSplit/size=10-10,0,0%,5376,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,5376,0%,?,p=0.000 n=10
HotColdSplit/size=50-10,0,0%,27264,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,27264,0%,?,p=0.000 n=10
HotColdSplit/size=100-10,0,0%,57344,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,57344,0%,?,p=0.000 n=10
HotColdSplit/size=500-10,0,0%,262144,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,262144,0%,?,p=0.000 n=10
HotColdSplit/size=1000-10,0,0%,524296,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,524296,0%,?,p=0.000 n=10
HotColdSplit/size=5000-10,0,0%,2.60506e+06,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,2.605057e+06,0%,?,p=0.000 n=10
HotColdSplit/size=10000-10,0,0%,5.201923e+06,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,5.201921e+06,0%,?,p=0.000 n=10
HotColdSplit/size=50000-10,0,0%,2.6001409e+07,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,2.6001408e+07,0%,?,p=0.000 n=10
HotColdSplit/size=100000-10,0,0%,5.2002817e+07,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,5.2002816e+07,0%,?,p=0.000 n=10
geomean,,,322558.22229282657,,?,,,,+0.00%,,322558.17088453117,,?,

,BenchmarkHotColdSplit-inline_hot_scan.txt,,BenchmarkHotColdSplit-inline_snapshot.txt,,,,BenchmarkHotColdSplit-split_hot_scan.txt,,,,BenchmarkHotColdSplit-split_snapshot.txt,,,
,allocs/op,CI,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P
HotColdSplit/size=1-10,0,0%,1,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,1,0%,?,p=0.000 n=10
HotColdSplit/size=10-10,0,0%,1,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,1,0%,?,p=0.000 n=10
HotColdSplit/size=50-10,0,0%,1,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,1,0%,?,p=0.000 n=10
HotColdSplit/size=100-10,0,0%,1,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,1,0%,?,p=0.000 n=10
HotColdSplit/size=500-10,0,0%,1,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,1,0%,?,p=0.000 n=10
HotColdSplit/size=1000-10,0,0%,1,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,1,0%,?,p=0.000 n=10
HotColdSplit/size=5000-10,0,0%,1,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,1,0%,?,p=0.000 n=10
HotColdSplit/size=10000-10,0,0%,1,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,1,0%,?,p=0.000 n=10
HotColdSplit/size=50000-10,0,0%,1,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,1,0%,?,p=0.000 n=10
HotColdSplit/size=100000-10,0,0%,1,0%,?,p=0.000 n=10,0,0%,~,p=1.000 n=10,1,0%,?,p=0.000 n=10
geomean,,,1,,?,,,,+0.00%,,1,,?,
