goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkIfSwitch/cases=3_workload=first-10         	 1000000	       111.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=first-10         	 1000000	       111.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=first-10         	 1000000	       105.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=first-10         	 1000000	       102.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=first-10         	 1000000	       107.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=first-10         	  997609	       105.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=middle-10        	  824788	       146.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=middle-10        	  919363	       143.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=middle-10        	 1000000	       140.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=middle-10        	  756541	       171.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=middle-10        	  884521	       145.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=middle-10        	  999097	       145.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=last-10          	  571178	       210.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=last-10          	  536721	       212.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=last-10          	  590018	       223.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=last-10          	  528643	       230.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=last-10          	  518899	       221.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=last-10          	  525979	       214.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=miss-10          	  575516	       258.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=miss-10          	  521757	       268.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=miss-10          	  433360	       274.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=miss-10          	  463468	       245.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=miss-10          	  516480	       237.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=miss-10          	  408405	       249.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=cycle-10         	  629301	       213.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=cycle-10         	  538538	       217.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=cycle-10         	  522619	       208.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=cycle-10         	  600909	       199.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=cycle-10         	  662342	       246.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=cycle-10         	  504483	       209.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=random-10        	  375640	       332.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=random-10        	  355664	       334.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=random-10        	  392937	       321.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=random-10        	  398852	       325.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=random-10        	  403671	       334.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=3_workload=random-10        	  344356	       338.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=first-10         	 1000000	       102.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=first-10         	 1147146	       104.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=first-10         	 1000000	       107.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=first-10         	 1000000	       106.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=first-10         	 1000000	       108.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=first-10         	 1000000	       109.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=middle-10        	  578719	       221.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=middle-10        	  600052	       206.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=middle-10        	  561852	       228.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=middle-10        	  481500	       230.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=middle-10        	  521304	       225.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=middle-10        	  489962	       232.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=last-10          	  295236	       343.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=last-10          	  359666	       304.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=last-10          	  436860	       309.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=last-10          	  441128	       305.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=last-10          	  387085	       305.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=last-10          	  359761	       320.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=miss-10          	  246572	       421.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=miss-10          	  249661	       402.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=miss-10          	  309729	       390.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=miss-10          	  371890	       394.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=miss-10          	  271572	       380.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=miss-10          	  557059	       354.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=cycle-10         	  517706	       278.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=cycle-10         	  542361	       253.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=cycle-10         	  443799	       297.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=cycle-10         	  502740	       275.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=cycle-10         	  474409	       259.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/cases=5_workload=cycle-10         	  440131	       266.0 ns/op	       0 B/op	       0 allocs/op
