goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkIfSwitch/size=1-10         	55265253	         1.982 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=1-10         	70569222	         1.709 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=1-10         	70796460	         1.723 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=1-10         	71363070	         1.720 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=1-10         	70462148	         1.707 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=1-10         	70081503	         1.709 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=10-10        	14414990	         7.745 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=10-10        	14202092	         7.205 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=10-10        	14191038	         7.402 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=10-10        	18996860	         7.542 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=10-10        	16574108	         7.597 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=10-10        	14113218	         7.560 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=100-10       	 1836514	        65.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=100-10       	 1647406	        69.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=100-10       	 1712540	        72.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=100-10       	 1827892	        66.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=100-10       	 1855581	        66.14 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=100-10       	 1729069	        69.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=1000-10      	  198849	       581.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=1000-10      	  248311	       607.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=1000-10      	  248029	       564.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=1000-10      	  249878	       633.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=1000-10      	  192120	       545.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIfSwitch/size=1000-10      	  251701	       516.2 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	3.132s
