goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkIndirectionCostRead/iterations=1-10         	  579954	      1000 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=1-10         	  621694	       959.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=1-10         	  633942	       954.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=1-10         	  638067	       950.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=1-10         	  625287	       952.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=1-10         	  632286	       977.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=2-10         	  310530	      1921 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=2-10         	  312823	      1919 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=2-10         	  308976	      1924 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=2-10         	  311150	      1922 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=2-10         	  308245	      1928 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=2-10         	  312858	      1927 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=5-10         	  125443	      4851 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=5-10         	  124359	      4815 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=5-10         	  123964	      4811 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=5-10         	  125290	      4834 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=5-10         	  124802	      4822 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=5-10         	  124006	      4838 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=10-10        	   60865	      9697 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=10-10        	   61806	      9718 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=10-10        	   61233	      9756 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=10-10        	   61527	      9705 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=10-10        	   62264	      9625 ns/op	       0 B/op	       0 allocs/op
