goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkIndirectionCostRead/iterations=1-10         	  531266	      1122 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=1-10         	  551197	      1107 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=1-10         	  546048	      1099 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=1-10         	  547431	      1097 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=1-10         	  547909	      1097 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=1-10         	  547010	      1102 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=2-10         	  270648	      2251 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=2-10         	  272001	      2230 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=2-10         	  268946	      2240 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=2-10         	  269074	      2235 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=2-10         	  266440	      2240 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=2-10         	  267882	      2225 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=5-10         	  107692	      5650 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=5-10         	  106425	      5571 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=5-10         	  108361	      5564 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=5-10         	  106581	      5593 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=5-10         	  108937	      5572 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=5-10         	  108018	      5540 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=10-10        	   54399	     11021 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostRead/iterations=10-10        	   54189	     11034 ns/op	       0 B/op	       0 allocs/op
