goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkIndirectionCostTinyRead/iterations=1-10         	 1748139	       335.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=1-10         	 1819591	       331.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=1-10         	 1815044	       329.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=1-10         	 1819597	       330.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=1-10         	 1833775	       327.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=1-10         	 1811563	       330.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=2-10         	  927129	       664.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=2-10         	  897016	       666.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=2-10         	  932050	       667.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=2-10         	  891430	       671.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=2-10         	  882958	       669.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=2-10         	  922798	       665.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=5-10         	  366552	      1660 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=5-10         	  364014	      1669 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=5-10         	  360080	      1675 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=5-10         	  354192	      1692 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=5-10         	  372366	      1700 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=5-10         	  367192	      1678 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=10-10        	  179196	      3377 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=10-10        	  177589	      3363 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=10-10        	  181300	      3359 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=10-10        	  182438	      3347 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyRead/iterations=10-10        	  175297	      3357 ns/op	       0 B/op	       0 allocs/op
