goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkIndirectionCostTinyWrite/iterations=1-10         	 2664710	       227.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=1-10         	 2580921	       257.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=1-10         	 2342752	       240.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=1-10         	 2644810	       226.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=1-10         	 2186372	       250.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=1-10         	 2651442	       225.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=2-10         	 1308357	       460.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=2-10         	 1324486	       463.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=2-10         	 1319257	       461.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=2-10         	 1310125	       459.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=2-10         	 1305486	       457.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=2-10         	 1327605	       452.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=5-10         	  531172	      1127 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=5-10         	  529957	      1132 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=5-10         	  529717	      1116 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=5-10         	  575677	      1126 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=5-10         	  535462	      1168 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=5-10         	  537367	      1127 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=10-10        	  270512	      2218 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=10-10        	  265051	      2701 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=10-10        	  271641	      2221 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=10-10        	  275167	      2234 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostTinyWrite/iterations=10-10        	  274423	      3044 ns/op	       0 B/op	       0 allocs/op
