goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkIndirectionCostWrite/iterations=1-10         	  392330	      1537 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=1-10         	  439698	      1447 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=1-10         	  436621	      1900 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=1-10         	  307258	      1656 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=1-10         	  382330	      1507 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=1-10         	  448564	      1404 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=2-10         	  226507	      2702 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=2-10         	  220792	      2722 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=2-10         	  220588	      2724 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=2-10         	  219488	      2717 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=2-10         	  219853	      2770 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=2-10         	  221446	      2710 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=5-10         	   88532	      6740 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=5-10         	   89533	      6713 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=5-10         	   89212	      6702 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=5-10         	   90128	      6793 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=5-10         	   87312	      6809 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=5-10         	   88268	      6796 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=10-10        	   44275	     13553 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=10-10        	   44144	     13572 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=10-10        	   44256	     13524 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=10-10        	   45369	     13401 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=10-10        	   44204	     13587 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=10-10        	   43762	     13668 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=25-10        	   17640	     34026 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=25-10        	   17670	     33978 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=25-10        	   17626	     34032 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=25-10        	   17670	     34063 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=25-10        	   17612	     34082 ns/op	       0 B/op	       0 allocs/op
