goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkIndirectionCostWrite/iterations=1-10         	  423662	      1367 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=1-10         	  453385	      1326 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=1-10         	  443864	      1351 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=1-10         	  447945	      1320 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=1-10         	  449071	      1354 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=1-10         	  442203	      1528 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=2-10         	  201267	      2792 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=2-10         	  221137	      2793 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=2-10         	  223034	      2721 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=2-10         	  211618	      2784 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=2-10         	  221198	      2710 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=2-10         	  222679	      2712 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=5-10         	   89260	      6783 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=5-10         	   87690	      6913 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=5-10         	   89022	      6744 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=5-10         	   88611	      6758 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=5-10         	   88645	      6823 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=5-10         	   90634	      6622 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=10-10        	   45019	     13583 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=10-10        	   43707	     13761 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=10-10        	   43785	     13679 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=10-10        	   43671	     13825 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=10-10        	   43544	     15782 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=10-10        	   41259	     14199 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=25-10        	   17085	     35141 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=25-10        	   17085	     34900 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=25-10        	   16020	     37375 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=25-10        	   16070	     36266 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=25-10        	   16639	     35499 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=25-10        	   17440	     34422 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=50-10        	    8757	     69324 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=50-10        	    8646	     68615 ns/op	       0 B/op	       0 allocs/op
BenchmarkIndirectionCostWrite/iterations=50-10        	    8748	     68555 ns/op	       0 B/op	       0 allocs/op
