goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkIterate/size=10-10         	   15262	      7832 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=10-10         	   14902	      7944 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=10-10         	   15876	      7452 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=10-10         	   16206	      7359 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=10-10         	   16412	      7349 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=10-10         	   16376	      7449 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=50-10         	   16105	      7454 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=50-10         	   16047	      7565 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=50-10         	   16114	      7474 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=50-10         	   16351	      7397 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=50-10         	   15958	      7468 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=50-10         	   16099	      7458 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=100-10        	   15662	      7621 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=100-10        	   15895	      7576 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=100-10        	   14565	      8185 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=100-10        	   15322	      7775 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=100-10        	   15686	      7649 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=100-10        	   15573	      7670 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=500-10        	   13556	      8869 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=500-10        	   13212	      9064 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=500-10        	   13557	      8819 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=500-10        	   13340	      8900 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=500-10        	   13576	      8789 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=500-10        	   13610	      8802 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=1000-10       	   10000	     10263 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=1000-10       	   10000	     10337 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=1000-10       	   10000	     10494 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=1000-10       	   10000	     10329 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=1000-10       	   10000	     10449 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=1000-10       	   10000	     10421 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=5000-10       	    4921	     27383 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=5000-10       	    4710	     25394 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=5000-10       	    4863	     25116 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=5000-10       	    4819	     24448 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=5000-10       	    5121	     24329 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=5000-10       	    4848	     24390 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=10000-10      	    3086	     41413 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=10000-10      	    2787	     41790 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=10000-10      	    2808	     41770 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=10000-10      	    2816	     42343 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=10000-10      	    3116	     41372 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=10000-10      	    2782	     41273 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=50000-10      	     666	    183259 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=50000-10      	     661	    179552 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=50000-10      	     640	    185062 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=50000-10      	     645	    181211 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=50000-10      	     628	    183776 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=50000-10      	     648	    182962 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=100000-10     	     340	    358695 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=100000-10     	     332	    358308 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=100000-10     	     337	    357447 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=100000-10     	     336	    357769 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=100000-10     	     333	    357479 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=100000-10     	     332	    364940 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=500000-10     	      64	   1820583 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=500000-10     	      67	   1789074 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=500000-10     	      66	   1794287 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=500000-10     	      69	   1801362 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=500000-10     	      58	   1816797 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=500000-10     	      62	   1789872 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=1000000-10    	      31	   3577122 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=1000000-10    	      32	   3591266 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=1000000-10    	      32	   3618514 ns/op	       0 B/op	       0 allocs/op
BenchmarkIterate/size=1000000-10    	      32	   3572996 ns/op	       0 B/op	       0 allocs/op
