goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkIterate/size=10-10         	 1013530	       105.8 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=10-10         	 1318740	        90.73 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=10-10         	 1315719	        91.27 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=10-10         	 1312110	        94.36 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=10-10         	 1312572	        91.45 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=10-10         	 1295514	        92.71 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=50-10         	  343572	       348.3 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=50-10         	  345277	       352.7 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=50-10         	  341061	       348.9 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=50-10         	  351742	       352.3 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=50-10         	  348086	       349.0 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=50-10         	  341506	       349.0 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=100-10        	  176334	       676.4 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=100-10        	  176192	       679.3 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=100-10        	  177721	       671.2 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=100-10        	  179403	       670.3 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=100-10        	  182174	       684.8 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=100-10        	  180535	       674.0 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=500-10        	   37413	      3229 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=500-10        	   37077	      3245 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=500-10        	   36976	      3243 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=500-10        	   37286	      3275 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=500-10        	   37461	      3234 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=500-10        	   36480	      3261 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=1000-10       	   18631	      6432 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=1000-10       	   18560	      6442 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=1000-10       	   18488	      6450 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=1000-10       	   18638	      6436 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=1000-10       	   18692	      6445 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=1000-10       	   18739	      6423 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=5000-10       	    3714	     32286 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=5000-10       	    3760	     32255 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=5000-10       	    3697	     32094 ns/op	      48 B/op	       3 allocs/op
BenchmarkIterate/size=5000-10       	    3763	     32052 ns/op	      48 B/op	       3 allocs/op
