goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkIterate/size=10-10         	   14980	      8010 ns/op	      80 B/op	       1 allocs/op
BenchmarkIterate/size=10-10         	   14816	      8114 ns/op	      80 B/op	       1 allocs/op
BenchmarkIterate/size=10-10         	   15150	      7995 ns/op	      80 B/op	       1 allocs/op
BenchmarkIterate/size=10-10         	   14824	      8105 ns/op	      80 B/op	       1 allocs/op
BenchmarkIterate/size=10-10         	   14792	      8014 ns/op	      80 B/op	       1 allocs/op
BenchmarkIterate/size=10-10         	   14751	      8101 ns/op	      80 B/op	       1 allocs/op
BenchmarkIterate/size=50-10         	   14660	      8183 ns/op	     416 B/op	       1 allocs/op
BenchmarkIterate/size=50-10         	   14545	      8278 ns/op	     416 B/op	       1 allocs/op
BenchmarkIterate/size=50-10         	   14257	      8396 ns/op	     416 B/op	       1 allocs/op
BenchmarkIterate/size=50-10         	   14619	      8192 ns/op	     416 B/op	       1 allocs/op
BenchmarkIterate/size=50-10         	   14302	      8341 ns/op	     416 B/op	       1 allocs/op
BenchmarkIterate/size=50-10         	   14797	      8062 ns/op	     416 B/op	       1 allocs/op
BenchmarkIterate/size=100-10        	   14361	      8398 ns/op	     896 B/op	       1 allocs/op
BenchmarkIterate/size=100-10        	   14323	      8253 ns/op	     896 B/op	       1 allocs/op
BenchmarkIterate/size=100-10        	   15106	      7860 ns/op	     896 B/op	       1 allocs/op
BenchmarkIterate/size=100-10        	   15194	      7845 ns/op	     896 B/op	       1 allocs/op
BenchmarkIterate/size=100-10        	   15266	      7816 ns/op	     896 B/op	       1 allocs/op
BenchmarkIterate/size=100-10        	   15448	      7836 ns/op	     896 B/op	       1 allocs/op
BenchmarkIterate/size=500-10        	   12033	      9957 ns/op	    4096 B/op	       1 allocs/op
BenchmarkIterate/size=500-10        	   12058	      9935 ns/op	    4096 B/op	       1 allocs/op
BenchmarkIterate/size=500-10        	   12158	      9869 ns/op	    4096 B/op	       1 allocs/op
BenchmarkIterate/size=500-10        	   12091	      9919 ns/op	    4096 B/op	       1 allocs/op
BenchmarkIterate/size=500-10        	   12151	      9912 ns/op	    4096 B/op	       1 allocs/op
BenchmarkIterate/size=500-10        	   12110	      9886 ns/op	    4096 B/op	       1 allocs/op
BenchmarkIterate/size=1000-10       	   10000	     12321 ns/op	    8192 B/op	       1 allocs/op
