goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M1
,BenchmarkIterate-direct.txt,,BenchmarkIterate-range_func.txt,,,,BenchmarkIterate-slice_iterate.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Iterate/size=10-8,8.614500000000001e-08,0%,1.3595e-07,1%,+57.82%,p=0.000 n=10,1.0890000000000002e-07,1%,+26.41%,p=0.000 n=10
Iterate/size=50-8,4.0035e-07,0%,4.914e-07,0%,+22.74%,p=0.000 n=10,4.7755e-07,0%,+19.28%,p=0.000 n=10
Iterate/size=100-8,7.914000000000001e-07,0%,9.329e-07,0%,+17.88%,p=0.000 n=10,9.255500000000001e-07,0%,+16.95%,p=0.000 n=10
Iterate/size=500-8,3.9295e-06,0%,4.4795e-06,0%,+14.00%,p=0.000 n=10,4.5e-06,0%,+14.52%,p=0.000 n=10
Iterate/size=1000-8,7.8495e-06,0%,8.889e-06,1%,+13.24%,p=0.000 n=10,8.957e-06,1%,+14.11%,p=0.000 n=10
Iterate/size=5000-8,3.9217e-05,0%,4.4209500000000004e-05,0%,+12.73%,p=0.000 n=10,4.400750000000001e-05,0%,+12.22%,p=0.000 n=10
Iterate/size=10000-8,7.846900000000001e-05,0%,8.8353e-05,0%,+12.60%,p=0.000 n=10,8.738700000000001e-05,0%,+11.36%,p=0.000 n=10
Iterate/size=50000-8,0.00039225,0%,0.0004413875,0%,+12.53%,p=0.000 n=10,0.00043635500000000003,0%,+11.24%,p=0.000 n=10
Iterate/size=100000-8,0.0007853015000000001,0%,0.0008834450000000001,0%,+12.50%,p=0.000 n=10,0.0008749835000000001,0%,+11.42%,p=0.000 n=10
Iterate/size=500000-8,0.003928043500000001,0%,0.004425504,1%,+12.66%,p=0.000 n=10,0.004315076500000001,0%,+9.85%,p=0.000 n=10
Iterate/size=1000000-8,0.007855058500000001,0%,0.0088450645,0%,+12.60%,p=0.000 n=10,0.0086044425,0%,+9.54%,p=0.000 n=10
geomean,3.0911641958435706e-05,,3.63848927994005e-05,,+17.71%,,3.5291315259790554e-05,,+14.17%,

,BenchmarkIterate-direct.txt,,BenchmarkIterate-range_func.txt,,,,BenchmarkIterate-slice_iterate.txt,,,
,B/op,CI,B/op,CI,vs base,P,B/op,CI,vs base,P
Iterate/size=10-8,0,0%,48,0%,?,p=0.000 n=10,80,0%,?,p=0.000 n=10
Iterate/size=50-8,0,0%,48,0%,?,p=0.000 n=10,416,0%,?,p=0.000 n=10
Iterate/size=100-8,0,0%,48,0%,?,p=0.000 n=10,896,0%,?,p=0.000 n=10
Iterate/size=500-8,0,0%,48,0%,?,p=0.000 n=10,4096,0%,?,p=0.000 n=10
Iterate/size=1000-8,0,0%,48,0%,?,p=0.000 n=10,8192,0%,?,p=0.000 n=10
Iterate/size=5000-8,0,0%,48,0%,?,p=0.000 n=10,40960,0%,?,p=0.000 n=10
Iterate/size=10000-8,0,0%,48,0%,?,p=0.000 n=10,81921,0%,?,p=0.000 n=10
Iterate/size=50000-8,0,0%,48,0%,?,p=0.000 n=10,401414,0%,?,p=0.000 n=10
Iterate/size=100000-8,0,0%,48,0%,?,p=0.000 n=10,802829,0%,?,p=0.000 n=10
Iterate/size=500000-8,0,0%,48,0%,?,p=0.000 n=10,4.0059155e+06,0%,?,p=0.000 n=10
Iterate/size=1000000-8,0,0%,48,0%,?,p=0.000 n=10,8.0036165e+06,0%,?,p=0.000 n=10
geomean,,,47.999999999999986,,?,,31890.002150864493,,?,

,BenchmarkIterate-direct.txt,,BenchmarkIterate-range_func.txt,,,,BenchmarkIterate-slice_iterate.txt,,,
,allocs/op,CI,allocs/op,CI,vs base,P,allocs/op,CI,vs base,P
Iterate/size=10-8,0,0%,3,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10
Iterate/size=50-8,0,0%,3,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10
Iterate/size=100-8,0,0%,3,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10
Iterate/size=500-8,0,0%,3,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10
Iterate/size=1000-8,0,0%,3,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10
Iterate/size=5000-8,0,0%,3,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10
Iterate/size=10000-8,0,0%,3,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10
Iterate/size=50000-8,0,0%,3,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10
Iterate/size=100000-8,0,0%,3,0%,?,p=0.000 n=10,1,0%,?,p=0.000 n=10
Iterate/size=500000-8,0,0%,3,0%,?,p=0.000 n=10,2,0%,?,p=0.000 n=10
Iterate/size=1000000-8,0,0%,3,0%,?,p=0.000 n=10,2,0%,?,p=0.000 n=10
geomean,,,2.9999999999999996,,?,,1.1343125221954626,,?,
