goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkLinearVsRandomAccess/records=64-10         	 1934430	        56.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=64-10         	 2273798	        52.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=64-10         	 2298890	        51.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=64-10         	 2442531	        50.76 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=64-10         	 2391750	        49.85 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=64-10         	 2410644	        49.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=128-10        	 1000000	       101.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=128-10        	 1000000	       101.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=128-10        	 1201644	       100.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=128-10        	 1000000	       102.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=128-10        	 1000000	       103.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=128-10        	 1000000	       102.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=256-10        	  598926	       200.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=256-10        	  599275	       198.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=256-10        	  613928	       201.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=256-10        	  637012	       201.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=256-10        	  558756	       199.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=256-10        	  594194	       201.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=512-10        	  309520	       401.2 ns/op	       0 B/op	       0 allocs/op
