goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkLinearVsRandomAccess/records=64-10         	 1931881	        55.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=64-10         	 2288082	        51.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=64-10         	 2340673	        50.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=64-10         	 2431111	        50.25 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=64-10         	 2446006	        49.88 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=64-10         	 2483634	        49.75 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=128-10        	 1214583	        99.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=128-10        	 1207980	        99.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=128-10        	 1000000	       100.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=128-10        	 1000000	       101.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=128-10        	 1000000	       101.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=128-10        	 1000000	       100.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=256-10        	  632438	       198.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=256-10        	  596878	       201.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=256-10        	  591982	       199.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=256-10        	  601302	       203.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=256-10        	  616569	       199.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=256-10        	  634416	       198.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=512-10        	  318189	       397.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=512-10        	  310156	       398.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=512-10        	  305700	       398.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=512-10        	  297127	       395.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=512-10        	  305589	       398.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=512-10        	  312978	       399.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=1024-10       	  149934	       811.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=1024-10       	  150776	       804.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=1024-10       	  153522	       796.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=1024-10       	  152985	       795.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=1024-10       	  152307	       795.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=1024-10       	  155065	       804.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=2048-10       	   59904	      1981 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=2048-10       	   60626	      1984 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=2048-10       	   60475	      1991 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=2048-10       	   61713	      2007 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=2048-10       	   60777	      1983 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=2048-10       	   59852	      1992 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=4096-10       	   27464	      4408 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=4096-10       	   26534	      4470 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=4096-10       	   26332	      4510 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=4096-10       	   27717	      4377 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=4096-10       	   27068	      4436 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=4096-10       	   27240	      4449 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=8192-10       	   13483	      8911 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=8192-10       	   13604	      8792 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=8192-10       	   13300	      9111 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=8192-10       	   13676	      8807 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=8192-10       	   13425	      8914 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=8192-10       	   13634	      8901 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=16384-10      	    6271	     18581 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=16384-10      	    6435	     18340 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=16384-10      	    5874	     18650 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=16384-10      	    6357	     18529 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=16384-10      	    6517	     18476 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=16384-10      	    6585	     18825 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=32768-10      	    2947	     42079 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=32768-10      	    2752	     42201 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=32768-10      	    2902	     41955 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=32768-10      	    2998	     41764 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=32768-10      	    2912	     42598 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=32768-10      	    2982	     41815 ns/op	       0 B/op	       0 allocs/op
BenchmarkLinearVsRandomAccess/records=65536-10      	    1292	     93110 ns/op	       0 B/op	       0 allocs/op
