goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkNeedleInAHaystack/size=10_iterations=10-10         	  661683	       176.1 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=10-10         	  606736	       169.0 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=10-10         	  788544	       166.5 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=10-10         	  831000	       168.5 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=10-10         	  821026	       169.3 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=10-10         	  813604	       167.9 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=50-10         	  436006	       321.0 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=50-10         	  321560	       330.2 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=50-10         	  397174	       318.4 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=50-10         	  324828	       322.0 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=50-10         	  413317	       323.2 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=50-10         	  424477	       325.3 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=100-10        	  248007	       536.8 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=100-10        	  226536	       531.2 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=100-10        	  202054	       528.1 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=100-10        	  247900	       530.8 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=100-10        	  244862	       529.6 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=100-10        	  214071	       541.6 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=500-10        	   54837	      2130 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=500-10        	   56809	      2122 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=500-10        	   56019	      2178 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=500-10        	   54450	      2167 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=500-10        	   54194	      2144 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=500-10        	   56516	      2146 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=1000-10       	   28510	      4128 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=1000-10       	   29569	      4092 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=1000-10       	   28525	      4162 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=1000-10       	   27691	      4188 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=1000-10       	   28780	      4103 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=1000-10       	   29886	      4081 ns/op	     328 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=10-10         	  241206	       460.5 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=10-10         	  246096	       455.2 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=10-10         	  261772	       450.3 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=10-10         	  234996	       461.0 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=10-10         	  291097	       445.1 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=10-10         	  240372	       458.4 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=50-10         	  200766	       605.1 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=50-10         	  158008	       696.1 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=50-10         	  181878	       698.1 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=50-10         	  166153	       636.6 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=50-10         	  211268	       631.4 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=50-10         	  189609	       612.5 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=100-10        	  154022	       859.1 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=100-10        	  142995	       827.6 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=100-10        	  148048	       824.8 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=100-10        	  143592	       835.6 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=100-10        	  161919	       824.5 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=100-10        	  157726	       827.9 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=500-10        	   50040	      2392 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=500-10        	   49501	      2399 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=500-10        	   50085	      2418 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=500-10        	   49624	      2460 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=500-10        	   48844	      2454 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=500-10        	   52014	      2371 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=1000-10       	   26446	      4380 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=1000-10       	   27524	      4382 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=1000-10       	   25113	      4793 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=1000-10       	   27730	      4402 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=1000-10       	   25635	      4671 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=50_iterations=1000-10       	   27696	      4330 ns/op	    1192 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=10-10        	  129021	       971.4 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=10-10        	  120420	      1000 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=10-10        	  112656	       923.4 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=10-10        	  137482	       899.6 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=10-10        	  137689	       904.0 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=10-10        	  129259	       894.9 ns/op	    2344 B/op	       3 allocs/op
BenchmarkNeedleInAHaystack/size=100_iterations=50-10        	  120423	      1024 ns/op	    2344 B/op	       3 allocs/op
