goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkNeedleInAHaystack/size=10_iterations=10-10         	 4539464	        28.01 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=10-10         	 4532192	        26.46 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=10-10         	 4594099	        26.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=10-10         	 4495461	        26.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=10-10         	 3982828	        29.87 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=10-10         	 4033579	        29.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=50-10         	  922963	       127.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=50-10         	 1000000	       120.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=50-10         	 1000000	       121.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=50-10         	 1000000	       120.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=50-10         	 1000000	       121.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=50-10         	 1000000	       121.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=100-10        	  527278	       241.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=100-10        	  507273	       237.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=100-10        	  529323	       241.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=100-10        	  479544	       238.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=100-10        	  453164	       239.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=100-10        	  528120	       241.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=500-10        	  107995	      1148 ns/op	       0 B/op	       0 allocs/op
BenchmarkNeedleInAHaystack/size=10_iterations=500-10        	  106014	      1130 ns/op	       0 B/op	       0 allocs/op
