goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,assets/BenchmarkNeedleInAHaystack-map.txt,,assets/BenchmarkNeedleInAHaystack-slice.txt,,,
,sec/op,CI,sec/op,CI,vs base,P
NeedleInAHaystack/size=10_iterations=10-10,1.6875000000000003e-07,4%,2.7320000000000002e-08,9%,-83.81%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=50-10,3.226e-07,2%,1.2125e-07,5%,-62.41%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=100-10,5.310000000000001e-07,2%,2.4015000000000004e-07,1%,-54.77%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=500-10,2.1450000000000002e-06,2%,1.1430000000000001e-06,1%,-46.71%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=1000-10,4.1155e-06,2%,2.29e-06,1%,-44.36%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=10-10,4.568e-07,3%,1.2385000000000001e-07,1%,-72.89%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=50-10,6.34e-07,10%,5.556e-07,1%,-12.37%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=100-10,8.2775e-07,4%,1.0965e-06,8%,+32.47%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=500-10,2.4085e-06,2%,5.5405000000000006e-06,8%,+130.04%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=1000-10,4.3920000000000005e-06,9%,1.0801e-05,2%,+145.92%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=10-10,9.137e-07,9%,2.351e-07,1%,-74.27%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=50-10,1.049e-06,4%,1.1135e-06,6%,~,p=0.165 n=6
NeedleInAHaystack/size=100_iterations=100-10,1.2895e-06,6%,2.2605e-06,6%,+75.30%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=500-10,2.7685e-06,2%,1.1392e-05,2%,+311.49%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=1000-10,4.680000000000001e-06,1%,2.2838e-05,8%,+387.99%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=10-10,4.7855e-06,9%,1.1475e-06,3%,-76.02%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=50-10,4.9115e-06,1%,5.658000000000001e-06,6%,+15.20%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=100-10,5.104000000000001e-06,2%,1.10295e-05,1%,+116.10%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=500-10,6.6525e-06,18%,5.7537e-05,2%,+764.89%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=1000-10,8.432e-06,2%,0.00010799250000000001,1%,+1180.75%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=10-10,1.0373e-05,3%,2.1195e-06,8%,-79.57%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=50-10,1.05385e-05,2%,1.0489500000000002e-05,2%,~,p=0.699 n=6
NeedleInAHaystack/size=1000_iterations=100-10,1.07825e-05,2%,2.065e-05,1%,+91.51%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=500-10,1.22225e-05,2%,0.00011305850000000001,7%,+825.00%,p=0.002 n=6
NeedleInAHaystack/size=1000_iterations=1000-10,1.4214e-05,2%,0.0002192825,11%,+1442.72%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=10-10,5.9755e-05,2%,1.0419e-05,1%,-82.56%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=50-10,5.9621000000000004e-05,1%,5.130300000000001e-05,2%,-13.95%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=100-10,6.0168500000000005e-05,2%,0.00010167950000000001,12%,+68.99%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=500-10,6.293250000000001e-05,1%,0.0005406215,4%,+759.05%,p=0.002 n=6
NeedleInAHaystack/size=5000_iterations=1000-10,6.38455e-05,6%,0.0010540375,9%,+1550.92%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=10-10,0.0001328505,2%,1.993e-05,3%,-85.00%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=50-10,0.00013003800000000002,1%,0.00010776700000000001,9%,-17.13%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=100-10,0.000130251,1%,0.00021206450000000002,7%,+62.81%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=500-10,0.0001346055,1%,0.001115194,2%,+728.49%,p=0.002 n=6
NeedleInAHaystack/size=10000_iterations=1000-10,0.00013781050000000002,3%,0.0023102275000000004,7%,+1576.38%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=10-10,0.0007406075000000001,1%,0.000106802,2%,-85.58%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=50-10,0.0007598955,2%,0.000503662,1%,-33.72%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=100-10,0.0007472835,1%,0.001128803,1%,+51.05%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=500-10,0.0007458645000000001,4%,0.005699165000000001,10%,+664.10%,p=0.002 n=6
NeedleInAHaystack/size=50000_iterations=1000-10,0.0007603225000000001,7%,0.008579607,2%,+1028.42%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=10-10,0.0017060870000000002,10%,0.0002208035,11%,-87.06%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=50-10,0.001630635,2%,0.0010597725,9%,-35.01%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=100-10,0.001613271,8%,0.0021936185,7%,+35.97%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=500-10,0.0016415215000000001,2%,0.010202428500000001,8%,+521.52%,p=0.002 n=6
NeedleInAHaystack/size=100000_iterations=1000-10,0.0016982120000000002,3%,0.0189581525,1%,+1016.36%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=10-10,0.019813035,6%,0.001023792,0%,-94.83%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=50-10,0.019851257,2%,0.005108658,1%,-74.27%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=100-10,0.019685525000000002,39%,0.011414018000000001,7%,-42.02%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=500-10,0.019407639,2%,0.050284333,6%,+159.10%,p=0.002 n=6
NeedleInAHaystack/size=500000_iterations=1000-10,0.018750777500000003,3%,0.136381937,1%,+627.34%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=10-10,0.051787024,3%,0.00234734,4%,-95.47%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=50-10,0.05092105200000001,8%,0.010772975,2%,-78.84%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=100-10,0.051144958000000004,2%,0.0273000625,1%,-46.62%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=500-10,0.050510979500000004,2%,0.1374731455,3%,+172.16%,p=0.002 n=6
NeedleInAHaystack/size=1000000_iterations=1000-10,0.0506257185,1%,0.27769097900000006,7%,+448.52%,p=0.002 n=6
geomean,8.170189184308216e-05,,0.00010396177936856119,,+27.25%,

,assets/BenchmarkNeedleInAHaystack-map.txt,,assets/BenchmarkNeedleInAHaystack-slice.txt,,,
,B/op,CI,B/op,CI,vs base,P
NeedleInAHaystack/size=10_iterations=10-10,328,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=50-10,328,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=100-10,328,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=500-10,328,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=10_iterations=1000-10,328,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=10-10,1192,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=50-10,1192,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=100-10,1192,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=500-10,1192,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=50_iterations=1000-10,1192,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=10-10,2344,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=50-10,2344,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=100-10,2344,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=500-10,2344,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=100_iterations=1000-10,2344,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=10-10,18472,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=50-10,18472,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=100-10,18472,0%,0,0%,-100.00%,p=0.002 n=6
NeedleInAHaystack/size=500_iterations=500-10,18472,0%,0,0%,-100.00%,p=0.002 n=6
