goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkParamValueVsPointer/size=8-10         	  608043	       176.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=8-10         	  919245	       139.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=8-10         	  904663	       141.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=8-10         	  844995	       139.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=8-10         	  845466	       138.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=8-10         	  902566	       140.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=16-10        	  659521	       185.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=16-10        	  722401	       186.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=16-10        	  717792	       185.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=16-10        	  713294	       182.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=16-10        	  674551	       174.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=16-10        	  702079	       176.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=24-10        	  858189	       156.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=24-10        	  850887	       153.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=24-10        	  858982	       157.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=24-10        	  841022	       151.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=24-10        	  768102	       154.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=24-10        	  814594	       154.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=32-10        	  113583	      1067 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=32-10        	  113419	      1044 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=32-10        	  113758	      1048 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=32-10        	  114829	      1052 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=32-10        	  115728	      1047 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=32-10        	  114716	      1054 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=64-10        	   96693	      1242 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=64-10        	   97838	      1232 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=64-10        	   97652	      1241 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=64-10        	   93237	      1249 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=64-10        	   90814	      1281 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=64-10        	   98396	      1240 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=96-10        	   97561	      1246 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=96-10        	   89742	      1288 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=96-10        	   97626	      1262 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=96-10        	   95680	      1256 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=96-10        	   95900	      1250 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=96-10        	   96320	      1256 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=128-10       	  101155	      1212 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=128-10       	   99771	      1204 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=128-10       	  100653	      1223 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=128-10       	  100507	      1207 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=128-10       	  100244	      1238 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=128-10       	  100510	      1213 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=192-10       	  102844	      1165 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=192-10       	  103650	      1179 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=192-10       	  103056	      1166 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=192-10       	   94690	      1163 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=192-10       	  103972	      1152 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=192-10       	  104536	      1166 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=256-10       	  100131	      1231 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=256-10       	   98336	      1230 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=256-10       	   99028	      1213 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=256-10       	   99987	      1213 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=256-10       	   98174	      1264 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=256-10       	   98799	      1245 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=384-10       	  103640	      1188 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=384-10       	   96566	      1207 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=384-10       	  104620	      1175 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=384-10       	  104406	      1173 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=384-10       	  102507	      1182 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=384-10       	  104002	      1169 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=512-10       	   99986	      1221 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=512-10       	   98160	      1211 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=512-10       	  100905	      1215 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=512-10       	   96091	      1222 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=512-10       	   96207	      1240 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=512-10       	  100743	      1199 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	8.248s
