goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkParamValueVsPointer/size=8-10         	  689182	       159.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=8-10         	  837696	       138.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=8-10         	  928312	       138.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=8-10         	  911334	       138.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=8-10         	  836260	       137.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=8-10         	  838036	       137.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=16-10        	  713648	       206.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=16-10        	  715350	       199.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=16-10        	  699249	       192.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=16-10        	  695635	       182.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=16-10        	  644510	       183.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=16-10        	  644366	       186.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=24-10        	  774109	       180.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=24-10        	  753650	       174.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=24-10        	  675786	       178.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=24-10        	  704018	       175.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=24-10        	  704775	       171.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=24-10        	  768778	       172.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkParamValueVsPointer/size=32-10        	   84022	      1421 ns/op	       0 B/op	       0 allocs/op
