goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkRangeCopy/size=16_length=10-10         	 7681860	        15.22 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 8370438	        13.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 8749144	        12.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 9733148	        12.48 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 9772384	        12.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 8049796	        12.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	 1000000	       155.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	 1000000	       107.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	 1000000	       103.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	 1000000	       103.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	 1000000	       106.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	 1000000	       106.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	  109825	      1053 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	  113886	      1065 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	  117151	      1043 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	  114322	      1041 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	  115288	      1080 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	  113958	      1044 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	   10000	     10413 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	   10000	     10430 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	   10000	     10405 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	   10000	     10397 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	   10000	     10693 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	   10000	     11283 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100000-10     	    1071	    109891 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100000-10     	    1111	    106100 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100000-10     	    1148	    104003 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100000-10     	    1150	    103947 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100000-10     	    1152	    104097 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100000-10     	    1158	    103862 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10-10         	10322617	        11.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10-10         	10658572	        11.57 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10-10         	10708070	        11.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10-10         	10434139	        11.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10-10         	 9873901	        11.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10-10         	10042330	        11.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100-10        	 1202004	        99.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100-10        	 1205170	       103.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100-10        	  651672	       248.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100-10        	 1000000	       108.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100-10        	 1000000	       105.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100-10        	 1000000	       102.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=1000-10       	  116912	      1128 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=1000-10       	  108700	      1276 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=1000-10       	   16659	      6242 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=1000-10       	   53988	      2262 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=1000-10       	   95042	      1143 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=1000-10       	  110140	      1083 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10000-10      	   10000	     11202 ns/op	       0 B/op	       0 allocs/op
