goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkRangeCopy/size=16_length=10-10         	 9255480	        12.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 8991891	        13.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 8477144	        13.33 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 9180862	        13.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 9196987	        13.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 9662354	        13.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	 1000000	       111.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	 1000000	       115.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	 1000000	       112.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	 1000000	       112.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	 1000000	       139.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	  865149	       143.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	  103562	      1165 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	  102670	      1150 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	  106918	      1601 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	   88088	      1271 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	  100914	      1071 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	   97774	      1198 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	   10000	     12887 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	    6928	     28187 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	   10000	     12340 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	    9675	     11533 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	   10000	     11370 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	   10000	     11439 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100000-10     	     996	    124506 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100000-10     	     997	    122102 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100000-10     	    1042	    114247 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100000-10     	    1051	    115030 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100000-10     	    1056	    113759 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100000-10     	    1047	    113844 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10-10         	 9448167	        13.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10-10         	 7684903	        14.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10-10         	 9112251	        13.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10-10         	 9409058	        24.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10-10         	 4008099	        26.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10-10         	 7364504	        14.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100-10        	  992349	       120.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100-10        	 1000000	       155.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100-10        	  851188	       126.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100-10        	  985288	       127.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100-10        	 1000000	       116.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100-10        	 1000000	       120.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=1000-10       	  101440	      1774 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=1000-10       	   83194	      1254 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=1000-10       	  105060	      1119 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=1000-10       	  108852	      1112 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=1000-10       	  108691	      1157 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=1000-10       	  104612	      1170 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10000-10      	    9249	     11837 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10000-10      	   10000	     11534 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10000-10      	    9228	     11894 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10000-10      	   10000	     11863 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10000-10      	   10000	     11576 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=10000-10      	   10000	     11714 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100000-10     	     924	    123358 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100000-10     	    1015	    119707 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100000-10     	    1033	    121898 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100000-10     	    1009	    120304 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100000-10     	    1027	    121725 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=32_length=100000-10     	    1026	    118821 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	 9374725	        12.83 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	 9926001	        12.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	10192597	        12.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	 9977791	        12.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	10062927	        11.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10-10         	10123734	        12.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	 1000000	       109.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	 1000000	       109.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	 1000000	       110.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	 1000000	       110.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	 1000000	       109.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100-10        	 1000000	       109.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	  111967	      1068 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	  110454	      1072 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	  112430	      1072 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	  112570	      1071 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	  111308	      1074 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=1000-10       	  112057	      1068 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	    9244	     11288 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	   10000	     11295 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	   10000	     11304 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	   10000	     11287 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	   10000	     11290 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=10000-10      	   10000	     11358 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	    1020	    117335 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	    1027	    117090 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	    1023	    115802 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	    1011	    116201 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	    1032	    118424 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=64_length=100000-10     	    1004	    120502 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	 9574658	        12.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	 9911382	        12.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	 9724407	        12.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	10086328	        12.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	10053302	        12.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10-10        	 9883558	        12.04 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	 1000000	       108.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	 1000000	       109.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	 1000000	       109.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	 1000000	       109.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	 1000000	       109.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100-10       	 1000000	       122.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	   72988	      1516 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	   81253	      1461 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	   82356	      1457 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	   83211	      1457 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	   82348	      1461 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=1000-10      	   81390	      1465 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    8756	     13393 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    8882	     13351 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    8946	     13402 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    8904	     13385 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    8985	     13382 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=10000-10     	    8834	     13424 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     825	    142274 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     775	    143662 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     849	    140983 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     787	    142236 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     846	    140192 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=128_length=100000-10    	     860	    139855 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9981250	        12.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9215822	        12.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=256_length=10-10        	 9657558	        12.12 ns/op	       0 B/op	       0 allocs/op
