goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkRangeCopy/size=16_length=10-10         	 4168624	        28.07 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 4096530	        32.63 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 4503778	        26.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 4691890	        28.99 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 1697253	        63.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10-10         	 4339976	        27.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	  486699	       247.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	  508905	       247.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	  508519	       244.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	  488374	       244.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	  506577	       241.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=100-10        	  482323	       246.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	   47176	      2494 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	   50288	      2429 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	   47698	      2505 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	   47842	      2481 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	   48652	      2454 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=1000-10       	   49664	      2430 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	    5083	     24196 ns/op	       0 B/op	       0 allocs/op
BenchmarkRangeCopy/size=16_length=10000-10      	    5130	     23844 ns/op	       0 B/op	       0 allocs/op
