goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkRangeCopy-index_value.txt,,BenchmarkRangeCopy-range_pointer.txt,,,,BenchmarkRangeCopy-range_value.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
RangeCopy/size=16_length=10-10,1.281e-08,19%,1.3055e-08,2%,~,p=0.258 n=6,2.853e-08,122%,+122.72%,p=0.002 n=6
RangeCopy/size=16_length=100-10,1.0625000000000002e-07,47%,1.1405000000000002e-07,25%,~,p=0.065 n=6,2.4575000000000004e-07,2%,+131.29%,p=0.002 n=6
RangeCopy/size=16_length=1000-10,1.0485000000000002e-06,3%,1.1815e-06,36%,+12.68%,p=0.004 n=6,2.4675e-06,2%,+135.34%,p=0.002 n=6
RangeCopy/size=16_length=10000-10,1.04215e-05,8%,1.19365e-05,136%,+14.54%,p=0.002 n=6,2.4750000000000002e-05,38%,+137.49%,p=0.002 n=6
RangeCopy/size=16_length=100000-10,0.00010405000000000001,6%,0.0001146385,9%,+10.18%,p=0.002 n=6,0.0002461955,11%,+136.61%,p=0.002 n=6
RangeCopy/size=32_length=10-10,1.159e-08,2%,1.4880000000000002e-08,76%,+28.39%,p=0.002 n=6,2.0900000000000002e-08,1%,+80.33%,p=0.002 n=6
RangeCopy/size=32_length=100-10,1.0445000000000001e-07,138%,1.2350000000000001e-07,26%,~,p=0.058 n=6,2.0095e-07,3%,~,p=0.065 n=6
RangeCopy/size=32_length=1000-10,1.2095e-06,416%,1.1635e-06,52%,~,p=0.699 n=6,1.973e-06,1%,~,p=0.379 n=6
RangeCopy/size=32_length=10000-10,1.1013000000000001e-05,2%,1.17755e-05,2%,+6.92%,p=0.002 n=6,1.989e-05,31%,+80.60%,p=0.002 n=6
RangeCopy/size=32_length=100000-10,0.00010579750000000001,15%,0.0001210145,2%,+14.38%,p=0.026 n=6,0.0002013445,103%,+90.31%,p=0.002 n=6
RangeCopy/size=64_length=10-10,1.187e-08,2%,1.2050000000000002e-08,6%,+1.52%,p=0.022 n=6,2.8175000000000002e-08,48%,+137.36%,p=0.002 n=6
RangeCopy/size=64_length=100-10,1.0510000000000001e-07,2%,1.0980000000000002e-07,1%,+4.47%,p=0.002 n=6,2.5765e-07,4%,+145.15%,p=0.002 n=6
RangeCopy/size=64_length=1000-10,1.0435e-06,1%,1.0715e-06,0%,+2.68%,p=0.002 n=6,2.5735e-06,24%,+146.62%,p=0.002 n=6
RangeCopy/size=64_length=10000-10,1.06295e-05,1%,1.12925e-05,1%,+6.24%,p=0.002 n=6,2.65865e-05,85%,+150.12%,p=0.002 n=6
RangeCopy/size=64_length=100000-10,0.000107642,1%,0.00011721250000000001,3%,+8.89%,p=0.002 n=6,0.000265225,3%,+146.40%,p=0.002 n=6
RangeCopy/size=128_length=10-10,1.1600000000000001e-08,1%,1.2060000000000002e-08,2%,+3.97%,p=0.002 n=6,5.486e-08,2%,+372.93%,p=0.002 n=6
RangeCopy/size=128_length=100-10,1.0370000000000001e-07,1%,1.0915000000000001e-07,12%,+5.26%,p=0.002 n=6,5.5685e-07,2%,+436.98%,p=0.002 n=6
RangeCopy/size=128_length=1000-10,1.0475000000000001e-06,1%,1.461e-06,4%,+39.47%,p=0.002 n=6,5.5490000000000006e-06,5%,+429.74%,p=0.002 n=6
RangeCopy/size=128_length=10000-10,1.2555000000000001e-05,37%,1.3389e-05,0%,~,p=0.065 n=6,5.5189e-05,2%,+339.58%,p=0.002 n=6
RangeCopy/size=128_length=100000-10,0.0001352045,56%,0.00014160950000000001,1%,~,p=0.065 n=6,0.0005462685000000001,0%,+304.03%,p=0.002 n=6
RangeCopy/size=256_length=10-10,1.2375e-08,2%,1.229e-08,2%,~,p=0.418 n=6,8.935000000000002e-08,43%,+622.02%,p=0.002 n=6
RangeCopy/size=256_length=100-10,1.0850000000000001e-07,14%,1.0955e-07,1%,~,p=0.310 n=6,8.721500000000001e-07,1%,+703.82%,p=0.002 n=6
RangeCopy/size=256_length=1000-10,1.2420000000000001e-06,1%,1.2995e-06,0%,+4.63%,p=0.002 n=6,8.7845e-06,33%,+607.29%,p=0.002 n=6
RangeCopy/size=256_length=10000-10,1.40375e-05,2%,1.4356000000000001e-05,0%,+2.27%,p=0.002 n=6,8.73575e-05,2%,+522.32%,p=0.002 n=6
RangeCopy/size=256_length=100000-10,0.00040138550000000004,9%,0.0002648765,77%,~,p=0.065 n=6,0.000878437,3%,+118.85%,p=0.002 n=6
RangeCopy/size=512_length=10-10,1.2355e-08,5%,1.2995000000000002e-08,23%,+5.18%,p=0.011 n=6,1.2880000000000004e-07,8%,+942.49%,p=0.002 n=6
RangeCopy/size=512_length=100-10,1.084e-07,2%,1.2495000000000002e-07,11%,+15.27%,p=0.002 n=6,1.2840000000000001e-06,6%,+1084.50%,p=0.002 n=6
RangeCopy/size=512_length=1000-10,1.292e-06,4%,1.3790000000000003e-06,4%,+6.73%,p=0.002 n=6,1.4768500000000001e-05,4%,+1043.07%,p=0.002 n=6
RangeCopy/size=512_length=10000-10,1.5879e-05,2%,1.62575e-05,1%,+2.38%,p=0.009 n=6,0.0001470995,58%,+826.38%,p=0.002 n=6
RangeCopy/size=512_length=100000-10,0.0005658695,10%,0.0004626515,4%,-18.24%,p=0.002 n=6,0.001425725,4%,+151.95%,p=0.002 n=6
geomean,1.2675992019863907e-06,,1.3335189545874186e-06,,+5.20%,,4.571542502839726e-06,,+260.65%,

,BenchmarkRangeCopy-index_value.txt,,BenchmarkRangeCopy-range_pointer.txt,,,,BenchmarkRangeCopy-range_value.txt,,,
,B/op,CI,B/op,CI,vs base,P,B/op,CI,vs base,P
RangeCopy/size=16_length=10-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=16_length=100-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=16_length=1000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=16_length=10000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=16_length=100000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=32_length=10-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=32_length=100-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=32_length=1000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=32_length=10000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=32_length=100000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=64_length=10-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=64_length=100-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=64_length=1000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=64_length=10000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=64_length=100000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=128_length=10-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=128_length=100-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=128_length=1000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=128_length=10000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=128_length=100000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=256_length=10-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=256_length=100-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=256_length=1000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
RangeCopy/size=256_length=10000-10,0,0%,0,0%,~,p=1.000 n=6,0,0%,~,p=1.000 n=6
