goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkReturnValueVsPointer/size=8-10         	   57804	      1865 ns/op	    2048 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=8-10         	   86712	      1420 ns/op	    2048 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=8-10         	   84196	      1429 ns/op	    2048 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=8-10         	   84908	      1436 ns/op	    2048 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=8-10         	   83700	      1431 ns/op	    2048 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=8-10         	   82394	      1435 ns/op	    2048 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=16-10        	   60922	      1992 ns/op	    4096 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=16-10        	   60235	      1997 ns/op	    4096 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=16-10        	   57240	      2014 ns/op	    4096 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=16-10        	   61719	      2053 ns/op	    4096 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=16-10        	   58424	      2037 ns/op	    4096 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=16-10        	   57660	      2002 ns/op	    4096 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=24-10        	   51879	      2295 ns/op	    6144 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=24-10        	   51296	      2310 ns/op	    6144 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=24-10        	   51704	      2321 ns/op	    6144 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=24-10        	   52012	      2321 ns/op	    6144 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=24-10        	   51816	      2314 ns/op	    6144 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=24-10        	   52021	      2307 ns/op	    6144 B/op	     256 allocs/op
BenchmarkReturnValueVsPointer/size=32-10        	   34338	      3614 ns/op	    8192 B/op	     256 allocs/op
