goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkReturnValueVsPointer/size=8-10         	  727495	       151.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=8-10         	  924142	       132.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=8-10         	  904322	       131.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=8-10         	  923727	       132.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=8-10         	  923638	       131.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=8-10         	  927774	       131.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=16-10        	  343278	       398.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=16-10        	  340965	       365.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=16-10        	  334238	       362.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=16-10        	  349216	       357.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=16-10        	  366752	       363.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=16-10        	  361803	       362.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=24-10        	  382718	       315.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=24-10        	  393586	       315.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=24-10        	  380067	       312.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=24-10        	  370914	       314.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=24-10        	  394747	       318.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=24-10        	  398593	       317.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=32-10        	   52392	      2314 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=32-10        	   52750	      2291 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=32-10        	   52501	      2286 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=32-10        	   52302	      2288 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=32-10        	   51412	      2299 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=32-10        	   52353	      2283 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=64-10        	   39772	      3070 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=64-10        	   40094	      3033 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=64-10        	   39110	      3050 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=64-10        	   39570	      3047 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=64-10        	   38890	      3070 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=64-10        	   39452	      3068 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=96-10        	   37688	      3195 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=96-10        	   37281	      3217 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=96-10        	   36876	      3215 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=96-10        	   38012	      3215 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=96-10        	   37465	      3202 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=96-10        	   37528	      3209 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=128-10       	   25735	      4729 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=128-10       	   25284	      4827 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=128-10       	   25314	      4752 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=128-10       	   25476	      4728 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=128-10       	   25534	      4821 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=128-10       	   25514	      4777 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=192-10       	   13387	      8896 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=192-10       	   13707	      8746 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=192-10       	   13366	      8892 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=192-10       	   13334	      9018 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=192-10       	   13581	      8900 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=192-10       	   13519	      8881 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=256-10       	    9958	     11682 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=256-10       	   10000	     11671 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=256-10       	   10000	     11731 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=256-10       	    9922	     11878 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=256-10       	    9748	     11800 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=256-10       	    9776	     11660 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=384-10       	    6703	     18045 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=384-10       	    7081	     17907 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=384-10       	    6994	     17706 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=384-10       	    6446	     17613 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=384-10       	    7046	     17828 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=384-10       	    7209	     17856 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=512-10       	    4844	     24044 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=512-10       	    5076	     24157 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=512-10       	    5263	     24026 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=512-10       	    5067	     24084 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=512-10       	    5132	     24133 ns/op	       0 B/op	       0 allocs/op
BenchmarkReturnValueVsPointer/size=512-10       	    4818	     23874 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	8.196s
