goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkReturnValueVsPointer-return_pointer.txt,,BenchmarkReturnValueVsPointer-return_value.txt,,,
,sec/op,CI,sec/op,CI,vs base,P
ReturnValueVsPointer/size=8-10,1.4850000000000002e-06,3%,1.3325e-07,5%,-91.03%,p=0.000 n=10
ReturnValueVsPointer/size=16-10,2.1120000000000003e-06,6%,3.5565000000000004e-07,8%,-83.16%,p=0.000 n=10
ReturnValueVsPointer/size=24-10,2.4325e-06,2%,3.0735000000000006e-07,4%,-87.36%,p=0.000 n=10
ReturnValueVsPointer/size=32-10,3.7725e-06,4%,2.311e-06,1%,-38.74%,p=0.000 n=10
ReturnValueVsPointer/size=64-10,5.4400000000000004e-06,4%,3.1000000000000004e-06,2%,-43.01%,p=0.000 n=10
ReturnValueVsPointer/size=96-10,6.622e-06,6%,3.148e-06,3%,-52.46%,p=0.000 n=10
ReturnValueVsPointer/size=128-10,1.1803500000000001e-05,22%,4.667500000000001e-06,3%,-60.46%,p=0.000 n=10
ReturnValueVsPointer/size=192-10,1.77005e-05,36%,8.7025e-06,2%,-50.83%,p=0.000 n=10
ReturnValueVsPointer/size=256-10,1.70375e-05,20%,1.1576e-05,4%,-32.06%,p=0.000 n=10
ReturnValueVsPointer/size=384-10,2.53625e-05,4%,1.77225e-05,4%,-30.12%,p=0.000 n=10
ReturnValueVsPointer/size=512-10,3.1833000000000005e-05,5%,2.37035e-05,4%,-25.54%,p=0.000 n=10
geomean,7.265867752211674e-06,,2.7382155463871565e-06,,-62.31%,

,BenchmarkReturnValueVsPointer-return_pointer.txt,,BenchmarkReturnValueVsPointer-return_value.txt,,,
,B/op,CI,B/op,CI,vs base,P
ReturnValueVsPointer/size=8-10,2048,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=16-10,4096,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=24-10,6144,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=32-10,8192,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=64-10,16384,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=96-10,24576,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=128-10,32768,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=192-10,49152,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=256-10,65536,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=384-10,98304,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=512-10,131072,0%,0,0%,-100.00%,p=0.000 n=10
geomean,20221.784954989536,,,,?,

,BenchmarkReturnValueVsPointer-return_pointer.txt,,BenchmarkReturnValueVsPointer-return_value.txt,,,
,allocs/op,CI,allocs/op,CI,vs base,P
ReturnValueVsPointer/size=8-10,256,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=16-10,256,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=24-10,256,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=32-10,256,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=64-10,256,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=96-10,256,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=128-10,256,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=192-10,256,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=256-10,256,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=384-10,256,0%,0,0%,-100.00%,p=0.000 n=10
ReturnValueVsPointer/size=512-10,256,0%,0,0%,-100.00%,p=0.000 n=10
geomean,255.99999999999994,,,,?,
