goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkStringByteConversion/size=16_iterations=1-10         	18605815	         6.292 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	20268842	         5.840 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	20781019	         5.880 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	20390823	         5.843 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	19420617	         6.041 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	20150148	         6.122 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2329868	        51.50 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2297122	        52.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2271194	        53.02 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2289163	        52.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2286937	        52.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2313423	        51.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  237228	       473.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  247446	       477.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  243183	       476.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  239925	       475.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  260126	       469.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  263834	       465.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   26169	      4618 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   25395	      4713 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   24632	      4778 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   25696	      4602 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   26252	      4669 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   25536	      4714 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 6077000	        18.34 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 6529323	        18.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 6844740	        17.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 6677641	        17.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 6795978	        17.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 6843943	        17.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=10-10        	  726685	       170.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=10-10        	  715207	       171.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=10-10        	  708939	       170.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=10-10        	  673699	       169.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=10-10        	  724345	       171.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=10-10        	  720648	       169.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=100-10       	   73323	      1645 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=100-10       	   72228	      1657 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=100-10       	   72908	      1644 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=100-10       	   72302	      1653 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=100-10       	   73252	      1651 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=100-10       	   72711	      1639 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1000-10      	    7344	     16440 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1000-10      	    7209	     16398 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1000-10      	    7478	     16224 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1000-10      	    7420	     16240 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1000-10      	    7506	     16168 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1000-10      	    7473	     16169 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1-10        	 1697302	        70.77 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1-10        	 1680096	        71.18 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1-10        	 1683264	        71.26 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1-10        	 1676836	        71.12 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1-10        	 1694626	        72.27 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1-10        	 1669831	        71.40 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  163699	       711.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  167204	       721.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  161011	       730.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  168585	       729.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  163518	       735.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  160342	       741.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16137	      7416 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16446	      7296 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16449	      7346 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16448	      7354 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16101	      7396 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16372	      7314 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1610	     73243 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1639	     73045 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1623	     72994 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1623	     73219 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1623	     73061 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1629	     73976 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  473372	       263.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  472518	       263.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  456736	       262.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  440595	       262.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  457366	       264.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  458978	       263.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   45007	      2617 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   42238	      2755 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   44446	      2677 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   41498	      2777 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   44422	      2685 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   44635	      2648 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4290	     26624 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4692	     27172 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4576	     26792 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4650	     27121 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4575	     26672 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4620	     26236 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     452	    266847 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     436	    267915 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     434	    274579 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     439	    269103 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     454	    266461 ns/op	       0 B/op	       0 allocs/op
