goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkStringByteConversion/size=16_iterations=1-10         	15607300	         7.780 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	15978516	         7.493 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	15632037	         7.558 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	16021628	         7.533 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	15851436	         7.483 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	16500988	         7.526 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 1748767	        68.24 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 1732274	        69.31 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 1728782	        69.38 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 1728381	        69.32 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 1733077	        69.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 1732221	        69.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  188032	       645.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  184544	       641.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  189728	       640.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  188287	       643.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  188992	       643.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  186776	       642.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   18871	      6370 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   18700	      6446 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   18684	      6444 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   18817	      6368 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   18808	      6367 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   18796	      6381 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 4414374	        26.84 ns/op	      64 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 4483654	        26.79 ns/op	      64 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 4513702	        26.74 ns/op	      64 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 4502510	        26.60 ns/op	      64 B/op	       1 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 4555497	        26.32 ns/op	      64 B/op	       1 allocs/op
