goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkStringByteConversion/size=16_iterations=1-10         	18938024	         5.967 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	21323067	         5.728 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	20995383	         5.728 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	20414815	         5.760 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	21141492	         5.739 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	20701107	         5.729 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2314311	        51.68 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2308592	        51.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2315662	        51.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2325694	        51.81 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2318546	        52.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2308264	        52.05 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  250932	       477.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  251304	       476.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  245356	       479.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  245160	       477.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  248661	       480.7 ns/op	       0 B/op	       0 allocs/op
