goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkStringByteConversion/size=16_iterations=1-10         	16814180	         6.406 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	19798304	         6.067 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	20242060	         5.973 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	19971566	         5.923 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	20197204	         5.928 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1-10         	20497928	         5.958 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2222934	        53.93 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2227910	        54.09 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2231245	        54.52 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2158240	        55.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2050599	        56.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=10-10        	 2038287	        57.91 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  236575	       502.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  234709	       502.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  236792	       503.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  232624	       501.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  249348	       501.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=100-10       	  229034	       504.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   24033	      4988 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   24133	      4964 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   24051	      4976 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   24159	      4979 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   23851	      5011 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16_iterations=1000-10      	   24007	      4981 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 6514185	        18.54 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 6770463	        18.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 6667190	        17.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 6809460	        17.58 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 6888468	        17.60 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1-10         	 6949000	        17.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=10-10        	  680143	       175.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=10-10        	  694092	       175.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=10-10        	  686301	       175.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=10-10        	  702232	       173.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=10-10        	  677247	       175.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=10-10        	  687628	       176.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=100-10       	   72171	      1672 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=100-10       	   72673	      1671 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=100-10       	   73000	      1680 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=100-10       	   72332	      1673 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=100-10       	   72204	      1667 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=100-10       	   72081	      1667 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1000-10      	    7330	     16692 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1000-10      	    7173	     16595 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1000-10      	    7312	     16643 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1000-10      	    7280	     16634 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1000-10      	    7359	     16685 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=64_iterations=1000-10      	    7214	     16657 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1-10        	 1665760	        71.95 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1-10        	 1673526	        71.71 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1-10        	 1673650	        71.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1-10        	 1641040	        72.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1-10        	 1670491	        71.90 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1-10        	 1670710	        72.10 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  161846	       730.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  163551	       724.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  170898	       826.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  163863	       730.0 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  160125	       729.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=10-10       	  167454	       727.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16288	      7315 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16574	      7235 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16504	      7301 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16310	      7295 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16615	      7257 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=100-10      	   16317	      7329 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1653	     72957 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1656	     72191 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1670	     71902 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1644	     72921 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1662	     71465 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=256_iterations=1000-10     	    1656	     71683 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  449212	       266.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  461552	       260.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  457782	       260.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  452914	       262.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  465409	       259.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1-10       	  451580	       260.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   46219	      2581 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   45997	      2579 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   46846	      2570 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   46168	      2572 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   44563	      2685 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=10-10      	   46891	      2568 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4699	     25794 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4586	     25801 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4581	     26080 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4737	     25832 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4646	     25763 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=100-10     	    4671	     25760 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     464	    259214 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     468	    259712 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     464	    258401 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     459	    258421 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     462	    259156 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=1024_iterations=1000-10    	     462	    259000 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  120602	       999.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  120660	      1001 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  118688	      1008 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  117679	       996.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  120583	      1007 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1-10       	  117928	      1010 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   12042	      9967 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   12092	      9940 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   12049	      9960 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   12123	      9886 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   12097	      9933 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=10-10      	   12060	      9924 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1202	    100053 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1184	    100048 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1200	    100676 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1185	     99804 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1208	    100478 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=100-10     	    1195	    100339 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1000243 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     120	    998037 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1004714 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1002077 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1003498 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=4096_iterations=1000-10    	     100	   1000511 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   30340	      3992 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   30049	      4006 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   30026	      4007 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   30264	      3987 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   30016	      3988 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=1-10      	   30139	      3964 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2874	     39686 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    3115	     39616 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    3093	     44080 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    2809	     40559 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    3046	     40205 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=10-10     	    3020	     39759 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     303	    395217 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     300	    396092 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     302	    395256 ns/op	       0 B/op	       0 allocs/op
BenchmarkStringByteConversion/size=16384_iterations=100-10    	     302	    395443 ns/op	       0 B/op	       0 allocs/op
