goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkSubset/size=10_subset=10-10         	  395702	       277.9 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=10-10         	  520700	       239.1 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=10-10         	  524560	       240.4 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=10-10         	  532258	       239.2 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=10-10         	  510158	       244.4 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=10-10         	  486453	       242.5 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=10-10         	  325500	       364.0 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=10-10         	  338281	       364.4 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=10-10         	  330764	       363.8 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=10-10         	  341680	       364.2 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=10-10         	  341073	       363.2 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=10-10         	  340256	       364.0 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=10-10        	  220885	       544.7 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=10-10        	  221950	       542.0 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=10-10        	  227158	       542.1 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=10-10        	  205732	       546.0 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=10-10        	  222446	       542.8 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=10-10        	  227148	       544.3 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=10-10        	   66082	      1820 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=10-10        	   65922	      1817 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=10-10        	   66051	      1818 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=10-10        	   65788	      1819 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=10-10        	   66442	      1821 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=10-10        	   66426	      1819 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=10-10       	   35140	      3418 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=10-10       	   35142	      3413 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=10-10       	   35221	      3415 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=10-10       	   35215	      3420 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=10-10       	   35188	      3420 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=10-10       	   35202	      3417 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=10-10       	    7438	     16198 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=10-10       	    7345	     16193 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=10-10       	    7364	     16220 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=10-10       	    7406	     16201 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=10-10       	    7368	     16208 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=10-10       	    7447	     17327 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=10-10      	    3667	     32585 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=10-10      	    3727	     32164 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=10-10      	    3582	     32223 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=10-10      	    3751	     32216 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=10-10      	    3758	     32183 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=10-10      	    3559	     33137 ns/op	     656 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=50-10         	  164577	       720.5 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=50-10         	  169446	       712.0 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=50-10         	  170146	       713.5 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=50-10         	  170118	       711.1 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=50-10         	  169588	       714.1 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=50-10         	  167041	       715.4 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=50-10         	  134496	       894.2 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=50-10         	  135726	       897.7 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=50-10         	  135028	       898.9 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=50-10         	  135541	       892.6 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=50-10         	  134539	       895.7 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=50-10         	  134908	       896.4 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=50-10        	  117271	      1036 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=50-10        	  116038	      1045 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=50-10        	  116582	      1038 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=50-10        	  116996	      1041 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=50-10        	  115399	      1042 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=100_subset=50-10        	  116029	      1038 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   52093	      2301 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   52341	      2297 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   52472	      2301 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   52274	      2304 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   52236	      2300 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=500_subset=50-10        	   52402	      2298 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   30469	      3949 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   30421	      3947 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   30410	      3946 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   30319	      3955 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   30361	      3953 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=1000_subset=50-10       	   30375	      3946 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    7018	     16775 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    7155	     16882 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    7208	     16757 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    7196	     16744 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    7203	     16762 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=5000_subset=50-10       	    7165	     16752 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    3686	     32831 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    3703	     32774 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    3660	     32792 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    3681	     32699 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    3699	     32741 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=10000_subset=50-10      	    3680	     32747 ns/op	    2384 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=100-10        	   82444	      1427 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=100-10        	   83898	      1410 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=100-10        	   85045	      1409 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=100-10        	   84055	      1419 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=100-10        	   85399	      1407 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=10_subset=100-10        	   87272	      1408 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   77940	      1548 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   77990	      1547 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   78178	      1549 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   72493	      1569 ns/op	    4688 B/op	       6 allocs/op
BenchmarkSubset/size=50_subset=100-10        	   76748	      1564 ns/op	    4688 B/op	       6 allocs/op
