goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkSubset/size=10_subset=10-10         	 6198018	        17.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=10-10         	 8943765	        13.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=10-10         	 8895697	        13.49 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=10-10         	 8755422	        13.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=10-10         	 9057657	        13.41 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=10_subset=10-10         	 8859465	        13.42 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=10-10         	 2089651	        57.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=10-10         	 2109847	        57.03 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=10-10         	 2099895	        56.98 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=10-10         	 2087488	        57.37 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=10-10         	 2096635	        57.19 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=50_subset=10-10         	 2088116	        57.36 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=10-10        	 1219987	        98.28 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=10-10        	 1216548	        98.70 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=10-10        	 1216440	        98.73 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=10-10        	 1216465	        98.67 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=10-10        	 1215465	        98.78 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=100_subset=10-10        	 1217905	        98.59 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=10-10        	  162372	       721.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=10-10        	  169476	       718.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=10-10        	  165883	       711.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkSubset/size=500_subset=10-10        	  165864	       713.1 ns/op	       0 B/op	       0 allocs/op
