goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkSubset/size=10_subset=10-10         	  894852	       117.4 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=10-10         	 1328913	        90.46 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=10-10         	 1323444	        90.35 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=10-10         	 1328491	        90.16 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=10-10         	 1335135	        89.90 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=10-10         	 1353844	        88.63 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=10-10         	  523017	       230.5 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=10-10         	  532908	       228.8 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=10-10         	  537955	       229.6 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=10-10         	  548466	       227.5 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=10-10         	  536802	       227.3 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=10-10         	  540478	       226.6 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=10-10        	  322630	       374.4 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=10-10        	  331842	       369.4 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=10-10        	  330824	       369.3 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=10-10        	  326989	       369.4 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=10-10        	  331834	       369.1 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=10-10        	  334575	       367.8 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=10-10        	   71535	      1668 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=10-10        	   72286	      1655 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=10-10        	   73028	      1641 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=10-10        	   74107	      1626 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=10-10        	   73476	      1635 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=500_subset=10-10        	   74017	      1631 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=10-10       	   33433	      3658 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=10-10       	   33340	      3586 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=10-10       	   33795	      3552 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=10-10       	   33794	      3547 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=10-10       	   33841	      3554 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=1000_subset=10-10       	   33885	      3552 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=10-10       	    6694	     18150 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=10-10       	    6874	     18022 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=10-10       	    6618	     17711 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=10-10       	    6624	     17648 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=10-10       	    6699	     17606 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=5000_subset=10-10       	    6651	     17494 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=10-10      	    3944	     30721 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=10-10      	    3974	     30475 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=10-10      	    3814	     30462 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=10-10      	    3993	     30474 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=10-10      	    3964	     30426 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=10000_subset=10-10      	    3957	     30456 ns/op	     160 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=50-10         	  255600	       440.5 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=50-10         	  274848	       432.4 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=50-10         	  268791	       428.2 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=50-10         	  280138	       425.7 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=50-10         	  287324	       424.4 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=10_subset=50-10         	  285038	       425.3 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=50-10         	  151334	       773.0 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=50-10         	  151945	       758.0 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=50-10         	  162284	       748.8 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=50-10         	  158785	       745.8 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=50-10         	  157743	       745.6 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=50_subset=50-10         	  162190	       743.9 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=50-10        	  124170	       941.7 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=50-10        	  132660	       928.6 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=50-10        	  131371	       923.1 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=50-10        	  130966	       917.7 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=50-10        	  132403	       916.2 ns/op	     832 B/op	       2 allocs/op
BenchmarkSubset/size=100_subset=50-10        	  131131	       909.1 ns/op	     832 B/op	       2 allocs/op
