goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
,BenchmarkSubset-map.txt,,BenchmarkSubset-slice.txt,,,,BenchmarkSubset-slice_sort_binsearch.txt,,,
,sec/op,CI,sec/op,CI,vs base,P,sec/op,CI,vs base,P
Subset/size=10_subset=10-10,2.4145000000000003e-07,15%,1.3425e-08,29%,-94.44%,p=0.002 n=6,9.025500000000001e-08,30%,-62.62%,p=0.002 n=6
Subset/size=50_subset=10-10,3.6400000000000003e-07,0%,5.717e-08,0%,-84.29%,p=0.002 n=6,2.2815000000000004e-07,1%,-37.32%,p=0.002 n=6
Subset/size=100_subset=10-10,5.435500000000001e-07,0%,9.868500000000001e-08,0%,-81.84%,p=0.002 n=6,3.6935e-07,1%,-32.05%,p=0.002 n=6
Subset/size=500_subset=10-10,1.819e-06,0%,7.138e-07,1%,-60.76%,p=0.002 n=6,1.638e-06,2%,-9.95%,p=0.002 n=6
Subset/size=1000_subset=10-10,3.4175e-06,0%,1.1935e-06,0%,-65.08%,p=0.002 n=6,3.553e-06,3%,+3.96%,p=0.002 n=6
Subset/size=5000_subset=10-10,1.62045e-05,7%,5.975e-06,48%,-63.13%,p=0.002 n=6,1.76795e-05,3%,+9.10%,p=0.002 n=6
Subset/size=10000_subset=10-10,3.2219500000000006e-05,3%,1.08095e-05,39%,-66.45%,p=0.002 n=6,3.0468e-05,1%,-5.44%,p=0.002 n=6
Subset/size=10_subset=50-10,7.138e-07,1%,1.0675000000000001e-07,3%,-85.04%,p=0.002 n=6,4.2695e-07,3%,-40.19%,p=0.002 n=6
Subset/size=50_subset=50-10,8.960500000000001e-07,0%,3.2360000000000007e-07,1%,-63.89%,p=0.002 n=6,7.473e-07,3%,-16.60%,p=0.002 n=6
Subset/size=100_subset=50-10,1.0395e-06,1%,6.474e-07,2%,-37.72%,p=0.002 n=6,9.204000000000001e-07,2%,-11.46%,p=0.002 n=6
Subset/size=500_subset=50-10,2.3005000000000003e-06,0%,3.0535000000000005e-06,6%,+32.73%,p=0.002 n=6,2.879e-06,2%,+25.15%,p=0.002 n=6
Subset/size=1000_subset=50-10,3.948e-06,0%,5.393000000000001e-06,0%,+36.60%,p=0.002 n=6,5.2355e-06,1%,+32.61%,p=0.002 n=6
Subset/size=5000_subset=50-10,1.67595e-05,1%,2.5924500000000002e-05,0%,+54.69%,p=0.002 n=6,2.6517000000000004e-05,2%,+58.22%,p=0.002 n=6
Subset/size=10000_subset=50-10,3.27605e-05,0%,5.1823e-05,1%,+58.19%,p=0.002 n=6,5.1771500000000004e-05,2%,+58.03%,p=0.002 n=6
Subset/size=10_subset=100-10,1.4095000000000002e-06,1%,3.1595e-07,1%,-77.58%,p=0.002 n=6,1.0705000000000002e-06,2%,-24.05%,p=0.002 n=6
Subset/size=50_subset=100-10,1.5550000000000001e-06,1%,8.383e-07,1%,-46.09%,p=0.002 n=6,1.415e-06,2%,-9.00%,p=0.002 n=6
Subset/size=100_subset=100-10,1.7020000000000002e-06,0%,1.2935e-06,1%,-24.00%,p=0.002 n=6,1.6835e-06,1%,-1.09%,p=0.022 n=6
Subset/size=500_subset=100-10,3.005e-06,4%,5.484500000000001e-06,1%,+82.51%,p=0.002 n=6,4.197000000000001e-06,1%,+39.67%,p=0.002 n=6
Subset/size=1000_subset=100-10,4.594e-06,1%,1.1972500000000001e-05,1%,+160.61%,p=0.002 n=6,7.304500000000001e-06,4%,+59.00%,p=0.002 n=6
Subset/size=5000_subset=100-10,1.74265e-05,1%,5.67065e-05,1%,+225.40%,p=0.002 n=6,3.20365e-05,6%,+83.84%,p=0.002 n=6
Subset/size=10000_subset=100-10,3.37485e-05,0%,0.00012400750000000002,0%,+267.45%,p=0.002 n=6,6.3894e-05,1%,+89.32%,p=0.002 n=6
Subset/size=10_subset=500-10,7.4310000000000005e-06,0%,1.1920000000000002e-06,2%,-83.96%,p=0.002 n=6,7.882500000000001e-06,0%,+6.08%,p=0.002 n=6
