goos: darwin
goarch: arm64
pkg: github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks
cpu: Apple M5
BenchmarkValuesVsPointers/size=10-10         	32450622	         3.562 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=10-10         	40628618	         3.357 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=10-10         	40731469	         3.336 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=10-10         	38309074	         3.243 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=10-10         	36332895	         3.165 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=10-10         	39611581	         3.267 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=100-10        	 2606221	        46.39 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=100-10        	 2650232	        45.15 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=100-10        	 2694256	        44.11 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=100-10        	 2699006	        45.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=100-10        	 2692768	        45.80 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=100-10        	 2523396	        47.08 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	  228418	       527.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	  229238	       527.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	  223306	       528.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	  227293	       526.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	  228705	       527.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=1000-10       	  228806	       527.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	   14023	      8535 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	   13995	      8593 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	   14042	      8557 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	   14088	      8570 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	   13570	     10029 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=10000-10      	   13813	      8886 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     925	    117087 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	    1126	    113747 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	    1124	    115160 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     920	    113628 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	    1142	    114681 ns/op	       0 B/op	       0 allocs/op
BenchmarkValuesVsPointers/size=100000-10     	     967	    115423 ns/op	       0 B/op	       0 allocs/op
PASS
ok  	github.com/lunemec/go-rule-of-thumb/benchmarks/benchmarks	3.851s
